N	3gram	Propp_Isto_3	VerxiiNi
1	вместе с тем	1	8
2	с одной стороны	2	7
3	с точки зрения	1	6
4	во всяком случае	2	6
5	в том числе	1	5
6	до сих пор	5	5
7	друг с другом	1	5
8	о том что	2	4
9	и вместе с	1	4
10	но все же	2	4
11	к тому же	2	4
12	так или иначе	1	3
13	а так как	1	3
14	точно так же	2	3
15	так же как	1	3
16	в связи с	3	3
17	тем не менее	5	3
18	в том что	5	3
19	с тех пор	1	2
20	с этой точки	1	2
21	может быть и	1	2
22	но вместе с	1	2
23	с одним из	2	2
24	ничего общего с	1	2
25	этой точки зрения	1	2
26	с самого начала	1	2
27	можно сказать что	1	2
28	на то что	1	2
29	есть один из	1	1
30	что в этом	1	1
31	состоит в том	2	1
32	имеется и в	1	1
33	по отношению к	2	1
34	не совсем так	2	1
35	ни один из	2	1
36	в соответствии с	1	1
37	обстоит дело с	1	1
38	но далеко не	1	1
39	в таком случае	1	1
40	сами по себе	1	1
41	отношение к нашей	1	1
42	дни и ночи	1	1
43	но они не	1	1
44	с тем что	1	1
45	за тем чтобы	1	1
46	дней после смерти	1	1
47	утверждать что в	1	1
48	случае мы имеем	1	1
49	в данном случае	3	1
50	смысле этого слова	1	1
51	мы видели выше	1	1
52	мы уже говорили	1	1
53	с другой стороны	7	1
54	но этим дело	1	1
55	мы видели что	3	1
56	из этих трех	1	1
57	имеющие отношение к	1	1
58	только то что	1	1
59	сих пор не	1	1
60	не может быть	1	1
61	но тем не	2	1
62	в то время	2	1
63	в свою очередь	1	1
64	это и есть	1	1
65	в одном из	2	1
66	не только не	2	1
67	в связь с	1	1
68	мы имеем в	2	1
69	после того как	1	1
70	мы видим что	4	1
71	может быть в	1	1
72	что и в	2	1
