N	3gram	Losev_Prob_2	Literetu
1	в то же	4	7
2	в этом отношении	1	5
3	не говоря уже	4	4
4	в данном случае	5	4
5	с одной стороны	5	4
6	о том что	14	4
7	в том что	4	4
8	в том числе	2	3
9	говоря уже о	4	3
10	не может быть	3	3
11	с которой она	1	2
12	в самом деле	2	2
13	подобно тому как	2	2
14	то же самое	5	2
15	одной стороны и	3	2
16	потому что не	1	2
17	бы то ни	2	2
18	но и в	3	2
19	том числе и	2	2
20	и в частности	3	2
21	в целом и	1	2
22	не только в	2	2
23	то ни было	1	2
24	так или иначе	6	2
25	с другой стороны	5	2
26	и тем самым	1	2
27	той или иной	1	2
28	тем что он	1	2
29	но и не	2	2
30	на то что	4	2
31	обратим внимание на	1	2
32	отношение к предмету	1	1
33	что иное как	3	1
34	вещей в себе	1	1
35	в чистом виде	3	1
36	в той или	1	1
37	здесь может быть	1	1
38	на самом деле	2	1
39	о том как	1	1
40	имеется в виду	2	1
41	как будто бы	5	1
42	друг от друга	2	1
43	и не только	1	1
44	только в том	4	1
45	именно то что	1	1
46	хотя бы и	3	1
47	вместе с тем	1	1
48	то что в	1	1
49	но это не	1	1
50	может быть только	2	1
51	и тем не	1	1
52	и то что	7	1
53	ту или иную	1	1
54	не что иное	3	1
55	содержит в себе	2	1
56	и представляет собой	1	1
57	и еще раз	1	1
58	на первый взгляд	1	1
59	и только в	1	1
60	без которых невозможно	1	1
61	понимать друг друга	1	1
62	в этих словах	1	1
63	в основе этих	1	1
64	это и есть	2	1
65	в связи с	5	1
66	не тем что	1	1
67	вопрос о том	2	1
68	уже и не	1	1
69	для того чтобы	2	1
70	между тем как	1	1
71	свое место в	1	1
72	xix и xx	1	1
73	более или менее	4	1
74	еще и еще	1	1
75	и переходит в	1	1
76	ничего общего с	2	1
77	а не просто	2	1
78	не только не	2	1
79	свое место и	1	1
80	сознания так и	1	1
81	для того что	1	1
82	или иной мере	1	1
83	самого себя и	1	1
84	по себе но	1	1
85	но отнюдь не	1	1
86	сама по себе	4	1
87	тем не менее	12	1
88	здесь как будто	1	1
89	в какой-то мере	1	1
90	и не имеет	1	1
