N	3gram	Medvedev_F_2	Vvedenie
1	и т д	5	36
2	для того чтобы	3	20
3	в том что	2	12
4	в этом смысле	2	8
5	не может быть	10	8
6	тем не менее	1	8
7	до сих пор	1	6
8	в самом деле	5	6
9	в применении к	2	6
10	то же время	5	6
11	в то же	5	6
12	и т п	9	5
13	в той мере	1	5
14	в том чтобы	1	5
15	той мере в	1	5
16	с другой стороны	3	5
17	мере в какой	1	5
18	в широком смысле	1	5
19	что иное как	1	4
20	и в особенности	1	4
21	в этом случае	1	4
22	в этом отношении	7	4
23	на этот вопрос	1	4
24	по крайней мере	1	4
25	т е в	1	4
26	в данном случае	1	4
27	и в этом	5	4
28	так или иначе	1	4
29	во всяком случае	5	4
30	не что иное	1	4
31	с одной стороны	1	4
32	в собственном смысле	1	3
33	с тем что	5	3
34	именно в этом	1	3
35	вместе с тем	4	3
36	но в то	1	3
37	большей или меньшей	1	3
38	сама по себе	1	3
39	но все же	2	3
40	как мы видели	4	3
41	не говоря уже	1	2
42	влечет за собой	1	2
43	что же касается	1	2
44	этого понятия в	1	2
45	с точки зрения	7	2
46	что в нем	2	2
47	может быть и	3	2
48	в конце концов	2	2
49	на задний план	1	2
50	смысле этого слова	1	2
51	не могут быть	4	2
52	чтобы можно было	1	2
53	не в том	3	2
54	тем что не	1	2
55	в связи с	10	2
56	здесь все время	1	2
57	есть не что	1	2
58	языка и его	5	2
59	по этому поводу	1	2
60	и в конце	1	1
61	был и другой	1	1
62	должна быть положена	1	1
63	мы говорим о	2	1
64	он был в	1	1
65	прежде всего в	2	1
66	теми или иными	1	1
67	то о чем	1	1
68	как один из	1	1
69	более или менее	1	1
70	имеем в виду	1	1
71	на самом деле	3	1
72	в настоящее время	1	1
73	русского языка и	1	1
74	бы сказать что	1	1
75	в самом широком	1	1
76	в какой они	1	1
77	что не следует	1	1
78	и должно изучать	1	1
79	именно из его	1	1
80	самом широком и	1	1
81	можно и должно	3	1
82	в этом пункте	2	1
83	то или иное	1	1
84	как это было	2	1
85	не могли не	1	1
86	смысле в каком	1	1
87	говоря уже о	1	1
88	в таком случае	1	1
89	сам по себе	3	1
90	прежде всего то	1	1
91	в отличие от	2	1
92	но и в	3	1
93	и в дальнейшем	2	1
94	не было бы	1	1
95	только в том	1	1
96	только то что	1	1
97	что уже создано	1	1
98	не сам по	1	1
99	том или ином	1	1
100	самого по себе	1	1
101	каждое из этих	1	1
102	и не в	2	1
103	а если и	1	1
104	в зависимости от	3	1
105	содержания но и	1	1
106	уже потому что	1	1
107	если же мы	1	1
108	в том или	1	1
109	в особенности в	1	1
110	на почве их	1	1
111	это может быть	1	1
112	не могло не	1	1
113	чтобы говорить о	1	1
114	могут быть названы	1	1
115	мы имеем в	1	1
116	можно говорить о	1	1
117	сообщение о том	1	1
118	в том как	1	1
119	быть и речи	3	1
120	в большей или	1	1
121	или меньшей степени	1	1
122	содержанию и форме	1	1
123	на твердую почву	1	1
124	бы то ни	1	1
125	отношение к действительности	1	1
126	должен был быть	1	1
127	лишь в том	1	1
128	науки о языке	1	1
129	том смысле в	1	1
130	тем что в	1	1
131	в этом понятии	2	1
132	о языке как	1	1
133	т е все	1	1
134	в общих чертах	1	1
135	к действительности а	1	1
136	литературного языка будет	1	1
137	таким образом мы	1	1
138	здесь не может	1	1
139	его отношение к	1	1
140	в свою очередь	1	1
141	связи с этим	3	1
142	того или иного	4	1
143	собственном смысле этого	1	1
144	и как будет	1	1
145	т е то	1	1
146	с самого начала	2	1
147	социального общения в	1	1
148	и даже просто	1	1
149	и прежде всего	2	1
150	но в этом	2	1
151	при известных условиях	2	1
152	же это не	1	1
153	же время в	1	1
154	этом смысле и	1	1
155	к тому что	2	1
156	было бы сказать	1	1
157	в предисловии к	2	1
158	из того что	1	1
159	и именно как	1	1
160	как мы знаем	2	1
