N	2gram	Vinokur_Ku_1	Vvedenie
1	и т	33	42
2	т д	14	36
3	т е	38	35
4	и в	24	32
5	в том	30	31
6	в этом	14	30
7	том что	21	26
8	может быть	13	26
9	не только	10	22
10	для того	16	21
11	того чтобы	17	20
12	таким образом	12	19
13	также и	2	18
14	то что	9	16
15	потому что	23	15
16	так как	9	15
17	не может	7	14
18	но также	2	14
19	в самом	10	13
20	в нем	4	13
21	о том	9	13
22	со стороны	4	13
23	в их	3	12
24	в общем	3	12
25	в его	12	12
26	того что	9	12
27	только в	11	12
28	и не	12	12
29	как на	3	12
30	как мы	1	11
31	в ее	1	11
32	и именно	2	11
33	ясно что	3	11
34	в данном	4	11
35	что такое	6	11
36	языка и	8	10
37	что в	17	10
38	то же	8	9
39	в истории	3	9
40	и как	2	9
41	но в	2	9
42	по себе	2	9
43	как об	2	9
44	между тем	5	9
45	в той	5	9
46	этом смысле	3	9
47	этого рода	6	9
48	науки о	3	8
49	а только	8	8
50	это не	7	8
51	не в	11	8
52	тем не	4	8
53	не менее	7	8
54	с другой	7	8
55	именно в	6	8
56	самом деле	9	7
57	вопрос о	2	7
58	но не	5	7
59	все же	12	7
60	было бы	15	7
61	точки зрения	14	7
62	филологической традиции	1	7
63	уже и	3	7
64	в применении	1	7
65	можно было	6	7
66	дело с	1	7
67	прежде всего	9	7
68	смысле этого	3	7
69	о котором	2	7
70	только как	1	7
71	смысле слова	1	6
72	что история	2	6
73	из этих	4	6
74	как он	1	6
75	широком смысле	1	6
76	том чтобы	8	6
77	его в	1	6
78	с тем	5	6
79	как и	2	6
80	вовсе не	10	6
81	в то	2	6
82	в качестве	7	6
83	же время	2	6
84	тем что	8	6
85	не могут	2	6
86	не трудно	7	6
87	один из	4	6
88	этот вопрос	1	6
89	и его	5	6
90	истории языка	5	6
91	и даже	3	6
92	до сих	4	6
93	но и	6	6
94	а именно	2	6
95	применении к	1	6
96	сих пор	4	6
97	все это	6	6
98	и историей	1	6
99	хотя бы	10	6
100	одним из	2	5
101	мере в	6	5
102	в целом	4	5
103	иное как	2	5
104	трудно видеть	3	5
105	или вообще	1	5
106	с их	3	5
107	приходим к	1	5
108	так например	2	5
109	об этом	1	5
110	на почве	1	5
111	и тем	2	5
112	в них	7	5
113	но если	2	5
114	в которых	6	5
115	сказать что	1	5
116	течением времени	1	5
117	могут быть	1	5
118	с течением	1	5
119	быть в	2	5
120	как например	2	5
121	так что	4	5
122	видеть что	2	5
123	уже в	3	5
124	не есть	4	5
125	т п	18	5
126	что не	5	5
127	на этот	2	5
128	а не	8	5
129	по своему	1	5
130	она есть	1	5
131	как бы	7	5
132	той мере	5	5
133	в г	3	5
134	другой стороны	6	5
135	есть и	1	5
136	в какой	6	5
137	вместе с	7	5
138	связана с	1	4
139	и то	3	4
140	как это	3	4
141	связи между	1	4
142	в первом	3	4
143	той же	3	4
144	мы имеем	6	4
145	язык как	9	4
146	что иное	1	4
147	по отношению	8	4
148	не просто	5	4
149	от истории	2	4
150	от этого	2	4
151	уже не	8	4
152	так или	2	4
153	в себе	3	4
154	но ведь	2	4
155	истории и	1	4
156	научное языковедение	2	4
157	в своей	2	4
158	в котором	3	4
159	по сравнению	1	4
160	по крайней	5	4
161	как о	2	4
162	не имеет	2	4
163	нельзя не	1	4
164	в разных	2	4
165	в каждом	2	4
166	это только	3	4
167	при том	2	4
168	внимание на	4	4
169	и что	5	4
170	крайней мере	5	4
171	как она	1	4
172	и история	1	4
173	еще не	5	4
174	что он	6	4
175	с одной	1	4
176	речь в	4	4
177	одно из	2	4
178	всяком случае	5	4
179	само по	1	4
180	как раз	8	4
181	этом отношении	5	4
182	даже и	3	4
183	науки в	1	4
184	в особенности	3	4
185	одной стороны	1	4
186	или иначе	2	4
187	по мере	3	4
188	еще и	5	4
189	е в	2	4
190	о чем	2	4
191	с этой	2	4
192	этом случае	2	4
193	и для	2	4
194	только что	1	4
195	а в	5	4
196	конфликт между	1	4
197	не что	1	4
198	отношению к	9	4
199	общем случае	1	4
200	во всяком	5	4
201	и есть	2	3
202	в основании	1	3
203	собственном смысле	1	3
204	как история	2	3
205	в германии	1	3
206	в сущности	3	3
207	так чтобы	1	3
208	говорить о	1	3
209	то это	3	3
210	в виду	5	3
211	и на	4	3
212	ответа на	1	3
213	в различных	1	3
214	в чем	1	3
215	своего рода	1	3
216	совсем не	1	3
217	однако не	6	3
218	хотя и	3	3
219	с понятием	1	3
220	бы и	2	3
221	что это	5	3
222	все эти	6	3
223	в этой	3	3
224	в известном	1	3
225	что она	3	3
226	при этом	6	3
227	если бы	9	3
228	вообще не	1	3
229	свое время	2	3
230	на этом	1	3
231	всего то	1	3
232	на этой	1	3
233	заключается в	2	3
234	отчет в	1	3
235	в свое	2	3
236	в прямом	1	3
237	и уже	1	3
238	мы видели	1	3
239	строгом смысле	1	3
240	как целое	1	3
241	нисколько не	3	3
242	со всей	1	3
243	в этих	4	3
244	от себя	2	3
245	и вот	1	3
246	однако в	1	3
247	тогда когда	6	3
248	дело в	1	3
249	дело не	2	3
250	связи с	7	3
251	областями культуры	1	3
252	как будто	1	3
253	языков в	1	3
254	в области	7	3
255	в каком	2	3
256	языка в	12	3
257	но все	2	3
258	должен быть	4	3
259	в ней	6	3
260	в собственном	2	3
261	на том	3	3
262	во второй	1	3
263	язык и	1	3
264	как науки	1	3
265	можно сказать	3	3
266	а также	1	3
267	времени в	1	3
268	от другой	1	3
269	в конечном	1	3
270	что с	2	3
271	культурного развития	3	3
272	что даже	1	3
273	в начале	1	3
274	и других	1	3
275	из них	4	3
276	в известной	1	3
277	в одном	3	3
278	в конце	1	3
279	что и	4	3
280	отношение к	1	3
281	может служить	2	3
282	но что	1	3
283	русский язык	4	3
284	свое выражение	1	3
285	а потому	5	3
286	именно как	1	3
287	до конца	2	3
288	говорит о	1	3
289	из наиболее	1	3
290	зависит от	1	3
291	так называемой	2	3
292	так называемых	1	3
293	так же	4	3
294	в строгом	1	3
295	конечном итоге	1	3
296	что же	6	3
297	да и	1	3
298	с историей	2	3
299	этой науки	1	3
300	в своем	3	3
301	но с	2	3
302	sui generis	1	3
303	каждой из	1	3
304	разумеется и	2	3
305	к тому	5	3
306	об отношении	1	3
307	том виде	1	3
308	в результате	5	3
309	наука о	2	3
310	филологию и	1	3
311	культурной истории	2	3
312	с русской	1	3
313	культуры в	1	3
314	к этому	1	3
315	в частности	4	3
316	гораздо более	3	3
317	вряд ли	1	2
318	языка с	1	2
319	же как	1	2
320	дело что	1	2
321	как наука	1	2
322	наших дней	1	2
323	начале xix	1	2
