N	2gram	Tiupa_Lite_2	DiskursI
1	в себе	6	19
2	при этом	6	17
3	в этом	9	16
4	как и	10	16
5	состоит в	9	16
6	и в	19	16
7	в качестве	5	16
8	может быть	17	16
9	и не	11	15
10	а не	20	14
11	отличие от	1	12
12	то есть	5	12
13	в отличие	1	12
14	и т.п	10	12
15	в частности	4	12
16	тогда как	9	11
17	но в	2	11
18	представляет собой	2	11
19	в мире	9	11
20	но и	10	11
21	со стороны	3	10
22	не только	8	10
23	том что	7	10
24	своего рода	13	10
25	так и	7	9
26	не может	9	9
27	такого рода	9	9
28	как в	1	8
29	в том	10	8
30	а также	2	8
31	но не	5	7
32	в данном	3	7
33	в рамках	4	7
34	в нем	3	7
35	художественного письма	2	7
36	не менее	6	7
37	при всей	2	7
38	прежде всего	4	7
39	то же	12	6
40	еще не	2	6
41	данном случае	3	6
42	себя в	6	6
43	отнюдь не	4	6
44	все же	2	6
45	по мысли	1	6
46	в своей	1	6
47	тем самым	3	6
48	по своей	1	6
49	в своих	2	6
50	и на	6	5
51	в противовес	3	5
52	в своем	1	5
53	в противоположность	2	5
54	в то	9	5
55	коммуникативного события	2	5
56	с другой	8	5
57	же время	9	5
58	что в	4	5
59	для него	4	5
60	то что	7	5
61	а с	1	5
62	лирического героя	4	5
63	ни к	1	5
64	я в	7	5
65	героя в	2	5
66	я и	4	4
67	и то	3	4
68	разумеется не	2	4
69	по отношению	4	4
70	в этой	3	4
71	человека в	4	4
72	с позиции	1	4
73	в основе	2	4
74	потому что	2	4
75	этом отношении	3	4
76	о том	2	4
77	в пределах	1	4
78	картина мира	2	4
79	одного из	1	4
80	времени в	1	4
81	с одной	7	4
82	одно из	2	4
83	в одном	2	4
84	одной стороны	6	4
85	художественного целого	1	4
86	как бы	2	4
87	не является	2	4
88	мира и	1	4
89	точки зрения	4	4
90	к его	1	4
91	к этому	1	4
92	отношению к	3	4
93	можно назвать	1	4
94	своего и	1	3
95	в строгом	1	3
96	в становлении	1	3
97	столь же	5	3
98	к жизни	2	3
99	и как	3	3
100	и наконец	2	3
101	все эти	1	3
102	всей своей	3	3
103	он не	5	3
104	не следует	1	3
105	в другом	3	3
106	с позиций	1	3
107	его в	1	3
108	это не	1	3
109	соответствии с	2	3
110	ведет к	1	3
111	в этих	1	3
112	не столько	3	3
113	одном из	2	3
114	не в	4	3
115	на рубеже	1	3
116	коммуникативное событие	3	3
117	в русской	4	3
118	в тексте	1	3
119	мире и	1	3
120	могут быть	2	3
121	об одном	1	3
122	но одновременно	1	3
123	той или	1	3
124	мысль о	1	3
125	приводит к	1	3
126	еще в	4	3
127	в его	4	3
128	восходит к	2	3
129	субъекта в	1	3
130	с читателем	2	3
131	и его	3	3
132	уже не	2	3
133	из них	2	3
134	присутствия в	2	3
135	в них	2	3
136	лирический герой	10	3
137	в исторической	1	3
138	или иной	1	3
139	не было	2	3
140	не знает	2	3
141	мира в	2	3
142	в творчестве	1	3
143	иначе говоря	1	3
144	субъект самоопределения	1	3
145	в контексте	1	3
146	можно сказать	1	3
147	но это	3	3
148	в пределе	1	3
149	и все	1	3
150	можно признать	1	3
151	жизни в	4	3
152	следует признать	3	3
153	жизни а	2	3
154	жизни и	4	3
155	как на	3	3
156	же как	2	2
157	того же	4	2
158	идет о	3	2
159	перед лицом	1	2
160	по преимуществу	2	2
161	являет собой	2	2
162	той же	2	2
163	в повестях	1	2
164	потом и	1	2
165	место в	1	2
166	жизни как	2	2
167	в цикле	1	2
168	в ней	4	2
169	к своему	2	2
170	мы имеем	1	2
171	в сочетании	1	2
172	жизненный путь	1	2
173	бессмертие и	1	2
174	это мир	1	2
175	более чем	1	2
176	о.м фрейденберг	1	2
177	стороны и	1	2
178	как уже	2	2
179	в концовке	1	2
180	лежит на	1	2
181	отношения между	1	2
182	в целом	2	2
183	рассказ о	1	2
184	не более	2	2
185	в классическом	1	2
186	взаимодействующих сознаний	2	2
187	должна быть	1	2
188	в принципе	5	2
189	не к	2	2
190	свое время	2	2
191	подобно тому	2	2
192	что ни	1	2
193	одно и	2	2
194	личности в	3	2
195	же касается	1	2
196	и с	3	2
197	который по	1	2
198	но уже	2	2
199	по формуле	2	2
200	такой же	3	2
201	этом случае	2	2
202	в ходе	1	2
203	лирическое я	4	2
204	сочетании с	1	2
205	с точки	3	2
206	пока еще	1	2
207	обращение к	1	2
208	их в	1	2
209	никогда не	3	2
210	писателя с	1	2
211	того и	1	2
212	базируется на	1	2
213	при котором	1	2
214	и чужого	1	2
215	на самого	1	2
216	со своим	1	2
217	сводится к	1	2
218	что на	1	2
219	в области	4	2
220	для себя	2	2
221	с ее	2	2
222	ни одно	1	2
223	здесь не	1	2
224	и выступает	1	2
225	литературного письма	1	2
226	по сути	1	2
227	в себя	3	2
228	не с	3	2
229	в результате	2	2
230	покоя и	1	2
231	произведения как	1	2
232	основе своей	1	2
233	русской литературе	2	2
234	эти характеристики	1	2
235	что и	2	2
236	другого в	3	2
237	индивидуального бытия	1	2
238	с.с аверинцева	1	2
239	и одновременно	2	2
240	которая в	1	2
241	который не	1	2
242	своего другого	3	2
243	есть в	1	2
244	слова не	1	2
245	реальности и	1	2
246	начала жизни	1	2
247	бытия и	1	2
248	именно в	1	2
249	далеко не	1	2
250	и прежде	1	2
251	в соответствии	1	2
252	стремится к	1	2
253	и адресата	1	2
254	вместе с	5	2
255	художественное целое	1	2
256	тому как	2	2
257	что же	1	2
258	в ряду	1	2
259	я с	1	2
260	в свое	2	2
261	х гг	1	2
262	в полном	1	2
263	и для	3	2
264	а к	2	2
265	ключом к	1	2
266	а в	3	2
267	исторической поэтики	1	2
268	другой стороны	4	2
269	что он	3	2
270	и состоит	1	2
271	причастности к	4	2
272	своим историческим	1	1
273	себя как	2	1
274	жизни где	1	1
275	речь идет	3	1
276	одним из	3	1
277	самом деле	1	1
278	переход от	1	1
279	это и	1	1
280	на деле	1	1
281	от личности	1	1
282	доверия к	1	1
283	в первом	1	1
284	принципиальное различие	2	1
285	к собственной	2	1
286	двух замкнутых	1	1
287	в году	5	1
288	есть не	1	1
289	и само	1	1
290	мы не	4	1
291	сведена к	1	1
292	он как	1	1
293	в сущности	3	1
294	а для	1	1
