N	3gram	Tiupa_Teor_1	OGranits
1	с точки зрения	3	5
2	не может быть	4	4
3	по отношению к	4	3
4	одно и то	1	3
5	что иное как	1	2
6	материала в искусстве	1	2
7	в данном случае	5	2
8	с одной стороны	2	2
9	и то же	1	2
10	с другой стороны	5	2
11	того или иного	3	2
12	есть не что	1	2
13	не что иное	1	2
14	в том что	8	2
15	точки зрения и	1	1
16	том что в	1	1
17	с ними и	1	1
18	организации художественного произведения	2	1
19	что в основе	2	1
20	в хх веке	1	1
21	иметь в виду	1	1
22	в виду что	1	1
23	более или менее	2	1
24	подобно тому как	1	1
25	то же самое	1	1
26	можно говорить о	1	1
27	в отличие от	6	1
28	только то что	1	1
29	следует иметь в	1	1
30	ни одно слово	1	1
31	может быть и	2	1
32	то или иное	1	1
33	ту или иную	1	1
34	для того чтобы	1	1
35	отношений между людьми	1	1
36	в особенности в	1	1
37	так же как	1	1
38	но в действительности	1	1
39	если говорить о	1	1
40	состоит в том	5	1
41	тем не менее	3	1
42	в одном случае	1	1
43	в связи с	1	1
44	в организации художественного	1	1
45	все то что	1	1
46	его можно лишь	1	1
47	то же время	5	1
48	так же точно	1	1
49	может быть это	1	1
50	та или иная	1	1
51	собственно говоря и	1	1
52	но в то	1	1
53	и т.д как	1	1
54	в конечном счете	6	1
55	в то же	5	1
56	к тому что	2	1
57	тех или иных	3	1
58	человека и его	1	1
59	как и в	2	1
60	можно лишь путем	1	1
61	которого только и	1	1
