N	2gram	Bakhtin_Fr_4	BTomashe
1	у нас	1	3
2	и не	16	2
3	все это	4	2
4	в ней	3	2
5	видеть в	1	2
6	можно было	1	2
7	же не	2	1
8	за пределы	1	1
9	говорить о	1	1
10	будто бы	1	1
11	об этом	1	1
12	и в	29	1
13	не вполне	1	1
14	и о	5	1
15	со всем	1	1
16	что все	1	1
17	с другой	4	1
18	в своей	5	1
19	на самом	4	1
20	как будто	2	1
21	сейчас в	1	1
22	все же	3	1
23	кроме того	2	1
24	между ними	2	1
25	еще не	4	1
26	и на	11	1
27	одной из	2	1
28	должна быть	1	1
29	прежде всего	8	1
30	для которой	1	1
31	в данном	1	1
32	и во	1	1
33	так и	11	1
34	в книге	1	1
35	далеко не	5	1
36	до конца	5	1
37	что в	1	1
38	другой стороны	3	1
39	и ее	1	1
40	не все	1	1
41	таким образом	20	1
42	и потому	1	1
43	не только	10	1
44	свою книгу	1	1
45	в эпоху	15	1
