N	2gram	Bakhtin_sl_1	EvropaiE
1	и в	41	37
2	в отношении	6	32
3	в пределах	14	25
4	точки зрения	16	23
5	не только	16	18
6	с точки	8	17
7	в то	14	16
8	то же	14	15
9	хотя бы	3	15
10	отношении к	6	15
11	в своем	3	14
12	но в	8	14
13	же время	12	14
14	в качестве	3	14
15	но и	16	14
16	и не	16	14
17	в этом	12	12
18	в их	4	11
19	в том	3	11
20	так и	11	10
21	в себе	3	9
22	только в	6	9
23	прежде всего	8	9
24	не может	14	9
25	так же	2	9
26	в смысле	4	9
27	в ее	2	8
28	было бы	3	8
29	в своей	7	8
30	к тому	3	8
31	между тем	2	8
32	с одной	4	8
33	одной стороны	4	8
34	также и	3	7
35	а также	2	7
36	того что	3	7
37	так как	3	7
38	с другой	5	7
39	как и	4	7
40	по своему	2	7
41	между прочим	1	7
42	может быть	14	6
43	и на	14	6
44	во всех	17	6
45	стороны и	1	6
46	на то	1	6
47	то есть	26	6
48	том что	2	6
49	того чтобы	1	6
50	вовсе не	7	6
51	для того	2	6
52	в последние	2	6
53	и даже	6	6
54	как бы	12	6
55	с этой	3	6
56	же как	2	5
57	столь же	2	5
58	но не	2	5
59	не в	7	5
60	и по	2	5
61	но если	1	5
62	как мы	8	5
63	одной из	3	5
64	в виде	2	5
65	со стороны	1	5
66	от этого	2	5
67	в частности	2	5
68	и потому	4	5
69	в течение	1	5
70	в той	10	5
71	этой точки	1	5
72	то в	2	4
73	мы не	2	4
74	но даже	1	4
75	в некотором	1	4
76	в ней	4	4
77	в самом	5	4
78	то ни	1	4
79	того или	2	4
80	несмотря на	1	4
81	чем в	1	4
82	даже в	2	4
83	в процессе	4	4
84	в направлении	1	4
85	той или	9	4
86	бы то	1	4
87	можно сказать	2	4
88	тем более	1	4
89	именно в	3	4
90	ни было	2	4
91	или иной	9	4
92	не на	5	4
93	мира в	1	4
94	для нас	2	4
95	сказать что	2	4
96	или иного	2	4
97	в каком	1	4
98	из всех	1	3
99	бы и	3	3
100	и со	1	3
101	того же	6	3
102	время в	1	3
103	в общем	1	3
104	как в	8	3
105	и к	5	3
106	в известном	2	3
107	вообще не	3	3
108	в определенном	1	3
109	не дает	1	3
110	большинстве случаев	6	3
111	и тем	2	3
112	в них	6	3
113	мы видели	1	3
114	и некоторые	1	3
