N	3gram	Losev_Prob_2	VelikijI
1	то что мы	7	3
2	все тот же	1	2
3	но и в	3	2
4	в вопросе о	1	2
5	в том что	4	2
6	и т д	6	2
7	но все же	1	1
8	для себя своего	2	1
9	то ни стало	1	1
10	во что бы	1	1
11	есть прежде всего	4	1
12	да и то	2	1
13	и есть то	2	1
14	хотя бы и	3	1
15	с тем чтобы	1	1
16	бы то ни	2	1
17	если оно не	1	1
18	и можно ли	1	1
19	по крайней мере	6	1
20	то и другое	1	1
21	вместе с тем	1	1
22	есть то что	2	1
23	и для человеческого	1	1
24	не могли бы	1	1
25	что бы то	1	1
26	того что он	1	1
27	все равно не	1	1
28	в конце концов	7	1
29	в известном смысле	1	1
30	и в этом	3	1
31	все что было	1	1
32	в этих словах	1	1
33	тем что они	1	1
34	уже и не	1	1
35	с другой стороны	5	1
36	так и в	1	1
37	мы же говорим	1	1
38	сознания так и	1	1
39	самого себя и	1	1
40	оно не имеет	1	1
41	свою роль в	1	1
42	и в вопросе	1	1
