N	3gram	Bakhtin_KF_1	Marksizm
1	с точки зрения	9	13
2	не может быть	11	10
3	в то же	2	8
4	то же время	2	8
5	по отношению к	22	8
6	для того чтобы	1	6
7	в том что	2	6
8	в большинстве случаев	1	5
9	может быть и	1	5
10	но в то	1	5
11	то же самое	1	5
12	в свою очередь	1	5
13	бы то ни	2	4
14	смысле этого слова	1	4
15	то ни было	2	4
16	и того же	1	4
17	на самом деле	3	4
18	той или иной	2	4
19	как если бы	1	4
20	одного и того	1	4
21	и пр и	1	4
22	и не в	1	3
23	к тому что	1	3
24	отсюда следует что	1	3
25	оно ни было	1	2
26	будет ли это	1	2
27	лежит в основе	1	2
28	в противном случае	1	2
29	с нашей точки	1	2
30	в этом последнем	1	2
31	того или иного	3	2
32	на то что	1	2
33	в зависимости от	1	2
34	в значительной степени	1	2
35	не было бы	3	2
36	нашей точки зрения	1	2
37	только в этом	1	2
38	в данном контексте	1	2
39	а не к	1	2
40	в смысле совокупности	1	2
41	а не в	2	2
42	во всяком случае	1	2
43	мы никогда не	1	2
44	дело в том	1	1
45	связанных с ними	1	1
46	на один миг	1	1
47	точки зрения теоретической	1	1
48	не проникает в	5	1
49	между ним и	1	1
50	нет места для	1	1
51	отнюдь не являются	1	1
52	а следовательно и	1	1
53	является вовсе не	1	1
54	и землю и	1	1
55	отношению к нему	4	1
56	на основе признания	2	1
57	ровно ничего не	1	1
58	до конца и	1	1
59	и пр все	1	1
60	бы оно ни	1	1
61	всех этих случаях	1	1
62	ведь если бы	1	1
63	интонации в зависимости	1	1
64	ни на один	1	1
65	в его целом	10	1
66	должно вступить в	1	1
67	нет подхода к	1	1
68	тем или иным	1	1
69	не совпадает с	1	1
70	в котором ориентируется	1	1
71	мы только путем	1	1
72	во всех своих	3	1
73	только по отношению	2	1
74	же самое что	1	1
75	заключать в себе	1	1
76	в данный момент	3	1
77	но в этом	1	1
78	если мы возьмем	1	1
79	он не может	1	1
80	но отнюдь не	1	1
81	в нем и	3	1
82	к чему не	2	1
83	только путем скачка	1	1
84	не менее в	1	1
85	в конечном счете	1	1
86	может быть понято	1	1
87	независимо от того	1	1
88	бытие отрешенное от	1	1
89	конечно не в	1	1
90	оно могло бы	1	1
91	но во всяком	1	1
92	в определенных условиях	1	1
93	ни к чему	2	1
94	по себе а	1	1
95	то или иное	2	1
96	в котором не	1	1
97	мы живем и	1	1
98	но для того	1	1
99	в процессе ее	1	1
100	и небо и	1	1
101	быть не может	1	1
102	на том что	1	1
103	само по себе	1	1
104	это не есть	3	1
105	никогда не может	1	1
106	во всех этих	2	1
107	как и всякое	1	1
108	тем не менее	2	1
109	лишь в процессе	1	1
110	несмотря на то	1	1
111	что конечно невозможно	1	1
112	если не исключительно	1	1
113	в этой своей	1	1
114	отношении к нему	1	1
115	может быть случайной	1	1
116	в соответствии с	2	1
117	в противоречие с	1	1
118	и ни к	1	1
