N	3gram	Bakhtin_fo_1	TeoriaLi
1	по отношению к	3	8
2	в отличие от	2	7
3	в том что	2	6
4	то же время	9	6
5	в то же	6	6
6	в данном случае	1	5
7	ни в мире	1	3
8	в свою очередь	1	3
9	той или иной	2	3
10	по своей природе	1	2
11	и того же	5	2
12	в этом мире	2	2
13	в данный момент	1	2
14	и не могло	1	2
15	в соответствии с	2	2
16	так и его	1	2
17	с точки зрения	2	2
18	но он не	1	2
19	не могло быть	3	2
20	в самом начале	1	2
21	с одной стороны	2	2
22	и то же	3	2
23	в нашем случае	1	2
24	одно и то	3	2
25	одного и того	5	2
26	сама по себе	1	2
27	не может быть	3	2
28	как и в	2	2
29	примет в осмысленном	1	1
30	и в сущности	2	1
31	том что в	1	1
32	раз в том	1	1
33	мы видим в	1	1
34	самим собою в	1	1
35	в той или	1	1
36	дело в том	2	1
37	друг другу и	1	1
38	имеем в виду	1	1
39	в том числе	4	1
40	в этом случае	1	1
41	со всех сторон	1	1
42	в осмысленном и	1	1
43	не было и	2	1
44	что он должен	1	1
45	и в то	5	1
46	во времени и	1	1
47	не входит в	1	1
48	слияние пространственных и	1	1
49	том числе и	2	1
50	с самим собою	3	1
51	и др в	2	1
52	он ни был	1	1
53	и временных примет	1	1
54	и конкретном целом	1	1
55	никогда не бывает	1	1
56	может быть и	2	1
57	как раз в	4	1
58	до известной степени	1	1
59	в значительной степени	1	1
60	человека с самим	1	1
61	осмысленном и конкретном	1	1
62	и со всеми	1	1
63	в основе его	1	1
64	и т.д эта	1	1
65	таким образом и	1	1
66	между собой в	1	1
67	в себя и	1	1
68	героев и их	1	1
69	не могут быть	1	1
70	и как бы	1	1
71	в связи с	5	1
72	имеет место слияние	1	1
73	место слияние пространственных	1	1
74	так же как	2	1
75	жизни то есть	2	1
76	в то время	3	1
77	нашем случае в	1	1
78	внешних и внутренних	1	1
79	место в событии	1	1
80	пространственных и временных	2	1
81	временных примет в	1	1
82	о том что	1	1
83	включает в себя	1	1
84	и прежде всего	2	1
85	но в то	1	1
86	себя только в	1	1
87	хронотопе имеет место	1	1
88	мы имеем в	1	1
89	ни к какой	1	1
90	в частности с	1	1
91	та или иная	1	1
92	но дело в	1	1
93	для того чтобы	5	1
94	человека и его	7	1
95	события частной жизни	1	1
96	к тому же	2	1
97	было и не	1	1
98	автора и читателей	1	1
