N	2gram	Tiupa_Hudo_1	Narrotol
1	не только	16	32
2	может быть	14	25
3	но и	10	23
4	в качестве	24	21
5	и не	15	20
6	то есть	18	19
7	и в	19	19
8	в том	18	18
9	в этом	11	17
10	в тексте	9	16
11	не в	7	14
12	в частности	13	14
13	том что	8	14
14	состоит в	16	13
15	представляет собой	10	12
16	тогда как	13	12
17	в рамках	8	12
18	своего рода	5	12
19	коммуникативного события	2	12
20	а не	9	12
21	то что	4	11
22	а в	12	11
23	точки зрения	10	10
24	не может	7	10
25	при этом	13	9
26	в мире	21	9
27	так и	11	9
28	в его	9	9
29	со стороны	2	9
30	в себе	9	8
31	во времени	4	8
32	и т.п	4	8
33	с другой	7	8
34	не является	4	8
35	героя в	1	8
36	еще не	3	7
37	по отношению	9	7
38	как в	2	7
39	в случае	1	7
40	времени и	2	7
41	как и	2	7
42	к тому	4	7
43	и т.д	3	7
44	а также	5	7
45	с одной	2	7
46	одной стороны	2	7
47	такого рода	10	7
48	высказывания в	4	6
49	с его	6	6
50	но не	11	6
51	в той	3	6
52	то в	2	6
53	креативная компетенция	1	6
54	тем самым	4	6
55	в себя	2	6
56	о том	2	6
57	что он	3	6
58	именно в	2	6
59	как это	5	6
60	отношению к	9	6
61	иначе говоря	4	6
62	том числе	2	6
63	но в	7	6
64	между двумя	2	5
65	не все	2	5
66	отличие от	7	5
67	отнюдь не	2	5
68	и как	3	5
69	уже не	4	5
70	в этой	2	5
71	тому же	1	5
72	картины мира	3	5
73	далеко не	2	5
74	в отличие	7	5
75	по себе	2	5
76	в основе	4	5
77	речевая маска	1	5
78	и его	12	5
79	картина мира	5	5
80	к нему	3	5
81	нуждается в	1	5
82	в форме	4	5
83	себя в	7	5
84	или иной	7	5
85	мира в	2	5
86	в данном	4	5
87	можно сказать	5	5
88	не предполагает	3	5
89	то же	10	4
90	из которых	1	4
91	здесь не	2	4
92	как правило	2	4
93	перед нами	1	4
94	в нем	5	4
95	в принципе	5	4
96	в силу	1	4
97	было бы	1	4
98	и тем	2	4
99	по характеристике	1	4
100	связи с	1	4
101	числе и	1	4
102	той или	4	4
103	имеет место	2	4
104	не столько	3	4
105	те же	1	4
106	внутреннего зрения	7	4
107	основе своей	1	4
108	же время	5	4
109	во втором	4	4
110	или напротив	1	4
111	вслед за	1	4
112	только в	5	4
113	в пространстве	2	4
114	при всей	1	4
115	у него	1	4
116	в особенности	1	4
117	что не	1	4
118	прежде всего	4	4
119	в рассказе	3	4
120	если не	1	4
121	сказания или	1	4
122	как бы	9	4
123	отличается от	2	4
124	н.д тамарченко	1	4
125	же в	1	4
126	одной из	2	4
127	героя и	5	4
128	сказать что	4	4
129	другой стороны	5	4
130	это и	1	3
131	в первом	1	3
132	же как	1	3
133	в сущности	1	3
134	жизни как	3	3
135	и на	2	3
136	может не	1	3
137	еще одна	1	3
138	бы то	1	3
139	в ее	5	3
140	значении этого	4	3
141	если в	1	3
142	что они	1	3
143	как говорит	3	3
144	хотя и	3	3
145	референтная компетенция	2	3
146	что это	1	3
147	из этих	3	3
148	в притче	2	3
149	не есть	1	3
150	героя к	1	3
151	он не	4	3
152	то ни	1	3
153	не будет	2	3
154	по бахтину	2	3
155	в третьем	1	3
156	ни в	5	3
157	обратимся к	1	3
158	тем не	3	3
159	бы быть	1	3
160	не менее	3	3
161	различного рода	1	3
162	коммуникативное событие	2	3
163	в то	6	3
164	тем что	1	3
165	одна из	2	3
166	в эпизоде	1	3
167	никогда не	2	3
168	по своей	7	3
169	художественной литературы	2	3
170	могут быть	4	3
171	как мы	1	3
172	с ее	5	3
173	свою очередь	2	3
174	сводится к	7	3
175	то или	1	3
176	в произведении	3	3
177	не с	2	3
178	мог бы	3	3
179	литературные жанры	1	3
180	столь же	1	3
181	в конечном	5	3
182	восходит к	1	3
183	между тем	4	3
184	а именно	2	3
185	один из	2	3
186	по мысли	2	3
187	из них	1	3
188	коммуникативной стратегии	2	3
189	в прошлом	1	3
190	присутствия в	8	3
191	и даже	1	3
192	или иначе	4	3
193	не обязательно	2	3
194	в свою	3	3
195	а с	2	3
196	в присутствии	1	3
197	и рецептивная	1	3
198	как будто	1	3
199	высказывания и	2	3
200	конфигурация эпизодов	1	3
201	не существует	1	3
202	что в	6	3
203	или анекдота	1	3
204	ни было	1	3
205	жизни в	2	3
206	жизни и	1	3
207	отношения к	2	2
208	одним из	1	2
209	например в	3	2
210	таком случае	1	2
211	и потому	2	2
212	идет о	1	2
213	здесь и	1	2
214	к другому	1	2
215	бытийной компетенции	1	2
216	анекдот не	1	2
217	который в	2	2
218	мы имеем	6	2
219	со смертью	1	2
220	говорить о	3	2
221	между собой	2	2
222	иное как	1	2
223	время в	1	2
224	события в	1	2
225	во внешнем	1	2
226	вокруг я	2	2
227	но как	2	2
228	отношение к	5	2
229	или иное	1	2
230	первый взгляд	1	2
231	форма авторства	2	2
232	как к	2	2
233	в своем	2	2
234	кто говорит	5	2
235	или субъектом	2	2
236	более или	5	2
237	в противоположность	3	2
238	или иную	1	2
239	всего лишь	4	2
240	участок текста	2	2
241	так или	3	2
242	все эти	2	2
243	бы не	1	2
244	всей своей	2	2
245	из анекдота	1	2
246	в известном	1	2
247	роль в	1	2
248	всей его	2	2
249	жизнью и	1	2
250	с чем	1	2
251	в классическом	1	2
252	себя и	2	2
253	глядела на	1	2
254	ключ к	1	2
255	эпизодов в	1	2
256	не как	2	2
257	художественного высказывания	2	2
258	подобно тому	1	2
259	значительной степени	1	2
260	подход к	1	2
261	это позиция	2	2
262	а по	1	2
263	все их	1	2
264	его в	2	2
265	того или	3	2
266	коммуникативную стратегию	2	2
267	его личности	1	2
268	это не	2	2
269	в молчание	2	2
270	авторской позиции	2	2
271	зрения или	1	2
272	жизни но	2	2
273	на первый	1	2
274	или менее	5	2
275	м.м бахтин	2	2
276	с точки	3	2
277	анекдотического дискурса	1	2
278	я героя	2	2
279	однако в	4	2
280	зрения и	1	2
281	даже в	3	2
282	некоторого рода	1	2
283	писал он	1	2
284	которого он	1	2
285	коммуникативным событием	1	2
286	что иное	1	2
287	в структуре	3	2
288	не могло	2	2
289	себе самом	1	2
290	не имеет	1	2
291	и соответственно	2	2
292	имеем дело	2	2
293	как раз	3	2
294	позиции и	1	2
295	страны мертвых	1	2
296	этического выбора	2	2
297	без исключения	4	2
298	компетенции персонажа	1	2
299	личности в	4	2
300	когда мы	1	2
301	дискурса в	1	2
302	следует признать	1	2
303	ценностного центра	3	2
304	оно не	1	2
305	говоря словами	5	2
306	в анекдоте	1	2
307	говорит и	3	2
308	компетенция жанра	1	2
309	в собственном	1	2
310	по сути	3	2
311	в организации	1	2
312	даже самое	1	2
313	в пределах	3	2
314	приводит к	5	2
315	читателя в	3	2
316	или в	2	2
317	из модификаций	1	2
318	быть может	1	2
319	присутствующего в	2	2
320	индивидуального речевого	2	2
321	с человеком	1	2
322	нарушение запрета	1	2
323	первого эпизода	1	2
324	в значительной	1	2
325	времени в	2	2
326	художественных текстах	1	2
327	том или	1	2
328	организации текста	1	2
329	во всей	3	2
330	не сводится	5	2
331	речевой маски	1	2
332	от всех	1	2
333	в литературе	1	2
334	известном смысле	1	2
335	субъекта и	3	2
336	и одновременно	5	2
337	дело с	1	2
338	может оказаться	2	2
339	являет собой	3	2
340	он уже	1	2
341	и ее	3	2
342	от одной	1	2
343	есть в	2	2
344	конечном счете	5	2
345	ту или	1	2
346	одно из	2	2
347	для него	4	2
