N	3gram	Losev_Vesc_1	Istorich
1	и т д	19	16
2	с другой стороны	2	8
3	не только в	4	5
4	о том что	4	5
5	так же как	1	4
6	с одной стороны	3	4
7	что у него	1	4
8	тем не менее	3	4
9	в том что	4	4
10	этой точки зрения	1	3
11	с этой точки	1	3
12	с этой стороны	1	3
13	мы видим что	1	3
14	не может быть	6	3
15	в данном случае	2	3
16	то время как	1	2
17	между прочим и	1	2
18	потому что у	1	2
19	и здесь мы	1	2
20	до сих пор	1	2
21	в том чтобы	1	2
22	т е в	7	2
23	а в том	1	2
24	мы не можем	1	2
25	в то время	1	2
26	на то чтобы	1	2
27	что и в	1	2
28	о том как	1	1
29	потому что я	2	1
30	таким образом что	1	1
31	быть с этой	1	1
32	эти две стороны	1	1
33	мы видим таким	1	1
34	только потому что	1	1
35	с точки зрения	3	1
36	оно может быть	1	1
37	но так как	1	1
38	что это значит?	2	1
39	в самом деле	4	1
40	и в особенности	1	1
41	еще не вполне	1	1
42	новые и новые	1	1
43	с тех пор	1	1
44	т д и	5	1
45	то же самое	1	1
46	и оно же	1	1
47	надо не просто	1	1
48	они должны быть	1	1
49	и то и	1	1
50	в зависимости от	1	1
51	сама по себе	3	1
52	из него самого	1	1
53	бы то ни	4	1
54	а так как	2	1
55	независимо от того	1	1
56	можно было бы	1	1
57	а потом уже	1	1
58	и не в	1	1
59	то и другое	4	1
60	у него нет	1	1
61	и что это	1	1
62	вместе с тем	1	1
63	не говорит о	1	1
64	в самом начале	1	1
65	то ни было	4	1
66	и что он	1	1
67	то это значит	2	1
68	т е если	2	1
69	это одна из	1	1
70	все же не	1	1
71	и потому что	1	1
72	из всего предыдущего	1	1
73	только о том	1	1
74	или ничем не	1	1
75	у него и	1	1
76	более или менее	1	1
77	все новые и	1	1
78	об этом по	1	1
79	это значит что	19	1
80	сих пор мы	1	1
81	видим таким образом	1	1
82	вопрос о том	1	1
83	можно формулировать так	1	1
84	ту или иную	2	1
85	один из самых	1	1
86	к тому что	2	1
87	к самому себе	1	1
88	т д то	1	1
89	она не может	2	1
90	не просто как	1	1
91	мы видели что	1	1
92	но в чем	1	1
