N	2gram	Propp_Russ_2	Stilisti
1	и в	29	42
2	не только	10	27
3	как бы	18	27
4	прежде всего	2	22
5	то же	4	15
6	но и	8	15
7	и не	1	14
8	не может	5	12
9	может быть	13	12
10	мы уже	1	11
11	как и	11	11
12	отнюдь не	1	10
13	в этом	11	10
14	и как	2	10
15	как мы	3	10
16	мы должны	1	10
17	мы не	6	9
18	при этом	6	9
19	в то	2	9
20	для того	6	9
21	то что	5	9
22	в ней	1	8
23	все же	2	8
24	таким образом	6	8
25	и это	1	8
26	с тем	6	8
27	эти слова	1	8
28	и на	6	7
29	в которой	2	7
30	было бы	3	7
31	так как	13	7
32	никогда не	2	7
33	потому что	5	7
34	того чтобы	6	7
35	ничего не	1	7
36	только в	1	7
37	и его	1	7
38	а не	4	7
39	и от	3	7
40	во всех	3	6
41	в этой	3	6
42	в нем	1	6
43	не в	4	6
44	когда мы	2	6
45	так и	1	6
46	в форме	2	6
47	и так	1	6
48	в конце	1	6
49	в свою	1	6
50	уже в	1	5
51	независимо от	1	5
52	и наконец	1	5
53	и с	10	5
54	того или	1	5
55	мы видели	7	5
56	а в	9	5
57	не является	1	5
58	в его	1	5
59	и следовательно	1	5
60	и является	1	5
61	вместе с	6	5
62	как это	4	5
63	и то	2	4
64	что именно	1	4
65	но в	5	4
66	в самом	1	4
67	что это	3	4
68	так сказать	1	4
69	уже не	4	4
70	можно было	2	4
71	его в	8	4
72	на него	1	4
73	у нас	4	4
74	но все	1	4
75	так называемые	1	4
76	свою очередь	1	4
77	если бы	1	4
78	дерево как	1	4
79	о том	9	4
80	влияние на	2	4
81	можно сказать	1	4
82	все время	1	4
83	того что	3	4
84	один из	2	4
85	мы увидим	1	4
86	в качестве	3	4
87	вопроса о	1	4
88	само собой	1	4
89	связаны с	3	4
90	не просто	1	4
91	а с	2	4
92	и пр	2	4
93	не что	2	4
94	все это	10	4
95	так же	4	4
96	вряд ли	2	3
97	на самом	2	3
98	еще не	6	3
99	видели что	4	3
100	ответ на	1	3
101	нет и	1	3
102	перед нами	1	3
103	хотя и	1	3
104	та же	2	3
105	выражение в	1	3
106	если он	2	3
107	не к	2	3
108	их в	4	3
109	здесь мы	2	3
110	не будет	1	3
111	об этом	2	3
112	связанных с	1	3
113	это не	5	3
114	чаще всего	1	3
115	том что	22	3
116	в какой-нибудь	1	3
117	связи с	2	3
118	до того	1	3
119	в виду	2	3
120	в ее	3	3
121	что у	1	3
122	и здесь	1	3
123	и поэтому	1	3
124	не имеем	1	3
125	должно было	3	3
126	связь между	2	3
127	только на	1	3
128	в данной	1	3
129	из них	4	3
130	не так	1	3
131	в котором	3	3
132	в одном	1	3
133	другого на	1	3
134	что и	2	3
135	и даже	1	3
136	и эта	1	3
137	через нее	1	3
138	в тех	1	3
139	этого слова	1	3
140	как только	1	3
141	этом случае	6	3
142	и для	2	3
143	для нас	6	3
144	и все	4	3
145	главным образом	3	3
146	о своем	1	3
147	сказать что	1	3
148	с природой	1	2
149	человека и	1	2
150	нас не	2	2
151	что эти	1	2
152	мы имеем	6	2
153	вопрос о	4	2
154	между собой	2	2
155	иное как	2	2
156	природы и	2	2
157	но не	5	2
158	значение и	1	2
159	только тогда	3	2
160	должны были	2	2
161	очевидно что	2	2
162	отношение к	1	2
163	первый взгляд	1	2
164	как в	7	2
165	тех случаях	1	2
166	как уже	2	2
167	представляет собой	2	2
168	все эти	3	2
169	тому же	1	2
170	по своему	1	2
