1	с точки зрения	8	15
2	по отношению к	3	11
3	в этом смысле	1	9
4	в том что	17	7
5	в то же	4	7
6	то же время	4	7
7	в этом отношении	7	5
8	в конце концов	1	4
9	том что он	1	4
10	и это не	1	3
11	на самом деле	6	3
12	сами по себе	1	3
13	и в то	1	3
14	в зависимости от	1	3
15	можно было бы	8	3
16	не может быть	5	3
17	но это не	1	3
18	бы то ни	1	3
19	то что было	1	3
20	во всяком случае	6	3
21	и в этом	3	3
22	в той же	2	3
23	в критической литературе	1	2
24	и не может	1	2
25	в лучшем случае	1	2
26	хотя бы и	2	2
27	критической литературы о	1	2
28	же время не	1	2
29	до сих пор	7	2
30	потому что он	1	2
31	в одном из	1	2
32	именно в том	1	2
33	по крайней мере	2	2
34	потому что она	1	2
35	для того чтобы	10	2
36	это не значит	3	2
37	в данном случае	6	2
38	в самом деле	5	2
39	в то время	2	2
40	с другой стороны	6	2
41	о том что	11	2
42	только то что	1	2
43	но в то	2	2
44	заключается в том	3	2
45	что и у	1	1
46	как будто бы	1	1
47	чтобы убедиться в	1	1
48	то что он	1	1
49	не все в	1	1
50	так и в	4	1
51	том и другом	1	1
52	то что в	2	1
53	дело в том	4	1
54	в каждом отдельном	1	1
55	в новом издании	1	1
56	не только в	4	1
57	и даже не	2	1
58	все в этой	1	1
59	можно даже сказать	1	1
60	то что для	1	1
61	прежде всего необходимо	1	1
62	смысле этого слова	1	1
63	во всех этих	1	1
64	и только в	3	1
65	но с другой	2	1
66	и то что	2	1
67	того или иного	4	1
68	что бы то	1	1
69	или совершенно не	1	1
70	ответ на вопрос	1	1
71	же время оно	1	1
72	но для нас	1	1
73	то ни стало	1	1
74	том отношении что	2	1
75	том что о	1	1
76	это слово в	1	1
77	нужно сказать что	4	1
78	и по отношению	1	1
79	может быть и	2	1
80	но все эти	1	1
81	даже сказать что	1	1
82	же как и	1	1
83	в том чтобы	1	1
84	если и можно	1	1
85	только с точки	1	1
86	в то что	1	1
87	в том отношении	4	1
88	наше время и	1	1
89	к тому что	1	1
90	и никогда не	1	1
91	себя самого и	1	1
92	то время как	1	1
93	тому что в	2	1
94	если бы это	1	1
95	в своей статье	4	1
96	это и было	1	1
97	точки зрения их	2	1
98	в том и	1	1
99	критической литературе о	1	1
100	не в том	2	1
101	они ни были	1	1
102	по этому пути	1	1
103	всяком случае не	1	1
104	точно так же	1	1
105	он делает в	1	1
106	и другом случае	1	1
107	смысле как мы	1	1
108	так же как	3	1
109	же степени как	1	1
110	на этот вопрос	1	1
111	что и в	4	1
112	во что бы	1	1
113	выйти за пределы	1	1
114	для него не	1	1
115	а в том	1	1
116	но все же	3	1
117	но вовсе не	1	1
118	и что в	1	1
119	целого то что	1	1
120	что это не	2	1
121	тем более что	2	1
122	это прежде всего	2	1
123	потому что не	1	1
124	что в нем	2	1
125	так как в	2	1
126	а вовсе не	1	1
127	и притом в	1	1
128	тем или иным	3	1
