N	4gram	Bakhtin_Pr_3	TeoriaLi
1	в то же время	5	6
2	состоит в том что	1	3
3	мы имеем дело с	1	1
4	взаимоотношений человека с человеком	1	1
5	вольный фамильярный контакт между	1	1
6	но в то же	1	1
7	модус взаимоотношений человека с	1	1
8	в этом смысле можно	1	1
9	можно даже сказать что	1	1
10	новый модус взаимоотношений человека	1	1
11	в той или иной	1	1
12	с самим собою в	1	1
13	в том числе и	10	1
14	и в то же	2	1
15	с точки зрения логики	1	1
16	провозглашает веселую относительность всего	1	1
17	во всей своей полноте	1	1
