N	3gram	Propp_Isto_5	VeschiIm
1	и т д	18	20
2	не может быть	3	18
3	это значит что	2	17
4	т д и	1	7
5	т е в	3	7
6	д и т	1	7
7	в том что	2	6
8	на то что	2	6
9	в свою очередь	1	5
10	тем не менее	4	5
11	с точки зрения	1	4
12	не только в	2	4
13	то же время	1	4
14	в то же	1	4
15	есть как бы	1	3
16	в самом деле	1	3
17	подобно тому как	1	3
18	и не только	1	3
19	сам по себе	1	3
20	из того что	1	3
21	вместе с тем	6	3
22	указывает на то	1	3
23	само по себе	1	3
24	можно сказать что	1	2
25	этой точки зрения	1	2
26	но то что	1	2
27	о том как	2	2
28	с этой точки	1	2
29	в данном случае	2	2
30	только один из	1	2
31	и таким образом	2	2
32	только в виде	1	1
33	это уже не	2	1
34	может быть подтверждено	1	1
35	а не в	1	1
36	это было бы	1	1
37	существования и что	1	1
38	и все эти	1	1
39	в этом случае	7	1
40	одной стороны и	1	1
41	не имеют никакого	1	1
42	которых идет речь	1	1
43	до сих пор	2	1
44	в зависимости от	1	1
45	еще не был	1	1
46	но уже сейчас	1	1
47	что он не	1	1
48	со всем что	1	1
49	в себе и	1	1
50	что не только	1	1
51	может быть речи	1	1
52	на этой стадии	3	1
53	и тем не	1	1
54	не может считаться	1	1
55	потому что он	2	1
56	то время как	1	1
57	так же как	3	1
58	в том чтобы	2	1
59	мы не знаем	2	1
60	с одной стороны	7	1
61	и потому что	1	1
62	именно на этой	1	1
63	т е на	2	1
64	не в том	1	1
65	явление как таковое	1	1
66	еще и потому	1	1
67	она все же	1	1
68	нее т е	1	1
69	о которых идет	1	1
70	т д все	1	1
71	с другой стороны	8	1
72	т д то	1	1
73	то что у	1	1
74	есть ли это	1	1
75	ясно что это	1	1
76	во всяком случае	1	1
77	в то время	1	1
78	и вместе с	2	1
79	о том что	4	1
80	что уже не	1	1
81	хотя бы в	1	1
82	вопрос о том	1	1
83	но все же	4	1
84	для того чтобы	3	1
85	в том смысле	1	1
86	мы видим что	4	1
87	и что он	1	1
88	ее не только	1	1
89	друг с другом	2	1
90	это может быть	1	1
91	ни на какие	1	1
92	свидетельствует о том	1	1
93	что и в	2	1
94	только тогда когда	1	1
95	о ней а	1	1
96	мы еще не	1	1
