N	2gram	Nazirov_Tr_1	Istorich
1	т е	1	29
2	что он	6	24
3	и т	1	19
4	не только	8	18
5	может быть	7	17
6	и в	18	15
7	никогда не	2	15
8	но и	4	14
9	так же	4	13
10	что в	4	12
11	то что	4	12
12	в этом	9	11
13	об этом	4	11
14	и не	7	11
15	то же	5	10
16	его в	2	10
17	еще не	4	9
18	все же	5	9
19	в другом	1	9
20	с тем	2	9
21	и здесь	2	9
22	потому что	2	9
23	должны были	1	8
24	он не	2	8
25	связи с	1	8
26	один из	3	8
27	мы видим	1	8
28	в нем	4	7
29	таким образом	1	7
30	том что	4	7
31	не в	2	7
32	ничего не	2	7
33	вместе с	1	7
34	но в	6	6
35	что это	5	6
36	и что	4	6
37	в его	3	6
38	что и	2	6
39	так что	2	6
40	наряду с	1	6
41	как бы	7	6
42	в том	2	6
43	только в	1	6
44	точно так	2	6
45	и есть	1	5
46	представляет собой	1	5
47	этого мотива	1	5
48	как в	3	5
49	и наконец	1	5
50	что она	2	5
51	но все	2	5
52	этого не	1	5
53	в котором	1	5
54	в иной	1	5
55	что при	1	5
56	можно было	1	5
57	так и	5	5
58	она не	1	5
59	к нему	3	5
60	в одном	2	5
61	прежде всего	4	5
62	а не	1	5
63	в связи	1	5
64	не может	5	5
65	этом случае	1	5
66	к тому	2	5
67	что эти	2	4
68	в ней	1	4
69	и на	7	4
70	в себе	4	4
71	все эти	3	4
72	в этой	4	4
73	три года	1	4
74	при этом	3	4
75	и с	7	4
76	вопрос о	2	4
77	но он	1	4
78	но они	2	4
79	того как	1	4
80	для нас	1	4
81	из дома	1	4
82	о нем	1	4
83	с одной	1	4
84	у него	6	4
85	тем что	2	4
86	и др	1	4
87	но это	4	4
88	к этой	1	4
89	он был	2	3
90	эта связь	1	3
91	что ее	1	3
92	он в	1	3
93	право на	1	3
94	как он	1	3
95	здесь мы	1	3
96	говорит что	2	3
97	ты мне	1	3
98	он и	2	3
99	не мог	2	3
100	я его	1	3
101	что этот	2	3
102	я буду	2	3
103	и его	6	3
104	как будто	3	3
105	встречается в	1	3
106	и это	2	3
107	в каких	1	3
108	роль в	1	3
109	мог бы	3	3
110	о том	2	3
111	после того	1	3
112	и она	1	3
113	того что	1	3
114	она всегда	1	3
115	ребенка в	2	3
116	с наступлением	1	3
117	эти слова	1	3
118	как это	3	3
119	все это	4	3
120	но если	1	3
121	также что	1	2
122	например в	1	2
123	самом деле	1	2
124	я не	4	2
125	хотя бы	1	2
126	и то	2	2
127	во всех	1	2
128	но не	1	2
129	не просто	2	2
130	перед нами	2	2
131	третий раз	1	2
132	в которой	1	2
133	не могла	1	2
134	так сказать	1	2
135	и если	1	2
136	сказал что	1	2
137	и по	1	2
138	а затем	1	2
139	той же	1	2
140	это не	5	2
141	есть и	1	2
142	ни в	2	2
143	как и	5	2
144	обратимся к	1	2
145	со мной	2	2
146	и ее	2	2
147	в третий	1	2
148	не столько	1	2
149	представление о	1	2
150	тем самым	3	2
151	самого начала	1	2
152	одна из	2	2
153	тогда и	1	2
154	на котором	1	2
155	в русском	2	2
156	вместо того	1	2
157	к себе	1	2
158	могут быть	1	2
159	с образом	1	2
160	того чтобы	1	2
161	с ее	3	2
162	в виду	1	2
163	на другой	1	2
164	с самого	1	2
165	говорили что	1	2
166	на нее	1	2
167	что под	1	2
168	одно из	1	2
169	на вопрос	1	2
170	в глаза	2	2
171	а также	1	2
172	что эта	1	2
173	к ней	1	2
174	нет он	1	2
175	в новой	1	2
176	он стал	1	2
177	с ними	1	2
178	уже в	3	2
179	не знал	1	2
180	на столе	1	2
181	и их	1	2
182	слова в	1	2
183	тут же	2	2
184	и вместе	1	2
185	не было	1	2
186	в особенности	1	2
187	именно в	1	2
188	ее за	2	2
189	видит в	1	2
190	смысле этого	1	2
191	и пусть	1	2
192	ребенка и	2	2
193	в основном	3	2
194	о его	2	2
195	на смерть	1	2
196	тот кто	1	2
197	не думает	1	1
198	что образ	3	1
199	сам по	1	1
200	отметим что	1	1
201	к своей	1	1
202	это и	1	1
203	ко всем	1	1
204	почти не	1	1
205	последней главе	1	1
206	это очень	5	1
207	она все	2	1
208	высшей степени	1	1
209	мать и	1	1
210	и за	2	1
211	и могут	1	1
212	хлеб и	1	1
213	а как	2	1
214	и о	1	1
215	из своих	2	1
216	на себя	1	1
217	дьявол и	1	1
218	и он	3	1
219	вопрос об	1	1
220	в отличие	2	1
221	давно известно	1	1
222	он сам	7	1
223	родство которого	1	1
224	или от	1	1
225	но этого	2	1
226	с его	2	1
227	у которой	1	1
228	добродетели в	1	1
229	но как	1	1
230	была его	1	1
231	а он	1	1
232	отличие от	2	1
233	отнюдь не	3	1
234	в истории	1	1
235	как говорит	2	1
236	в центре	1	1
237	место где	1	1
238	вот как	1	1
239	в душу	1	1
240	власть и	1	1
241	и как	3	1
242	именно эта	1	1
243	впечатление что	2	1
244	со своей	1	1
245	умирает и	1	1
246	в целом	4	1
247	ее сердце	1	1
248	говорит не	1	1
249	не самому	1	1
250	же противен	1	1
251	человек не	1	1
252	жизнью и	2	1
253	по-видимому не	1	1
254	эта деталь	1	1
255	может так	1	1
256	он вдруг	5	1
257	душу и	1	1
258	на земле	1	1
259	с собой	1	1
260	не скажет	1	1
261	за то	1	1
262	это было	1	1
263	обоих случаях	1	1
264	раз он	2	1
265	и сердце	1	1
266	а это	1	1
267	приходит в	1	1
268	но уже	1	1
269	в них	1	1
270	он же	1	1
271	в высшей	1	1
272	и вне	1	1
273	несмотря на	5	1
274	к величайшему	1	1
275	характерно что	1	1
276	но я	1	1
277	в своей	1	1
278	наших дней	1	1
279	на руке	1	1
280	к одному	1	1
281	дорогу в	1	1
282	но эта	2	1
283	начнем с	1	1
284	над ними	1	1
285	тем не	1	1
286	с такими	1	1
287	по себе	1	1
288	особым образом	1	1
289	не менее	1	1
290	вплоть до	1	1
291	с особой	1	1
292	играть в	1	1
293	так часто	1	1
294	впадает в	1	1
295	в обоих	1	1
296	в то	5	1
297	он еще	1	1
298	только не	1	1
299	ужас и	1	1
300	только нет	1	1
301	в припадке	1	1
302	этого описания	1	1
303	детей и	1	1
304	во всем	1	1
305	и водой	1	1
306	особое значение	1	1
307	был так	1	1
308	мы бы	1	1
309	не вполне	1	1
310	что на	1	1
311	это могло	1	1
312	мы встречаем	1	1
313	если он	1	1
314	не могут	2	1
315	мы узнаем	1	1
316	вступления в	1	1
317	его с	1	1
318	этот сын	1	1
319	в поле	3	1
320	указывает на	1	1
321	не случайное	1	1
322	своего отца	3	1
323	время он	1	1
324	как мы	1	1
325	знает но	1	1
326	всего этого	1	1
327	тогда как	1	1
328	свою руку	1	1
329	с каким	1	1
330	в дальнейшем	5	1
331	и совершенно	1	1
332	же говорит	1	1
333	когда его	1	1
334	русского но	1	1
335	в последней	1	1
336	это может	1	1
337	с ним	3	1
338	вот почему	1	1
339	увидел что	1	1
340	это происходит	1	1
341	это желание	1	1
342	от него	1	1
343	восходит к	1	1
344	все в	1	1
345	связь между	1	1
346	которое уже	1	1
347	нуждается в	1	1
348	отметить что	1	1
349	говорит он	1	1
350	есть с	1	1
351	бросается в	2	1
352	в частности	2	1
353	в двух	1	1
354	ночей но	1	1
355	могло быть	1	1
356	на брак	1	1
357	который в	2	1
358	у ней	1	1
359	именно на	1	1
360	пальцем на	1	1
361	уже не	2	1
362	он очень	1	1
363	только на	1	1
364	героя с	1	1
365	свидетельствует о	1	1
366	никто не	3	1
367	могло бы	1	1
368	и один	1	1
369	они сами	1	1
370	друг друга	2	1
371	входят в	1	1
372	в особую	1	1
373	и герои	1	1
374	один в	3	1
375	доходит до	1	1
376	его за	2	1
377	и эту	1	1
378	снял с	1	1
379	в настоящем	1	1
380	что не	1	1
381	но все-таки	1	1
382	только по	1	1
383	и стал	1	1
384	а на	1	1
385	эту массу	1	1
386	до конца	2	1
387	ничем не	2	1
388	своего рода	3	1
389	а вы	1	1
390	а по	1	1
391	одну из	1	1
392	чтобы убить	1	1
393	о чем	3	1
394	в точности	1	1
395	говорится о	1	1
396	и потому	1	1
397	деталь заставляет	1	1
398	xix века	1	1
399	встречаем такие	1	1
400	к жизни	5	1
401	что за	3	1
402	при которой	1	1
403	все ей	1	1
404	в той	1	1
405	собой более	1	1
406	ведет к	1	1
407	и дети	2	1
408	выразить свое	1	1
409	матери и	1	1
410	что ты	1	1
411	на свете	1	1
412	который он	1	1
413	быть не	1	1
414	в это	2	1
415	этого слова	1	1
416	с этой	1	1
417	все как	1	1
418	важной и	1	1
419	на одной	1	1
420	в книге	1	1
421	этот образ	4	1
422	при таком	1	1
423	в результате	1	1
424	за что	1	1
425	это как	1	1
426	превратился в	1	1
427	еще по	1	1
428	вдруг на	1	1
429	в карты	1	1
430	из тех	1	1
431	при его	1	1
432	в самом	2	1
433	только о	2	1
434	этой связи	1	1
435	но еще	1	1
436	и эта	1	1
437	в таком	2	1
