N	3gram	Berdyaev_N_1	formyVre
1	и того же	1	5
2	одного и того	1	5
3	в том числе	1	4
4	до сих пор	1	3
5	может быть только	1	3
6	в нем не	1	3
7	не может быть	4	3
8	в то время	1	3
9	равно как и	2	2
10	же как и	1	2
11	не было и	1	2
12	в отличие от	1	2
13	наряду с этим	1	2
14	но и в	1	2
15	ни в чем	1	2
16	том числе и	1	2
17	вместе с тем	2	2
18	то время как	1	2
19	так же как	2	2
20	не только в	1	2
21	с одной стороны	2	2
22	по природе своей	1	2
23	в нем нет	2	2
24	в том что	1	2
25	как и в	1	2
26	по своей природе	1	1
27	прежде всего они	1	1
28	и во всех	1	1
29	и не был	1	1
30	и до сих	1	1
31	в средние века	3	1
32	человек а не	1	1
33	потому что не	1	1
34	в зависимости от	1	1
35	сами по себе	1	1
36	общественной жизни и	1	1
37	что в нем	2	1
38	и для того	1	1
39	совершенно так же	1	1
40	и совсем не	1	1
41	большую роль в	2	1
42	со всех сторон	3	1
43	в xix и	1	1
44	в значительной степени	1	1
45	в событиях и	1	1
46	но нет и	1	1
47	но она не	1	1
48	еще не было	1	1
49	не могут быть	1	1
50	для себя и	1	1
51	во всяком случае	1	1
52	в новое время	1	1
53	когда мы говорим	2	1
54	и еще не	1	1
55	это время как	1	1
56	вступает в свои	1	1
57	в свои права	2	1
58	есть по существу	1	1
59	та или иная	1	1
60	о том что	1	1
61	но наряду с	1	1
62	он не имеет	2	1
63	мы говорим о	1	1
64	которые могут быть	1	1
65	жизни не может	1	1
66	в высшей степени	6	1
67	того чтобы быть	1	1
68	про себя а	1	1
