N	3gram	Nazirov_Tv_1	DiskursI
1	в том что	6	13
2	по отношению к	1	9
3	с одной стороны	1	9
4	о том что	5	5
5	в отличие от	1	4
6	то же время	12	4
7	к тому же	1	4
8	это прежде всего	1	3
9	но при этом	1	3
10	и как бы	1	3
11	в свою очередь	1	3
12	с другой стороны	1	3
13	в то же	13	3
14	что же касается	1	2
15	и того же	1	2
16	том что в	2	2
17	в соответствии с	3	2
18	то же самое	1	2
19	в одной из	2	2
20	сами по себе	1	2
21	в наше время	2	2
22	по крайней мере	2	2
23	в данном случае	2	2
24	не только в	2	2
25	по сути дела	3	2
26	можно сказать что	2	2
27	одного и того	1	2
28	и делает это	1	1
29	дело в том	3	1
30	на самом деле	2	1
31	приходит на смену	1	1
32	он не может	1	1
33	в этом пункте	1	1
34	до сих пор	1	1
35	и в то	2	1
36	хотя бы и	1	1
37	что он не	1	1
38	в первую очередь	1	1
39	в котором нет	1	1
40	в народе с	1	1
41	только то что	1	1
42	о том будто	1	1
43	к мысли о	1	1
44	вместе с тем	1	1
45	и далеко не	1	1
46	же время они	1	1
47	ту или иную	1	1
48	не заметить что	1	1
49	представляет собой не	1	1
50	в известном смысле	1	1
51	в xix веке	1	1
52	в связи с	1	1
53	составляет один из	1	1
54	так и от	1	1
55	особое внимание на	1	1
56	а нередко и	1	1
57	за самим собой	1	1
58	то есть является	1	1
59	там же с	2	1
60	с самого начала	3	1
61	в конечном счете	4	1
62	при этом он	2	1
63	заключается в том	1	1
64	предлагаемая вниманию читателя	1	1
65	и вследствие этого	1	1
66	бахтина о том	1	1
67	общения с другой	1	1
68	тем не менее	2	1
69	дело не в	1	1
70	как и в	1	1
