N	2gram	Berdyaev_O_1	Literetu
1	а не	11	20
2	и в	19	19
3	может быть	11	17
4	и не	13	11
5	как и	6	10
6	в том	5	10
7	но и	13	10
8	в этом	12	9
9	в мире	1	9
10	не может	4	9
11	не только	11	8
12	и даже	1	8
13	том что	2	7
14	так и	2	7
15	то что	5	7
16	и на	2	6
17	в себе	3	6
18	но не	1	5
19	он не	7	5
20	одна из	1	5
21	у нас	1	5
22	того что	3	5
23	с тобой	1	5
24	но тем	1	4
25	мы не	1	4
26	так что	2	4
27	человека в	11	4
28	для него	5	4
29	в поэме	1	4
30	не в	11	4
31	в русской	3	4
32	в ней	1	4
33	в его	7	4
34	один из	1	4
35	и других	1	4
36	не случайно	1	4
37	тем что	2	4
38	прежде всего	9	4
39	в частности	1	4
40	жизни в	2	4
41	жизни и	1	4
42	что в	4	4
43	и то	2	3
44	тем же	1	3
45	в сущности	1	3
46	и он	8	3
47	как к	2	3
48	в этой	5	3
49	в нем	10	3
50	в глазах	1	3
51	права на	1	3
52	никогда не	9	3
53	ничего не	2	3
54	сознания в	1	3
55	и его	4	3
56	не с	1	3
57	и с	2	3
58	быть может	3	3
59	в другом	2	3
60	а в	5	3
61	так как	2	3
62	себе и	1	3
63	этом отношении	1	3
64	со стороны	1	3
65	а именно	1	3
66	но это	1	3
67	и для	2	3
68	и как	1	3
69	что он	3	3
70	ту же	1	2
71	внутренней свободы	1	2
72	и до	1	2
73	в первый	1	2
74	жизни как	1	2
75	во имя	3	2
76	в истории	2	2
77	все же	2	2
78	и к	2	2
79	но в	2	2
80	то в	1	2
81	представляет собой	1	2
82	о которой	2	2
83	и сам	1	2
84	в каждом	1	2
85	пути от	1	2
86	в жизни	1	2
87	в них	1	2
88	с тем	2	2
89	он и	1	2
90	как бы	3	2
91	художественного творчества	1	2
92	и без	1	2
93	мысли и	3	2
94	одном из	1	2
95	что было	1	2
96	на два	1	2
97	не по	1	2
98	не вполне	1	2
99	лишь его	1	2
100	перед ним	1	2
101	могут быть	3	2
102	даже и	2	2
103	все еще	2	2
104	для того	3	2
105	с образом	1	2
106	в виду	1	2
107	не могу	1	2
108	в ее	2	2
109	еще не	3	2
110	ко всему	1	2
111	о том	3	2
112	и что	1	2
113	а потому	1	2
114	в русском	1	2
115	было бы	3	2
116	потому что	9	2
117	уже не	1	2
118	уже в	2	2
119	из них	1	2
120	был бы	1	2
121	одно из	2	2
122	не так	1	2
123	ведь это	2	2
124	в одном	1	2
125	в конце	1	2
126	что и	2	2
127	вовсе не	1	2
128	у него	22	2
129	существование в	1	2
130	что не	4	2
131	не было	9	2
132	до конца	7	2
133	в россии	5	2
134	него не	2	2
135	мира в	1	2
136	как это	1	2
137	жизни а	1	2
138	и каждый	1	2
139	вокруг которого	1	2
140	быть не	1	2
141	и нет	2	2
142	хотя бы	3	2
143	с ним	3	2
144	враг и	1	2
145	в свое	1	2
146	сила и	1	2
147	к этой	2	2
148	в своих	3	2
149	все что	3	2
150	исходит от	1	1
151	отношения к	1	1
152	от самого	2	1
153	в строгом	1	1
154	должна быть	1	1
155	из всех	1	1
156	он знает	1	1
157	оказывается что	1	1
158	дороги и	1	1
159	он был	8	1
160	он сам	4	1
161	за это	1	1
162	художественном творчестве	2	1
163	самом деле	1	1
164	этой и	1	1
165	то он	1	1
166	к творчеству	1	1
167	в новом	1	1
168	жизни все	3	1
169	и я	1	1
170	как в	1	1
171	когда он	3	1
172	самом начале	1	1
173	с душой	1	1
174	от этого	1	1
175	в этот	2	1
176	за собой	1	1
177	поэтому он	1	1
178	в самом	5	1
179	строй жизни	1	1
180	что это	1	1
181	от бога	1	1
182	все эти	4	1
183	есть их	1	1
184	не оставляет	1	1
