N	3gram	Voloshinov_1	Vladivir
1	в том что	2	10
2	тем не менее	1	9
3	с точки зрения	5	6
4	а также и	1	6
5	не может быть	4	6
6	более или менее	1	5
7	том что в	1	3
8	то что в	1	3
9	с одной стороны	2	3
10	и в его	1	3
11	в то же	1	3
12	в отличие от	1	3
13	само по себе	1	3
14	что в этом	1	2
15	само собой разумеется	1	2
16	иметь в виду	1	2
17	есть прежде всего	3	2
18	в этом отношении	1	2
19	так же как	1	2
20	в данном случае	2	2
21	в связи с	1	2
22	с другой стороны	2	2
23	то же время	1	2
24	и вместе с	1	2
25	те или иные	1	2
26	ничего общего с	2	2
27	на то что	1	2
28	к тому что	1	2
29	что иное как	2	1
30	несмотря на все	1	1
31	как то что	1	1
32	не мог бы	1	1
33	в виду что	1	1
34	течение всей своей	1	1
35	не может иметь	1	1
36	только то что	1	1
37	можно было бы	1	1
38	собой разумеется что	1	1
39	с этой точки	1	1
40	одно и то	3	1
41	в своей статье	1	1
42	может быть и	1	1
43	в нашей работе	1	1
44	и сводится к	1	1
45	в течение всей	1	1
46	далеко не всегда	1	1
47	если бы мы	1	1
48	нигде и никогда	1	1
49	и то же	2	1
50	что он называет	1	1
51	в последнее время	1	1
52	но и его	1	1
53	в связи со	1	1
54	все то что	1	1
55	потому что они	1	1
56	мы уже видели	1	1
57	этой точки зрения	1	1
58	указать на то	1	1
59	ибо здесь нет	1	1
60	гораздо богаче и	1	1
61	мы не можем	1	1
62	эту точку зрения	1	1
63	с самого начала	2	1
64	собственно говоря и	1	1
65	найти в них	1	1
66	в самом деле	2	1
67	выходит за пределы	1	1
68	в течение всего	1	1
69	включает в себя	1	1
70	связи со всей	1	1
71	но что же	1	1
72	возможно только в	1	1
73	не только на	1	1
74	другой стороны оно	1	1
75	не что иное	2	1
76	для того чтобы	1	1
77	те же самые	1	1
78	прежде всего не	1	1
79	то же самое	1	1
