N	2gram	Tiupa_Vved_1	Marksizm
1	может быть	18	28
2	и в	13	19
3	как бы	4	19
4	и не	12	19
5	в процессе	1	18
6	не может	7	18
7	точки зрения	1	17
8	то же	5	16
9	и его	5	16
10	как мы	3	15
11	в этом	21	15
12	в сущности	1	14
13	так сказать	2	14
14	таким образом	4	14
15	лишь в	2	14
16	чужого слова	3	13
17	не только	20	13
18	косвенной речи	1	13
19	связи с	1	13
20	в нем	5	11
21	если бы	7	11
22	вовсе не	1	11
23	не в	6	10
24	так и	8	10
25	и т.п	9	10
26	но и	19	10
27	в пределах	2	10
28	прямая речь	1	10
29	том что	7	10
30	самом деле	3	9
31	при этом	26	9
32	как и	11	9
33	для него	3	9
34	в основе	3	9
35	а не	15	9
36	прямой речи	1	9
37	по отношению	7	8
38	чужое слово	1	8
39	в то	4	8
40	же время	3	8
41	только в	6	8
42	слова в	2	8
43	отнюдь не	7	8
44	не является	3	8
45	отношению к	7	8
46	на самом	4	7
47	высказывания как	3	7
48	и более	3	7
49	высказывания в	1	7
50	одна из	4	7
51	никогда не	4	7
52	в том	10	7
53	прежде всего	7	7
54	в связи	1	7
55	и для	3	7
56	но в	6	7
57	в таком	1	7
58	язык как	2	6
59	во всех	2	6
60	в самом	2	6
61	если мы	1	6
62	слова и	1	6
63	того чтобы	1	6
64	в направлении	2	6
65	к тому	6	6
66	же самое	1	6
67	быть и	2	6
68	между тем	1	6
69	мы можем	2	6
70	с помощью	1	6
71	и все	4	6
72	хотя бы	1	6
73	в свою	4	6
74	того же	1	5
75	и на	3	5
76	все же	6	5
77	в данном	13	5
78	в их	1	5
79	речевого взаимодействия	1	5
80	свою очередь	4	5
81	к нему	1	5
82	в его	4	5
83	в форме	1	5
84	отношении к	1	5
85	или иной	3	5
86	в той	4	5
87	в контексте	1	5
88	и того	2	5
89	к этому	2	5
90	так же	1	5
91	тем же	1	4
92	должна быть	2	4
93	а как	1	4
94	и ее	1	4
95	как если	1	4
96	только на	1	4
97	в себе	5	4
98	на то	1	4
99	значение в	1	4
100	в данной	2	4
101	это не	6	4
102	было бы	4	4
103	и тем	2	4
104	в слове	3	4
105	мы видели	2	4
106	одного и	1	4
107	тому что	1	4
108	в отношении	1	4
109	и т.д	5	4
110	той или	3	4
111	для себя	1	4
112	из одного	1	4
113	по мере	1	4
114	того что	6	4
115	в формах	1	4
116	что он	1	4
117	и их	1	4
118	как раз	2	4
119	связь с	1	4
120	бы в	3	4
121	то что	6	4
122	сказать что	1	4
123	таком случае	1	3
124	в котором	8	3
125	и до	1	3
126	высшей степени	2	3
127	внутренний мир	1	3
128	в становлении	1	3
129	общения в	1	3
130	в ней	4	3
131	еще не	7	3
132	столь же	1	3
133	в ее	1	3
134	отличие от	2	3
135	относится к	1	3
136	в истории	1	3
137	перед нами	6	3
138	все эти	1	3
139	в этой	1	3
140	он не	3	3
141	не к	4	3
142	не как	2	3
143	в корне	1	3
144	для данной	1	3
145	здесь мы	1	3
146	той же	1	3
147	с другими	1	3
148	по себе	2	3
149	в этих	3	3
150	в своей	5	3
151	в отличие	2	3
152	не имеет	2	3
153	у нас	1	3
154	могут быть	4	3
155	бы он	1	3
156	для его	1	3
157	оно может	1	3
158	на основе	1	3
159	о том	5	3
160	что и	2	3
161	в двух	1	3
162	в какой	4	3
163	с одной	5	3
164	в качестве	8	3
165	его и	1	3
166	в высшей	2	3
167	с другой	5	3
168	к которым	1	3
169	связано с	3	3
170	не было	2	3
171	одной стороны	5	3
172	как целого	1	3
173	да и	1	3
174	и от	2	3
175	его становления	1	3
176	не существует	2	3
177	только что	1	3
178	а в	6	3
179	во всяком	1	3
180	одним из	5	2
181	в зависимости	1	2
182	живой речи	1	2
183	от своего	1	2
184	случае это	1	2
185	всех без	1	2
186	и чужого	2	2
187	зависимости от	1	2
188	и он	1	2
189	и самого	1	2
190	содержания сознания	1	2
191	иное как	1	2
192	но как	1	2
193	дело обстоит	1	2
194	ответ на	1	2
195	что они	1	2
196	определяется не	1	2
197	в одной	2	2
198	опирается на	1	2
199	стороны и	1	2
200	в своем	5	2
201	в противном	1	2
202	более или	2	2
203	что это	1	2
204	в нашем	6	2
205	бы не	2	2
206	данном контексте	1	2
207	тому же	4	2
208	высказывания не	1	2
209	не следует	3	2
210	из него	1	2
211	без исключения	2	2
212	значительной степени	1	2
213	этом последнем	1	2
214	различие между	1	2
215	и с	2	2
216	оно становится	1	2
217	то есть	8	2
218	речью и	1	2
219	на протяжении	1	2
220	в жизни	4	2
221	далеко не	4	2
222	и потому	1	2
223	он и	2	2
224	мы не	4	2
225	восприятия и	1	2
226	или менее	2	2
227	место в	2	2
228	по крайней	1	2
229	но они	2	2
230	как о	2	2
231	находятся в	1	2
232	только с	1	2
233	ли это	2	2
234	в живой	1	2
235	сказать изнутри	1	2
236	если же	1	2
237	должен быть	1	2
238	и о	1	2
239	степени в	1	2
240	приводит к	2	2
241	не с	3	2
242	здесь как	1	2
243	все то	1	2
244	и даже	1	2
245	сводится к	4	2
246	мы убедимся	1	2
247	в значительной	1	2
248	крайней мере	1	2
249	всяком случае	1	2
250	себя с	1	2
251	но не	5	2
252	мы увидим	1	2
253	иной степени	1	2
254	они могут	1	2
255	эти моменты	1	2
256	себя в	1	2
257	и у	1	2
258	уже в	1	2
