N	3gram	Propp_Isto_4	UchenyiS
1	не может быть	4	4
2	с другой стороны	4	3
3	не могут быть	1	2
4	то же самое	2	2
5	до сих пор	5	2
6	и то что	5	2
7	в своей работе	1	1
8	не в том	1	1
9	и не случайно	1	1
10	но он уже	1	1
11	не случайно и	1	1
12	он может быть	1	1
13	этого не было	1	1
14	в этом случае	3	1
15	в широком смысле	1	1
16	и не только	1	1
17	же самое что	1	1
18	часто встречается у	1	1
19	можно сказать что	1	1
20	мы имеем в	2	1
21	на то что	3	1
22	а не только	1	1
23	в данном случае	3	1
24	не только в	2	1
25	тем что он	2	1
