N	2gram	Tiupa_Lite_2	VrazhdaK
1	в году	5	18
2	не только	8	9
3	в этом	9	8
4	и в	19	8
5	и что	2	8
6	но и	10	7
7	и все	1	7
8	то что	7	7
9	что в	4	7
10	все же	2	6
11	но в	2	6
12	в нем	3	6
13	как и	10	6
14	и с	3	6
15	в начале	3	6
16	и даже	8	6
17	в романе	1	6
18	то же	12	5
19	в то	9	5
20	же время	9	5
21	у него	2	5
22	не было	2	5
23	в россии	2	5
24	и не	11	5
25	х годов	3	4
26	в ней	4	4
27	что он	3	4
28	в истории	2	4
29	при этом	6	4
30	это не	1	4
31	в дневнике	1	4
32	в виду	2	4
33	с ним	2	4
34	о том	2	4
35	для нас	2	4
36	уже в	2	4
37	может быть	17	4
38	как бы	2	4
39	в своих	2	4
40	так же	1	4
41	речь идет	3	3
42	одним из	3	3
43	я не	5	3
44	он был	1	3
45	в чем	1	3
46	к творчеству	1	3
47	в своем	1	3
48	и как	3	3
49	в этот	1	3
50	на то	1	3
51	его в	1	3
52	он не	5	3
53	далеко не	1	3
54	том что	7	3
55	но он	1	3
56	что есть	1	3
57	в русской	4	3
58	и его	3	3
59	связи с	1	3
60	по нашему	1	3
61	человека в	4	3
62	и о	1	3
63	русской литературе	2	3
64	в его	4	3
65	в том	10	3
66	в конце	2	3
67	тем что	4	3
68	о себе	3	3
69	эти слова	1	3
70	наряду с	1	3
71	имел в	1	3
72	к этому	1	3
73	отношения к	1	2
74	же как	2	2
75	и то	3	2
76	на место	1	2
77	и он	3	2
78	он сам	1	2
79	столь же	5	2
80	но как	2	2
81	ответ на	1	2
82	в эти	1	2
83	тогда как	9	2
84	он пишет	1	2
85	человека с	1	2
86	отнюдь не	4	2
87	в известном	1	2
88	ноябре года	1	2
89	в этой	3	2
90	в себе	6	2
91	о которой	2	2
92	их в	1	2
93	таким образом	1	2
94	в мире	9	2
95	мне и	1	2
96	в глазах	3	2
97	в них	2	2
98	рядом с	1	2
99	а с	1	2
100	не мог	1	2
101	точки зрения	4	2
102	в своей	1	2
103	с точки	3	2
104	место в	1	2
105	не менее	6	2
106	права на	3	2
107	одна из	5	2
108	никогда не	3	2
109	время он	1	2
110	на основе	1	2
111	так в	5	2
112	еще не	2	2
113	он писал	1	2
114	меня как	1	2
115	а также	2	2
116	что ж	1	2
117	уже не	2	2
118	из них	2	2
119	для него	4	2
120	как раз	2	2
121	и т.п	10	2
122	как же	1	2
123	и стал	1	2
124	врага в	3	2
125	не может	9	2
126	вместе с	5	2
127	в него	2	2
128	в ноябре	1	2
129	в это	1	2
130	но это	3	2
131	что я	2	2
132	же в	2	2
133	а в	3	2
134	в свою	1	2
135	себя как	2	1
136	что образ	1	1
137	того же	4	1
138	е годы	2	1
139	это и	1	1
140	идет о	3	1
141	я напротив	1	1
142	что слово	1	1
143	по преимуществу	2	1
144	едва ли	4	1
145	над которым	1	1
146	в их	3	1
147	из всех	1	1
148	той же	2	1
149	вот она	1	1
150	разрешения на	1	1
151	что уже	1	1
152	именно к	1	1
153	он как	1	1
154	начинается с	1	1
155	именно своей	1	1
156	ты как	1	1
157	ему в	1	1
158	имя и	1	1
159	одном из	2	1
160	складывались и	1	1
161	как правило	3	1
162	но не	5	1
163	не все	1	1
164	если в	2	1
165	и т.д	7	1
166	есть по	2	1
167	в е	2	1
168	и я	1	1
169	вражды в	1	1
170	как по	1	1
171	как в	1	1
172	для всех	5	1
173	по которому	1	1
174	как к	3	1
175	как нам	1	1
176	и наконец	2	1
177	разногласия и	1	1
178	себе не	2	1
179	то в	2	1
180	поэтому он	1	1
181	в самом	1	1
182	что это	1	1
183	в целом	2	1
184	за это	1	1
185	что же	1	1
186	еще один	1	1
187	рассказ о	1	1
188	во многих	1	1
189	как он	2	1
190	всех этих	1	1
191	общее дело	1	1
192	же это	1	1
193	через год	1	1
194	что ни	1	1
195	однако в	6	1
196	одно и	2	1
197	это конечно	1	1
198	в глубине	1	1
199	и руки	1	1
200	входя в	1	1
201	этой практики	1	1
202	как пример	1	1
203	не хуже	1	1
204	было бы	2	1
205	задолго до	1	1
206	россия в	1	1
207	в итоге	1	1
208	в жизни	2	1
209	соответствии с	2	1
210	далее этот	1	1
211	а за	2	1
212	всю жизнь	1	1
213	не всегда	1	1
214	которой он	1	1
215	он и	2	1
216	в развитии	1	1
217	такой же	3	1
218	перед своим	1	1
219	со мной	4	1
220	которую он	1	1
221	в этих	1	1
222	на свою	3	1
223	начале х	1	1
224	своего рода	13	1
225	сам же	1	1
226	в поэме	4	1
227	тем не	2	1
228	по крайней	2	1
229	что этот	1	1
230	а вот	1	1
