N	2gram	Propp_Isto_3	VrazhdaK
1	не только	14	9
2	в этом	17	8
3	и в	22	8
4	и что	2	8
5	но и	12	7
6	и все	3	7
7	то что	7	7
8	что в	15	7
9	все же	5	6
10	но в	10	6
11	в нем	9	6
12	как и	3	6
13	в котором	2	6
14	и с	4	6
15	в начале	1	6
16	и даже	2	6
17	то же	6	5
18	об этом	1	5
19	в то	2	5
20	между тем	2	5
21	у него	3	5
22	не было	2	5
23	и не	12	5
24	в ней	2	4
25	что он	9	4
26	целый ряд	3	4
27	при этом	2	4
28	это не	6	4
29	все это	1	4
30	с ним	1	4
31	о том	3	4
32	для нас	4	4
33	уже в	1	4
34	может быть	11	4
35	как бы	1	4
36	так же	3	4
37	одним из	4	3
38	который был	2	3
39	я не	3	3
40	в чем	3	3
41	в своем	2	3
42	и как	3	3
43	в этот	2	3
44	на то	1	3
45	его в	3	3
46	он не	5	3
47	далеко не	3	3
48	и уже	2	3
49	том что	8	3
50	но он	4	3
51	в русской	3	3
52	и его	4	3
53	связи с	6	3
54	человека в	1	3
55	и о	2	3
56	что у	3	3
57	в его	3	3
58	в том	9	3
59	и у	3	3
60	чтобы он	1	3
61	тем что	4	3
62	в связи	3	3
63	о себе	3	3
64	в грязь	1	3
65	матери и	2	3
66	т е	16	3
67	к этому	7	3
68	в русских	3	2
69	же как	2	2
70	и то	2	2
71	на место	1	2
72	и он	2	2
73	он сам	1	2
74	столь же	1	2
75	но как	1	2
76	ответ на	1	2
77	тогда как	1	2
78	отнюдь не	1	2
79	его на	2	2
80	в этой	5	2
81	после этого	2	2
82	в нашей	1	2
83	их в	3	2
84	таким образом	10	2
85	в одну	1	2
86	в мире	1	2
87	об этой	2	2
88	мне и	1	2
89	в них	6	2
90	мы знаем	2	2
91	ряд деталей	2	2
92	не мог	2	2
93	в эту	1	2
94	во время	6	2
95	точки зрения	2	2
96	в своей	1	2
97	и ее	3	2
98	с точки	1	2
99	не менее	5	2
100	в меня	1	2
101	одна из	2	2
102	никогда не	3	2
103	хотел было	1	2
104	к себе	1	2
105	на это	2	2
106	и это	2	2
107	же не	2	2
108	так в	6	2
109	еще не	10	2
110	а также	2	2
111	там же	2	2
112	после смерти	2	2
113	пришел к	1	2
114	с нею	1	2
115	уже не	7	2
116	при помощи	3	2
117	из них	7	2
118	его и	4	2
119	могли быть	1	2
120	отношение к	4	2
121	к ним	1	2
122	о чем	1	2
123	начиная с	1	2
124	не может	4	2
125	вместе с	9	2
126	в него	2	2
127	ко мне	2	2
128	но это	3	2
129	же в	2	2
130	а в	6	2
131	в свою	4	2
132	это в	1	2
133	к людям	1	1
134	также и	1	1
135	доступ в	1	1
136	человека и	1	1
137	он весьма	1	1
138	это и	1	1
139	и есть	2	1
140	а от	1	1
141	не хочет	1	1
142	смерти отца	1	1
143	из всех	1	1
144	вы не	1	1
145	той же	2	1
146	что никто	1	1
147	начинается с	1	1
148	равно как	3	1
149	это отношение	1	1
150	один пример	1	1
151	меня в	1	1
152	одном из	3	1
153	на них	1	1
154	по своему	1	1
155	за него	2	1
156	как правило	2	1
157	но не	7	1
158	в сторону	2	1
159	всего он	1	1
160	не все	6	1
161	некоторые черты	1	1
162	тут же	1	1
163	говорилось выше	2	1
164	что они	8	1
165	на стол	2	1
166	к сожалению	1	1
167	выясняется что	1	1
168	как говорит	1	1
169	из которого	2	1
170	независимо от	2	1
171	как в	2	1
172	с этим	8	1
173	для создания	1	1
174	некоторое время	3	1
175	по которому	1	1
176	что как	1	1
177	что ее	1	1
178	хочет сделать	1	1
179	каким-то образом	1	1
180	что это	1	1
181	в целом	3	1
182	за это	2	1
183	что же	1	1
184	и и	2	1
185	потребовать чтобы	1	1
186	тому же	2	1
187	во многих	2	1
188	не могла	2	1
189	да и	2	1
190	одному из	1	1
191	всех этих	2	1
192	прочим и	1	1
193	в силу	2	1
194	этот процесс	1	1
195	в плане	1	1
196	из него	1	1
197	никому не	2	1
198	и этот	1	1
199	он тогда	1	1
200	всего то	1	1
201	однако в	1	1
202	это конечно	1	1
203	не будет	1	1
204	из-за этого	1	1
205	отца героя	1	1
206	их и	3	1
207	в глубине	1	1
208	и руки	1	1
209	заключается в	1	1
210	дома и	3	1
211	следить за	2	1
212	было бы	3	1
213	был очень	1	1
214	вопрос и	1	1
215	в жизни	2	1
216	его дом	1	1
217	соответствии с	1	1
218	а за	1	1
219	всю жизнь	2	1
220	не всегда	4	1
221	которой он	1	1
222	он и	3	1
223	такой же	2	1
224	сообщается о	1	1
225	он сказал	1	1
226	этот материал	1	1
227	в этих	11	1
228	и их	1	1
229	можно найти	4	1
230	предполагать что	1	1
231	всяком случае	2	1
232	и пошел	2	1
233	могли иметь	1	1
234	этому же	3	1
235	как указывает	6	1
236	представление о	3	1
237	своего рода	1	1
238	вышел из	1	1
239	на губах	1	1
240	не будем	3	1
241	тем не	5	1
242	второй раз	1	1
243	через несколько	1	1
244	не могли	1	1
245	что этот	1	1
246	так он	1	1
247	вплоть до	1	1
248	но они	2	1
249	не имеет	2	1
250	правда в	1	1
251	нет необходимости	1	1
252	героев и	1	1
253	также что	1	1
254	только не	2	1
255	рублей а	1	1
256	ничего не	6	1
257	того как	1	1
258	это то	1	1
259	он оказался	1	1
260	б в	1	1
261	такая же	1	1
262	ему и	1	1
