N	2gram	Berdyaev_M_1	Istorich
1	и т	1	27
2	и в	28	26
3	так же	1	18
4	т е	2	18
5	то что	5	16
6	не только	29	15
7	может быть	30	14
8	что в	10	14
9	между двумя	1	12
10	но и	25	12
11	двумя мирами	1	11
12	так и	1	10
13	и его	9	10
14	что он	10	10
15	все же	2	9
16	этот случай	2	9
17	его в	3	9
18	что и	4	9
19	так как	3	9
20	и не	11	9
21	а в	4	8
22	мы имеем	1	7
23	в этом	20	7
24	он не	24	7
25	об этом	1	7
26	как и	5	7
27	в этих	4	7
28	во время	1	7
29	на небо	1	7
30	в иное	2	7
31	как в	2	7
32	и то	1	6
33	еще не	1	6
34	что они	1	6
35	как он	2	6
36	иной мир	4	6
37	могут быть	2	6
38	к нему	7	6
39	мы видим	2	6
40	потому что	16	6
41	а не	25	6
42	не может	28	6
43	вместе с	6	6
44	когда он	3	6
45	в иной	3	6
46	это и	4	5
47	мы уже	1	5
48	то это	1	5
49	но не	8	5
50	и как	2	5
51	но в	7	5
52	уже не	4	5
53	и только	1	5
54	в силу	1	5
55	и по	4	5
56	с собой	3	5
57	и с	3	5
58	это не	5	5
59	не в	16	5
60	ничего не	3	5
61	и у	2	5
62	на нем	1	5
63	и что	2	5
64	в его	9	5
65	в одном	1	5
66	у него	17	5
67	тем что	4	5
68	до сих	2	5
69	и др	1	5
70	сих пор	2	5
71	к этому	2	5
72	вопрос о	2	4
73	в которых	4	4
74	его на	1	4
75	в этот	2	4
76	он в	2	4
77	но он	9	4
78	интересно что	1	4
79	в своей	15	4
80	же он	1	4
81	так в	1	4
82	о том	2	4
83	и даже	1	4
84	вовсе не	1	4
85	а на	1	4
86	все что	2	4
87	что иное	1	3
88	и действительно	1	3
89	более поздний	1	3
90	относится к	2	3
91	в одной	1	3
92	его к	1	3
93	все эти	2	3
94	что она	1	3
95	он должен	3	3
96	на земле	2	3
97	должен был	4	3
98	не мог	3	3
99	том что	3	3
100	от своего	1	3
101	по сравнению	2	3
102	с миром	1	3
103	и более	1	3
104	то чего	1	3
105	не имеет	3	3
106	в русской	1	3
107	во всем	1	3
108	к себе	1	3
109	есть только	2	3
110	все еще	1	3
111	и он	12	3
112	она не	4	3
113	в образе	1	3
114	иное как	1	3
115	с того	2	3
116	в другой	1	3
117	в том	6	3
118	мы увидим	3	3
119	только в	6	3
120	человека с	2	3
121	переходит в	15	3
122	связан с	1	3
123	а именно	1	3
124	не на	1	3
125	в свете	3	3
126	о чем	2	3
127	что мы	1	3
128	сравнению с	1	3
129	наряду с	1	3
130	как бы	2	3
131	для нас	3	3
132	но это	1	3
133	уже нет	2	3
134	не что	1	3
135	к этой	2	3
136	начинается с	1	2
137	и есть	14	2
138	не хочет	2	2
139	должна быть	6	2
140	а как	2	2
141	связана с	2	2
142	ему в	1	2
143	собой в	1	2
144	за это	1	2
145	или от	2	2
146	то мы	1	2
147	тех же	1	2
148	к ним	1	2
149	отношение к	4	2
150	иногда и	1	2
151	в этой	6	2
152	в истории	2	2
153	с этим	3	2
154	в своем	10	2
155	говорит что	1	2
156	увидим что	4	2
157	конечно не	3	2
158	в себе	7	2
159	имеем в	1	2
160	в мышлении	1	2
161	в нем	13	2
162	он открывает	1	2
163	не к	4	2
164	его от	1	2
165	на этом	3	2
166	лишь в	6	2
167	хотя бы	3	2
168	было бы	10	2
169	в свой	2	2
170	он же	1	2
171	с тем	9	2
172	которой он	1	2
173	земли и	1	2
174	и их	3	2
175	можно найти	1	2
176	знает и	1	2
177	установить что	1	2
178	что я	1	2
179	все это	6	2
180	и наоборот	1	2
181	ему как	1	2
182	что есть	5	2
183	не менее	1	2
184	идет на	1	2
185	чтобы иметь	1	2
186	к этим	2	2
187	не могло	1	2
188	так много	1	2
189	показывает как	2	2
190	по своей	2	2
191	в области	1	2
192	от того	1	2
193	у нас	5	2
194	не могут	5	2
195	его с	2	2
196	не есть	9	2
197	и этим	1	2
198	на том	3	2
199	никогда не	14	2
200	живет в	2	2
201	и на	6	2
202	если бы	2	2
203	мы читаем	1	2
204	в самую	5	2
205	от них	1	2
206	и во	2	2
207	этот момент	1	2
208	того что	7	2
209	с той	1	2
210	на которой	1	2
211	о двух	1	2
212	себя в	3	2
213	так что	1	2
214	уже в	4	2
215	его и	1	2
216	у нее	1	2
217	только с	1	2
218	даже и	2	2
219	он живет	2	2
220	в пути	2	2
221	говорит о	1	2
222	на этот	2	2
223	очень интересно	1	2
224	его как	2	2
225	в частности	1	2
226	он уже	6	2
227	отразилось в	1	2
228	мы опять	1	2
229	и вот	3	2
230	и там	4	2
231	с этой	4	2
232	есть и	3	2
233	только одна	1	2
234	это он	1	2
235	от него	4	2
236	и все	10	2
237	этот вопрос	1	2
238	сказать что	2	2
239	но этот	1	2
240	на это	1	2
241	вряд ли	3	1
242	эта новая	1	1
243	людей на	1	1
244	переход от	1	1
245	руки в	1	1
246	поле битвы	2	1
247	к другому	1	1
248	был и	1	1
249	в зависимости	1	1
250	века в	2	1
251	которое может	1	1
252	есть не	4	1
253	бы уже	1	1
254	мы не	1	1
255	и тут	1	1
256	уже более	1	1
257	ответить на	1	1
258	не была	3	1
259	время как	2	1
260	но она	1	1
261	принадлежит к	1	1
262	не вполне	1	1
263	отразился в	1	1
264	зависимости от	1	1
265	себе что	1	1
266	существо не	1	1
267	в ней	15	1
268	не от	1	1
269	он был	14	1
270	он сам	6	1
271	есть акт	1	1
272	что люди	1	1
273	природу в	2	1
274	во всех	1	1
275	иных случаях	1	1
276	от его	2	1
277	то он	1	1
278	сам его	1	1
279	к которой	1	1
280	к богу	3	1
281	не все	2	1
282	если в	1	1
283	в эти	1	1
284	культуру и	1	1
285	себе и	2	1
286	и я	5	1
287	как говорит	1	1
288	тут дьявол	1	1
289	как к	1	1
290	что как	1	1
291	есть что-то	2	1
292	на человека	2	1
293	сострадания к	1	1
294	целый ряд	1	1
295	и наконец	1	1
296	был связан	1	1
297	и к	2	1
298	на своем	3	1
299	духа и	4	1
300	мир и	1	1
301	это более	1	1
302	него до	1	1
303	всегда был	1	1
304	к чему	2	1
305	та же	1	1
306	человек этот	1	1
307	привести к	4	1
308	жизни так	1	1
309	когда будет	1	1
310	на могиле	1	1
311	переходит на	1	1
312	то и	1	1
313	говорят о	1	1
314	и те	2	1
315	ее как	1	1
316	благодати в	1	1
317	люди а	1	1
318	вообще не	2	1
319	к миру	2	1
320	он все	1	1
321	силой и	1	1
322	в нашей	1	1
323	которой не	1	1
324	и почему	1	1
325	всех этих	1	1
326	есть та	1	1
327	не как	4	1
328	из него	1	1
329	людей и	2	1
330	они идут	1	1
331	этом он	2	1
332	вера в	3	1
333	дела никакого	1	1
334	них не	1	1
335	на все	1	1
336	она связана	1	1
337	знает что	1	1
338	дома и	1	1
339	и мы	2	1
340	в них	4	1
341	все было	1	1
342	есть явление	1	1
343	с такой	1	1
344	без этой	1	1
345	потому и	1	1
346	бога и	10	1
347	в царстве	1	1
348	его нельзя	1	1
349	открывает новый	1	1
350	точки зрения	4	1
351	этой связи	1	1
352	там есть	1	1
353	в котором	8	1
354	самого человека	3	1
355	и действует	1	1
356	было очень	1	1
357	он дает	1	1
358	должны были	1	1
359	момент в	2	1
360	человеке на	1	1
361	и эти	1	1
362	не должно	1	1
363	сам он	1	1
364	душа и	1	1
365	это его	1	1
366	мир он	2	1
367	а от	1	1
368	вплоть до	1	1
369	встреча с	1	1
370	в то	2	1
371	на два	1	1
372	этот для	1	1
373	быть решен	1	1
374	человека за	1	1
375	находятся в	1	1
376	и необычайно	1	1
377	действительно в	1	1
378	к ней	4	1
379	он хочет	1	1
380	отношения людей	1	1
381	же этот	1	1
382	и показывает	1	1
383	его он	1	1
384	xvi века	1	1
385	в основе	2	1
386	не потому	1	1
387	одним из	2	1
388	у меня	1	1
389	не заставляет	1	1
390	в момент	3	1
391	когда мы	2	1
392	к тому	3	1
393	а что	1	1
394	родство с	1	1
395	и это	12	1
396	можно и	1	1
397	человеку но	1	1
398	идет не	1	1
399	то время	2	1
400	в пределах	1	1
401	приводит к	2	1
402	но раньше	1	1
403	роль в	1	1
404	легенды о	2	1
405	в глаза	1	1
406	особенно в	3	1
407	и каждый	1	1
408	об этой	1	1
409	жизнь и	1	1
410	и трудно	1	1
411	является в	1	1
412	в эпоху	1	1
413	с ним	2	1
414	все его	3	1
415	в виду	2	1
416	собственно в	1	1
417	а к	1	1
418	слова а	1	1
419	о нем	2	1
420	одного из	1	1
421	мог бы	4	1
422	нет у	3	1
423	в греческой	1	1
424	нас в	1	1
425	доходит до	1	1
426	путь к	1	1
427	русской и	1	1
428	идет к	1	1
429	совершенно как	1	1
430	бы в	2	1
431	мире так	1	1
432	тем более	1	1
433	в середине	4	1
434	достигает вершины	2	1
435	в него	3	1
436	людей с	1	1
437	переносится на	1	1
438	быть и	1	1
439	один из	4	1
440	что только	1	1
441	человека в	13	1
442	речи о	1	1
443	одной из	1	1
444	нем не	2	1
445	отняв у	1	1
446	в человека	4	1
447	связью с	1	1
448	к какому	1	1
449	же она	1	1
450	вопрос же	1	1
451	в начале	2	1
452	был бы	10	1
453	одно из	3	1
454	но нет	1	1
455	цели и	1	1
456	он весь	7	1
457	не приведет	1	1
458	только одного	1	1
459	как материальная	1	1
460	не хотел	3	1
461	и вместе	4	1
462	во власти	2	1
463	как у	1	1
464	по своим	1	1
465	к которому	1	1
466	уходит в	1	1
467	он часто	1	1
468	он во	1	1
469	мы еще	2	1
470	бежит от	1	1
471	что не	1	1
472	обратиться к	1	1
473	прежде всего	10	1
474	связано с	2	1
475	притом не	1	1
476	его душа	1	1
477	не было	18	1
478	которые не	1	1
479	у других	1	1
480	власти и	1	1
481	человеческой жизни	2	1
482	человек в	9	1
483	долгое время	2	1
484	когда она	1	1
485	для человека	3	1
486	под влиянием	1	1
487	он и	2	1
488	есть одно	2	1
489	мог быть	1	1
490	вступает в	1	1
491	и она	2	1
492	в центре	2	1
493	в иных	3	1
494	борются в	1	1
495	в европе	1	1
496	над ним	1	1
497	не знал	4	1
498	к жизни	1	1
499	такого отношения	3	1
500	что же	1	1
501	к образу	1	1
502	в мир	3	1
503	человек всегда	1	1
504	него есть	1	1
505	который он	1	1
506	как будто	2	1
507	в это	1	1
508	в различные	1	1
509	в огне	1	1
510	на пути	4	1
511	болезнь и	1	1
512	от нас	1	1
513	на одной	1	1
514	в более	2	1
515	которых он	4	1
516	к пониманию	1	1
517	в самые	1	1
518	она может	2	1
519	все запросы	1	1
520	человек или	1	1
521	жизни и	2	1
522	она уже	1	1
523	а под	1	1
524	идут на	1	1
525	или нет	1	1
526	еще более	1	1
527	ни к	1	1
528	духа это	2	1
529	будто бы	3	1
530	силы в	1	1
531	указывали на	1	1
532	но если	3	1
533	к ее	1	1
534	в юности	1	1
535	это все	1	1
536	не знает	4	1
537	мир но	2	1
538	к его	1	1
539	пришел к	1	1
540	пути к	1	1
541	что вообще	1	1
542	в своих	1	1
543	доступ к	3	1
544	небо и	4	1
545	они не	1	1
