N	3gram	Propp_Morf_1	Analitik
1	о том что	1	6
2	в том что	3	6
3	в данном случае	1	5
4	состоит в том	2	4
5	по отношению к	4	4
6	с одной стороны	1	4
7	в этом случае	8	4
8	подобно тому как	5	3
9	в этом отношении	1	3
10	тем не менее	4	3
11	как и в	2	3
12	в обоих случаях	2	2
13	с точки зрения	2	2
14	в таком случае	1	2
15	в том или	1	2
16	с другой стороны	4	2
17	на то что	2	2
18	тех или иных	1	2
19	можно сказать что	1	1
20	и не требует	1	1
21	приводит к тому	1	1
22	в тех случаях	2	1
23	между прочим и	1	1
24	более или менее	2	1
25	и даже не	1	1
26	которые могут быть	1	1
27	в третий раз	1	1
28	к тому или	1	1
29	одна из них	1	1
30	в противном случае	1	1
31	до известной степени	1	1
32	мы видим как	1	1
33	в таких случаях	2	1
34	и то же	1	1
35	см ниже в	1	1
36	в связи с	8	1
37	одно и то	1	1
38	из них не	1	1
39	или выражаясь точнее	1	1
40	не может быть	9	1
41	ни одна из	1	1
42	текст состоит из	1	1
43	он ничего не	1	1
44	в этих случаях	11	1
45	тех случаях когда	2	1
46	в ходе повествования	1	1
47	к тому что	3	1
48	друг с другом	1	1
49	дело не в	2	1
50	точно так же	1	1
