N	3gram	Tiupa_Teor_1	Myslijsy
1	по отношению к	4	13
2	в том что	8	13
3	не может быть	4	9
4	тем не менее	3	6
5	с другой стороны	5	5
6	объективности и субъективности	1	4
7	субъекта и объекта	1	4
8	в свою очередь	2	4
9	в этом смысле	2	4
10	а между тем	1	3
11	подобно тому как	1	3
12	с точки зрения	3	3
13	в противном случае	1	3
14	с одной стороны	2	3
15	сама по себе	1	3
16	может быть названо	2	3
17	а в том	1	3
18	то же время	5	3
19	в то же	5	3
20	таким образом что	1	2
21	что иное как	1	2
22	дело в том	1	2
23	бы то ни	1	2
24	заключает в себе	1	2
25	одном и том	1	2
26	по крайней мере	1	2
27	к тому что	2	2
28	и том же	1	2
29	и потому что	1	2
30	не могут быть	2	2
31	для того чтобы	1	2
32	все то что	1	2
33	в одном и	1	2
34	и того же	3	2
35	не только не	2	2
36	бы они ни	1	2
37	они ни были	1	2
38	одного и того	3	2
39	но дело в	1	2
40	не что иное	1	2
41	друг от друга	1	2
42	но на деле	1	2
43	в сравнении с	1	2
44	как и в	2	2
45	каждая из этих	1	1
46	развития но и	1	1
47	может быть назван	1	1
48	и в жизни	1	1
49	то есть как	1	1
50	в душе в	1	1
51	на нее как	1	1
52	это было бы	1	1
53	в себе самом	1	1
54	слова так и	1	1
55	в произведении искусства	1	1
56	не совпадает с	1	1
57	только то что	1	1
58	из того что	1	1
59	при этом не	1	1
60	между лицом и	1	1
61	более или менее	2	1
62	то ни было	1	1
63	с тем же	1	1
64	так же как	1	1
65	но в действительности	1	1
66	заключается в том	1	1
67	в связи с	1	1
68	все без исключения	1	1
69	между тем в	1	1
70	и в этой	1	1
71	таким же образом	1	1
72	по себе еще	1	1
73	упустить из виду	1	1
74	не только к	1	1
75	еще и потому	1	1
76	заключать в себе	1	1
77	что входит в	1	1
78	языка не может	1	1
79	в то время	1	1
80	имея в виду	1	1
81	и тем самым	2	1
82	о том что	1	1
83	тем и другим	1	1
84	и не могло	2	1
85	и в слове	1	1
86	того что не	1	1
87	но не в	1	1
88	друг другу и	1	1
89	в первом случае	1	1
90	точно так же	1	1
91	в более или	1	1
92	себе еще не	1	1
93	в том в	1	1
