N	3gram	Losev_Dial_1	Myslijsy
1	в том что	7	13
2	не может быть	3	9
3	только в том	1	6
4	тем не менее	1	6
5	и в этом	3	6
6	с другой стороны	4	5
7	не в том	1	4
8	само по себе	5	4
9	в этом смысле	3	4
10	и т д	19	4
11	а между тем	1	3
12	с точки зрения	12	3
13	с одной стороны	2	3
14	сама по себе	8	3
15	и той же	1	3
16	а в том	1	3
17	то же время	4	3
18	с самого начала	1	3
19	в то же	4	3
20	одной и той	1	3
21	и может быть	1	2
22	что иное как	1	2
23	хотя бы даже	1	2
24	так что не	1	2
25	только потому что	3	2
26	дело в том	1	2
27	так что в	1	2
28	а потому что	1	2
29	по крайней мере	4	2
30	то и другое	2	2
31	к тому что	2	2
32	для того чтобы	1	2
33	в нем есть	6	2
34	не нуждается в	3	2
35	и т п	2	2
36	при известных условиях	1	2
37	если бы не	1	2
38	не что иное	1	2
39	друг от друга	1	2
40	в сравнении с	1	2
41	в них не	1	2
42	тех и других	1	2
43	никто не может	1	1
44	но и все	1	1
45	же может быть	2	1
46	но так как	1	1
47	должны сказать что	1	1
48	эти явления и	1	1
49	она построена на	1	1
50	это было бы	1	1
51	на самом деле	2	1
52	в себе самом	2	1
53	того или другого	1	1
54	отношении ее к	1	1
55	одной стороны и	2	1
56	не впасть в	1	1
57	и то и	2	1
58	сам по себе	6	1
59	сами по себе	1	1
60	бы ни было	1	1
61	по себе и	2	1
62	не потому что	1	1
63	не есть нечто	1	1
64	не было бы	2	1
65	только то что	3	1
66	в этом отношении	2	1
67	том что именно	1	1
68	из того что	1	1
69	есть только то	1	1
70	до сих пор	2	1
71	что в нем	3	1
72	но это не	1	1
73	можно было бы	4	1
74	что если бы	1	1
75	она может быть	1	1
76	прямого отношения к	1	1
77	в ней не	1	1
78	еще не есть	1	1
79	более или менее	3	1
80	так а не	1	1
81	там где есть	1	1
82	и то не	2	1
83	все что ни	1	1
84	не есть произведение	1	1
85	если бы мы	1	1
86	а не иначе	1	1
87	в связи с	1	1
88	не зависит от	1	1
89	есть только отвлеченное	1	1
90	и в отношении	1	1
91	то все же	1	1
92	между тем в	1	1
93	мире мы находим	1	1
94	или по крайней	2	1
95	если они не	1	1
96	на деле же	2	1
97	во всяком случае	2	1
98	его только на	1	1
99	по себе не	5	1
100	по себе а	2	1
101	д и т	2	1
102	в то время	1	1
103	друг в друга	1	1
104	это значит что	9	1
105	о том что	2	1
106	из других источников	1	1
107	точки зрения так	1	1
108	не существует и	1	1
109	отношении его к	1	1
110	значение само по	1	1
111	но все же	1	1
112	с этой стороны	2	1
113	на то что	4	1
114	в каждом из	2	1
115	друг другу как	2	1
116	при этом будем	1	1
117	она не может	1	1
118	точно так же	2	1
119	т д в	1	1
120	привело к тому	1	1
121	которая хотя и	1	1
122	что каждая из	1	1
123	и есть только	1	1
