N	3gram	Savitsky_P_1	Dialekti
1	и т д	1	15
2	с точки зрения	3	8
3	в том что	4	6
4	и не только	2	5
5	то же время	7	4
6	с другой стороны	1	4
7	сами по себе	3	3
8	в то же	7	3
9	хотя бы это	1	3
10	не может быть	1	3
11	более или менее	1	2
12	и в частности	1	2
13	не только в	4	2
14	во всяком случае	1	2
15	т д не	1	2
16	само по себе	1	2
17	та или иная	1	2
18	есть та или	1	2
19	том что в	1	1
20	и то что	1	1
21	– все это	1	1
22	тех пор пока	1	1
23	видим в нем	1	1
24	да и не	1	1
25	что это значит?	1	1
26	в этом смысле	1	1
27	одной стороны и	2	1
28	и не может	1	1
29	оно есть и	1	1
30	и в то	2	1
31	но и в	2	1
32	с тем чтобы	1	1
33	бы она ни	1	1
34	вместе с тем	1	1
35	к науке и	1	1
36	вопрос об отношении	1	1
37	так же как	1	1
38	не в том	1	1
39	с одной стороны	3	1
40	в одно и	1	1
41	которые были бы	1	1
42	и в этом	1	1
43	мы отнюдь не	1	1
44	д не только	1	1
45	сливаются в одно	1	1
46	в некотором смысле	1	1
47	друг с другом	1	1
48	в жизни она	1	1
49	по сравнению с	1	1
50	и пр в	1	1
51	заключается в том	2	1
52	тем и другим	1	1
53	за то что	1	1
54	до тех пор	1	1
55	в каком смысле	1	1
56	есть прежде всего	1	1
57	ни на какие	1	1
58	в отдельности и	1	1
