N	3gram	Tiupa_Narr_1	Vladivir
1	в том что	8	9
2	в связи с	2	8
3	тем не менее	3	6
4	и то что	1	5
5	по крайней мере	1	4
6	содержит в себе	1	4
7	дело в том	1	3
8	более или менее	2	3
9	с точки зрения	2	3
10	в отличие от	5	3
11	в то же	3	3
12	точно так же	2	3
13	так или иначе	2	3
14	то что он	1	3
15	то же время	3	3
16	о том что	6	3
17	последние дни жизни	1	2
18	том что он	1	2
19	в том же	1	2
20	можно было бы	2	2
21	сам по себе	1	2
22	в данном случае	4	2
23	в том чтобы	1	2
24	не только в	2	2
25	так и не	2	2
26	в свою очередь	3	2
27	он уже не	1	2
28	не то что	2	2
29	само по себе	1	2
30	как мы видели	1	2
31	что иное как	2	1
32	не может не	2	1
33	да и в	1	1
34	что в этом	1	1
35	в этом не	1	1
36	а не с	1	1
37	в том числе	6	1
38	что несмотря на	1	1
39	он не может	1	1
40	не было и	1	1
41	что он уже	1	1
42	до сих пор	1	1
43	и в то	1	1
44	то есть непосредственно	1	1
45	бы то ни	3	1
46	только то что	1	1
47	в этом отношении	3	1
48	и не в	4	1
49	может быть и	1	1
50	в ней не	1	1
51	в последние дни	1	1
52	до известной степени	1	1
53	что это за	1	1
54	в первый раз	1	1
55	в году в	1	1
56	а также и	1	1
57	и как бы	1	1
58	к одному из	1	1
59	в первую очередь	1	1
60	не может быть	5	1
61	в свое время	1	1
62	нельзя сказать о	1	1
63	по себе не	1	1
64	далеко не все	1	1
65	здесь как и	1	1
66	и прежде всего	1	1
67	в самом деле	1	1
68	но все же	4	1
69	можно сказать что	4	1
70	в этом смысле	1	1
71	как мы уже	1	1
72	но это не	1	1
73	не что иное	2	1
74	как нам представляется	1	1
75	к тому же	4	1
76	в отрыве от	1	1
77	является как бы	1	1
78	пока еще не	1	1
