N	2gram	Tiupa_Disk_2	StatiiOP
1	и в	16	29
2	том что	10	27
3	в том	8	27
4	в этом	16	21
5	не только	10	19
6	но и	11	19
7	что в	5	19
8	о том	4	17
9	пушкиным в	1	14
10	в его	3	13
11	что он	2	13
12	у пушкина	2	12
13	в которой	1	11
14	то что	5	11
15	все это	2	11
16	таким образом	1	10
17	к тому	1	10
18	в своем	5	9
19	он не	3	9
20	пушкина и	1	9
21	потому что	4	9
22	так и	9	9
23	этом отношении	4	9
24	и не	15	9
25	как на	3	9
26	но в	11	8
27	я не	1	7
28	в ней	2	7
29	в самом	1	7
30	но все	1	7
31	в своей	6	7
32	в котором	3	7
33	не столько	3	7
34	того как	1	7
35	вместе с	2	7
36	одним из	1	6
37	вопрос о	1	6
38	и на	5	6
39	все же	6	6
40	вовсе не	1	6
41	и его	3	6
42	об этом	1	6
43	и что	1	6
44	в одном	4	6
45	точки зрения	4	5
46	в русской	3	5
47	в языке	2	5
48	того что	1	5
49	между тем	2	5
50	в качестве	16	5
51	своего рода	10	5
52	прежде всего	7	5
53	а не	14	5
54	о чем	2	5
55	в той	2	5
56	как бы	4	5
57	речь идет	1	4
58	хотя и	1	4
59	по словам	2	4
60	в нем	7	4
61	в другом	3	4
62	и с	2	4
63	не в	3	4
64	дело в	2	4
65	ничего не	1	4
66	но также	1	4
67	времени и	2	4
68	внимание на	1	4
69	но с	1	4
70	для него	5	4
71	с другой	5	4
72	именно в	2	4
73	действующих лиц	1	4
74	в частности	12	4
75	еще более	1	4
76	в романе	1	4
77	к этому	4	4
78	например в	3	3
79	же как	2	3
80	самом деле	1	3
81	идет о	2	3
82	в году	1	3
83	его не	1	3
84	не был	1	3
85	но не	7	3
86	не то	1	3
87	как в	8	3
88	в полном	2	3
89	не было	3	3
90	из них	3	3
91	ни в	7	3
92	в этих	3	3
93	одном из	3	3
94	не менее	7	3
95	на рубеже	3	3
96	в обоих	2	3
97	самого начала	1	3
98	одной из	1	3
99	никогда не	2	3
100	тем что	1	3
101	и именно	1	3
102	оно не	1	3
103	с самого	1	3
104	в образе	1	3
105	и здесь	1	3
106	как у	1	3
107	должно было	1	3
108	но это	3	3
109	ср у	1	3
110	так что	1	3
111	всяком случае	1	3
112	что на	2	3
113	и даже	1	3
114	еще и	1	3
115	а с	5	3
116	до конца	1	3
117	сколько в	1	3
118	xix века	1	3
119	другой стороны	2	3
120	не является	4	3
121	во всяком	1	3
122	также и	3	2
123	того же	2	2
124	то же	6	2
125	поэзии и	1	2
126	и была	1	2
127	для своего	1	2
128	в полной	1	2
129	пребывания в	1	2
130	это время	1	2
131	в сочетании	2	2
132	бы то	1	2
133	с его	6	2
134	присутствует в	1	2
135	тогда как	11	2
136	отличие от	12	2
137	там где	1	2
138	в истории	1	2
139	мере в	1	2
140	в одной	1	2
141	образцом для	1	2
142	и как	3	2
143	все эти	3	2
144	в этой	4	2
145	в себе	19	2
146	при этом	17	2
147	тем не	1	2
148	не к	2	2
149	и более	1	2
150	о мире	1	2
151	значительной степени	1	2
152	том же	1	2
153	то ни	1	2
154	не дает	1	2
155	его в	3	2
156	на почве	2	2
157	в это	1	2
158	как и	16	2
159	несмотря на	1	2
160	которую он	1	2
161	сочетании с	2	2
162	нас не	1	2
163	с точки	2	2
164	как произведение	1	2
165	в отличие	12	2
166	века и	1	2
167	что этот	1	2
168	даже в	1	2
169	но они	1	2
170	в то	5	2
171	дело не	1	2
172	в процессе	1	2
173	в историческую	1	2
174	это еще	2	2
175	и всегда	1	2
176	не может	9	2
177	в области	2	2
178	и это	2	2
179	в ее	1	2
180	и сам	1	2
181	еще в	3	2
182	он был	1	2
183	а также	8	2
184	другом месте	1	2
185	говорит об	2	2
186	никак не	1	2
187	лирической поэзии	4	2
188	в значительной	1	2
189	что и	2	2
190	в какой	1	2
191	только в	3	2
192	знаком с	1	2
193	свидетельствуют о	1	2
194	на всем	1	2
195	раз в	1	2
196	случае не	1	2
197	может быть	16	2
