1	в то же время	3	5
2	но в то же	2	3
3	одна и та же	1	2
4	с другой стороны и	1	2
5	и в большинстве случаев	1	2
6	сих пор совершенно не	1	2
7	до сих пор совершенно	1	2
8	провести отчетливую границу между	1	1
9	и он сам и	1	1
10	одну и ту же	1	1
11	том что он находится	1	1
12	сама по себе лишена	1	1
13	слово в то же	1	1
14	каких бы то ни	3	1
15	в большей или меньшей	1	1
16	не может до конца	1	1
17	бы то ни было	8	1
18	в той форме в	1	1
19	с точки зрения содержания	1	1
20	в том что он	1	1
21	с точки зрения этого	1	1
22	до сих пор не	1	1
23	и не может быть	4	1
24	и до настоящего времени	1	1
25	не только может быть	1	1
26	друг за другом и	1	1
27	в том числе и	2	1
28	можно сказать что вся	1	1
