N	3gram	Berdyaev_N_1	FransuaR
1	в том числе	1	4
2	в средние века	3	4
3	в эпоху ренессанса	1	3
4	в том что	1	3
5	то что в	1	2
6	в большинстве случаев	1	2
7	том числе и	1	2
8	можно было бы	1	2
9	в значительной степени	1	2
10	как и в	1	2
11	нового времени он	1	2
12	не должно быть	1	2
13	и все они	1	2
14	по своей природе	1	1
15	что в этом	1	1
16	античного мира и	1	1
17	жизни все это	1	1
18	глубину в недра	1	1
19	есть прежде всего	1	1
20	в том и	2	1
21	себе и в	1	1
22	того же процесса	1	1
23	о том чтобы	1	1
24	но и в	1	1
25	что в нем	2	1
26	истории как и	1	1
27	сферы культуры и	1	1
28	со всех сторон	3	1
29	и не в	1	1
30	и через них	1	1
31	не только в	1	1
32	xiv и xv	1	1
33	еще не было	1	1
34	о том что	1	1
35	средние века были	1	1
36	все эти формы	2	1
37	это не есть	1	1
38	хотя и в	1	1
39	во всяком случае	1	1
40	начало новой эпохи	1	1
41	это и есть	1	1
42	не в силах	1	1
43	в глубину в	1	1
44	выходит за пределы	1	1
45	от этого мира	1	1
46	в этом смысле	2	1
47	было бы сказать	1	1
48	имя свое и	1	1
