N	2gram	Tiupa_Hudo_1	IolandNe
1	и не	15	2
2	должен быть	1	2
3	в этом	11	2
4	он не	4	2
5	что в	6	2
6	что для	1	1
7	все эти	2	1
8	точно и	1	1
9	с другой	7	1
10	о жизни	1	1
11	этого писателя	1	1
12	для него	4	1
13	того чтобы	2	1
14	того что	4	1
15	отношению к	9	1
16	и о	3	1
17	говорить о	3	1
18	без этого	1	1
19	не дает	1	1
20	в целом	3	1
21	для других	1	1
22	это было	1	1
23	в художественном	4	1
24	введение в	1	1
25	с героем	1	1
26	так и	11	1
27	к нам	1	1
28	и со	1	1
29	его личности	1	1
30	автора и	3	1
31	в основе	4	1
32	жизни и	1	1
33	по отношению	9	1
34	себя в	7	1
35	и сам	1	1
36	по поводу	1	1
37	этим и	1	1
38	если бы	3	1
39	того же	2	1
40	а с	2	1
41	и чрезвычайно	1	1
42	и смыслы	1	1
43	в значительной	1	1
44	только для	1	1
45	а также	5	1
46	для того	2	1
47	бы в	1	1
48	а в	12	1
49	и в	19	1
50	не случайно	3	1
51	ибо и	1	1
52	все это	2	1
53	на котором	1	1
54	такого знания	1	1
55	более чем	1	1
56	произведения это	1	1
57	со всеми	1	1
58	тем что	1	1
59	и др	2	1
60	а по	1	1
61	я не	2	1
62	другой стороны	5	1
63	никогда не	2	1
64	в них	2	1
65	и без	1	1
66	художественного творчества	4	1
