N	2gram	Bakhtin_sl_1	Hudozhes
1	том что	2	16
2	и в	41	14
3	так и	11	13
4	при этом	6	12
5	в том	3	12
6	о том	3	12
7	а не	15	12
8	не только	16	12
9	в себе	3	11
10	прежде всего	8	11
11	в этом	12	11
12	и т	28	11
13	в своей	7	10
14	для него	3	10
15	как и	4	9
16	то же	14	9
17	в качестве	3	9
18	у него	3	9
19	же время	12	8
20	т п	23	8
21	между тем	2	8
22	в его	13	8
23	в то	14	8
24	ничего не	4	8
25	в этой	1	8
26	как в	8	8
27	еще не	4	7
28	не в	7	7
29	к тому	3	7
30	это не	6	7
31	уже не	2	7
32	не может	14	7
33	именно в	3	7
34	а в	6	7
35	как бы	12	7
36	никогда не	3	6
37	было бы	3	6
38	человека в	1	6
39	друг друга	3	5
40	жизни и	1	5
41	не менее	1	5
42	одновременно и	2	5
43	точки зрения	16	5
44	и он	1	5
45	ни в	1	5
46	потому что	2	5
47	но и	16	5
48	в этих	2	5
49	интерес к	2	5
50	и его	14	5
51	перед нами	4	5
52	только в	6	5
53	с его	4	5
54	но в	8	5
55	в частности	2	5
56	может быть	14	5
57	героя и	1	5
58	можно было	2	5
59	и с	4	4
60	можно сказать	2	4
61	на то	1	4
62	связи с	2	4
63	не было	3	4
64	и все	4	4
65	с ним	7	4
66	как раз	2	4
67	и это	1	4
68	та же	1	4
69	то в	2	4
70	по своей	1	4
71	тому что	2	4
72	тем не	1	4
73	того что	3	4
74	что она	1	4
75	и к	5	4
76	и от	4	4
77	а только	1	4
78	и о	2	4
79	один из	4	4
80	мы уже	2	4
81	к другому	1	4
82	в самом	5	4
83	она не	3	4
84	он не	3	4
85	в действительности	1	4
86	несмотря на	1	4
87	столь же	2	4
88	в духе	2	4
89	себя в	9	4
90	в ней	4	4
91	из них	3	4
92	в своем	3	4
93	все эти	9	3
94	приводит к	1	3
95	все же	7	3
96	но он	2	3
97	в литературе	1	3
98	и для	4	3
99	т д	5	3
100	в нем	30	3
101	даже в	2	3
