N	3gram	Tiupa_Lite_3	Otkroven
1	к человеку и	1	4
2	для того чтобы	1	3
3	у него не	1	2
4	не может быть	3	2
5	но и в	2	2
6	до самого конца	1	2
7	в другом месте	1	1
8	но он и	1	1
9	как будто бы	1	1
10	как например в	2	1
11	хотя и не	1	1
12	которой в другом	1	1
13	в этих словах	1	1
14	человеческого духа в	1	1
15	одно из самых	1	1
16	в самом деле	2	1
17	как бы в	1	1
18	и в том	1	1
19	о том как	1	1
20	так и не	1	1
21	о которой в	1	1
22	он и не	1	1
23	о том что	4	1
24	в этом отношении	5	1
25	то что в	1	1
26	и в самом	2	1
27	в том что	4	1
28	на то что	2	1
29	и то что	1	1
30	в самом начале	1	1
31	а не только	1	1
