N	3gram	Losev_Vesc_1	Narrotol
1	в том что	4	8
2	в данном случае	2	6
3	не только в	4	6
4	с одной стороны	3	5
5	о том что	4	4
6	тем не менее	3	4
7	в этом отношении	1	3
8	можно сказать что	3	3
9	в то же	1	3
10	к тому что	2	3
11	по своей природе	1	2
12	с точки зрения	3	2
13	мы имеем дело	2	2
14	подобно тому как	4	2
15	так же как	1	2
16	а в том	1	2
17	не только не	2	2
18	не может быть	6	2
19	на то чтобы	1	2
20	все то что	1	2
21	и оно не	1	1
22	таким образом что	1	1
23	и того же	1	1
24	что иное как	7	1
25	оба эти момента	1	1
26	не может не	1	1
27	одной стороны и	1	1
28	ни о чем	1	1
29	то что я	2	1
30	или хотя бы	1	1
31	в той или	2	1
32	в данный момент	1	1
33	в чем же	3	1
34	более или менее	1	1
35	в самом деле	4	1
36	свидетельствует о том	3	1
37	то же самое	1	1
38	как раз и	1	1
39	в себя не	1	1
40	по сравнению с	6	1
41	необходимо должно быть	1	1
42	в зависимости от	1	1
43	что человек есть	1	1
44	что только в	2	1
45	об этом в	1	1
46	ни у кого	1	1
47	можно было бы	1	1
48	и здесь мы	1	1
49	может быть только	3	1
50	до сих пор	1	1
51	так или иначе	4	1
52	как раз в	1	1
53	то время как	1	1
54	однако и здесь	1	1
55	в интересующей нас	1	1
56	к другому человеку	1	1
57	по природе своей	1	1
58	не в том	1	1
59	в том или	1	1
60	уж во всяком	1	1
61	не только к	2	1
62	во всяком случае	2	1
63	не только а	1	1
64	что у него	1	1
65	этой точки зрения	1	1
66	не может существовать	1	1
67	потому что я	2	1
68	есть не что	5	1
69	в то время	1	1
70	с этой точки	1	1
71	что в ней	1	1
72	и уж во	1	1
73	в основе своей	2	1
74	однако об этом	1	1
75	с этой стороны	1	1
76	и как именно	1	1
77	одного и того	1	1
78	предполагает со стороны	1	1
79	она не могла	1	1
80	в том смысле	1	1
81	не что иное	7	1
82	для того чтобы	2	1
83	тех кто не	1	1
84	но и к	1	1
85	не я сам	1	1
