N	2gram	Losev_Vlad_3	Myslijsy
1	потому что	11	46
2	то есть	24	34
3	в том	18	32
4	и в	40	30
5	может быть	8	28
6	то же	4	23
7	только в	13	21
8	не только	25	21
9	для нас	5	20
10	но и	18	19
11	того что	7	18
12	то что	28	18
13	том что	18	18
14	что в	17	17
15	не есть	10	17
16	в себе	9	16
17	по себе	6	16
18	и не	25	15
19	не в	3	15
20	а не	8	15
21	таким образом	11	14
22	что и	7	13
23	так как	7	13
24	а в	7	12
25	вместе с	7	12
26	точно так	4	12
27	если бы	3	12
28	этого слова	1	11
29	так и	6	11
30	есть уже	1	11
31	как и	7	10
32	в то	7	10
33	как в	1	10
34	в этом	16	10
35	в душе	1	10
36	и что	8	10
37	в нем	3	9
38	мы не	2	9
39	для него	8	9
40	из этих	3	9
41	было бы	4	9
42	только что	2	8
43	от того	4	8
44	в самом	4	8
45	в ней	5	8
46	и то	9	8
47	что мы	2	8
48	вовсе не	13	7
49	тем самым	2	7
50	и без	1	7
51	с тем	7	7
52	но не	4	7
53	есть не	2	7
54	что слово	1	7
55	к тому	7	7
56	так что	14	7
57	как мы	8	7
58	тем что	5	7
59	с одной	3	7
60	с другой	5	7
61	не может	14	6
62	но оно	2	6
63	и теперь	1	6
64	а потому	1	6
65	те же	1	6
66	например в	1	6
67	не имеет	4	6
68	то и	2	6
69	имеет значение	1	6
70	есть представление	1	6
71	там же	7	6
72	уже не	9	6
73	то это	10	6
74	с этим	2	6
75	что только	1	6
76	что он	5	6
77	же с	7	6
78	из них	2	6
79	указывает на	1	6
80	но это	6	6
81	внутреннюю форму	1	5
82	еще не	4	5
83	одно и	2	5
84	же время	2	5
85	только как	1	5
86	как на	3	5
87	думать что	1	5
88	не менее	9	5
89	в каком	4	5
90	независимо от	3	5
91	в действительности	1	5
92	слова и	1	5
93	есть только	9	5
94	человека и	3	5
95	уже в	3	5
96	словом и	1	5
97	сказать что	12	5
98	должно быть	5	5
99	очевидно что	1	5
100	в них	1	5
101	сам по	2	5
102	и тем	3	5
103	не могут	2	5
104	и как	7	5
105	к одному	1	5
106	в своем	8	5
107	от своих	1	4
108	и его	10	4
109	в один	1	4
110	представление и	1	4
111	не к	2	4
112	это слово	1	4
113	не было	5	4
114	но вместе	1	4
115	что это	9	4
116	бы не	1	4
117	в смысле	6	4
118	если не	6	4
119	есть ни	1	4
120	оно не	3	4
121	для человека	1	4
122	для понимания	2	4
123	что даже	2	4
124	мы видели	3	4
125	не дается	2	4
126	то время	4	4
127	что для	1	4
128	в его	14	4
129	ли она	1	4
130	с какою	1	4
131	себе а	1	4
132	и при	1	4
133	до того	1	4
134	относится к	1	4
135	мы должны	4	4
136	и от	6	4
137	не все	3	4
138	для того	2	4
139	один из	1	4
140	и потому	10	4
141	перестает быть	1	4
142	а и	2	4
143	по поводу	1	4
144	другой стороны	2	4
145	себе не	1	4
146	в котором	4	4
147	об отношении	2	4
148	того как	1	4
149	себя и	1	4
150	он не	8	4
151	далеко не	3	4
152	все это	1	4
153	в каждой	1	4
154	есть нечто	1	4
155	все равно	1	4
156	и это	6	4
157	все что	1	4
158	и по	2	4
159	что все	7	3
160	в которой	2	3
161	и понятия	1	3
162	образом и	1	3
163	и вместе	2	3
164	самого себя	2	3
165	в одно	2	3
166	можно сказать	1	3
167	место в	1	3
168	и оно	1	3
169	что при	1	3
170	так же	8	3
171	не будет	6	3
172	только от	1	3
173	для себя	5	3
174	и следовательно	1	3
175	и все	4	3
176	вслед за	1	3
177	человеческой жизни	1	3
178	не составляют	1	3
179	к нему	3	3
180	сих пор	1	3
181	я и	1	3
182	и вообще	3	3
183	при этом	3	3
184	до сих	1	3
185	того чтобы	3	3
186	а только	7	3
187	на него	2	3
188	его в	2	3
189	не можем	2	3
190	признаков и	1	3
191	этого не	3	3
192	в начале	2	3
193	с но	1	3
194	в таком	3	3
195	только на	5	3
196	тем и	1	3
197	в целом	2	3
198	не говоря	1	3
199	оно имеет	1	3
200	в чем	3	3
201	в силу	2	3
202	не то	1	3
203	же и	2	3
204	том смысле	1	3
205	это можно	1	3
206	тем не	10	3
207	в человеке	1	3
208	в последнем	1	3
209	представить себе	1	3
210	заметить что	2	3
211	или менее	5	3
212	это было	3	3
213	значение не	1	3
214	том как	1	3
215	со стороны	2	3
216	более или	5	3
217	друг друга	2	3
218	прежде всего	10	3
219	от нас	1	3
220	только потому	1	3
221	то оно	1	3
222	а к	1	3
223	не существует	2	3
224	именно в	3	3
225	само по	3	3
226	тому что	4	3
227	оно есть	6	3
228	от другого	1	3
229	и на	6	3
230	возможно только	1	3
231	одной стороны	3	3
232	такое же	1	3
233	за ним	1	3
234	нельзя сказать	3	3
235	тогда и	1	3
236	и есть	1	3
237	каждой из	1	3
238	к этому	2	3
239	что она	2	3
240	то к	1	3
241	никак не	4	3
242	его я	1	3
243	можно думать	2	3
244	как бы	3	3
245	в свою	1	3
246	что по	1	2
247	ему только	1	2
248	когда мы	1	2
249	все же	4	2
250	мысли если	1	2
251	бы в	2	2
252	и наконец	2	2
253	идеи в	1	2
254	о том	11	2
255	то не	2	2
256	этого последнего	2	2
257	жизни и	1	2
258	точки зрения	13	2
259	от этого	2	2
260	что они	1	2
261	понятие о	2	2
262	в разных	2	2
263	связи с	2	2
264	несмотря на	7	2
265	был бы	3	2
266	души и	1	2
267	в буквальном	1	2
268	только при	4	2
269	на то	4	2
270	то он	4	2
271	в виде	13	2
272	указание на	1	2
273	в свой	1	2
274	в какой	2	2
275	могла быть	1	2
276	но мы	2	2
277	даже в	4	2
278	нельзя же	1	2
279	но никак	1	2
280	мы ее	1	2
281	можно только	2	2
282	человек не	1	2
283	в системе	1	2
284	уже на	1	2
285	та же	1	2
286	в своей	9	2
287	это последнее	2	2
288	не дает	1	2
289	так в	1	2
290	о необходимости	3	2
291	ничего общего	5	2
292	в их	2	2
293	с каким	3	2
294	если например	1	2
295	в одном	5	2
296	и с	9	2
297	я думаю	1	2
298	притом не	1	2
299	но все	3	2
300	таком случае	2	2
301	что же	9	2
302	в которых	1	2
303	одной из	2	2
304	а тем	2	2
305	но только	2	2
306	в ее	1	2
307	то для	1	2
308	с этой	2	2
309	что человек	1	2
310	иметь в	2	2
311	говорит только	1	2
312	что ни	1	2
313	но как	2	2
314	или на	1	2
315	к своему	2	2
316	иначе и	2	2
317	и даже	6	2
318	на все	1	2
319	за пределы	3	2
320	в природе	1	2
321	так или	2	2
322	так у	1	2
323	сама по	1	2
324	принадлежит ему	1	2
325	что есть	3	2
326	выше мы	2	2
327	и после	1	2
328	но этот	1	2
329	буквальном смысле	1	2
330	это и	1	2
331	есть то	1	2
332	и мы	1	2
333	перед нами	3	2
334	каждый раз	1	2
335	и если	7	2
336	и о	4	2
337	не другим	1	2
338	а между	1	2
339	образ или	1	2
340	ни в	10	2
341	на чем	1	2
342	к тем	2	2
343	самом деле	1	2
344	не столько	3	2
345	тут же	5	2
346	отношении к	1	2
347	при таких	2	2
348	и почему	1	2
349	во время	1	2
350	по своему	1	2
351	этих признаков	1	2
352	каждое из	1	2
353	не всегда	1	2
354	только не	1	2
355	идеи и	2	2
356	мы уже	5	2
357	в этой	8	2
358	нет ни	2	2
359	с таким	2	2
360	перейти от	1	2
361	у него	24	2
362	словом которое	1	2
363	том же	1	2
364	так сказать	1	2
365	этом отношении	2	2
366	он говорит	1	2
367	мы видим	1	2
368	есть вместе	1	2
369	что собственно	1	2
370	она не	2	2
371	и притом	3	2
372	заставляет нас	1	2
373	что а	2	2
374	что эта	2	2
375	еще раз	2	2
376	их в	1	2
377	не как	2	2
378	в новом	1	2
379	впрочем и	1	2
380	бы мы	1	2
381	когда в	1	2
382	во многом	2	2
383	ему не	1	2
384	это единство	1	2
385	но что	2	2
386	же в	3	2
387	этом последнем	1	2
388	собственно говоря	3	2
389	не подлежит	1	2
390	в понятии	1	2
391	свойств и	3	2
392	об этом	6	2
393	именно то	1	2
394	не исчерпывают	1	2
395	что с	1	2
396	на свою	1	2
397	себе что	1	2
398	он как	1	2
399	а с	4	2
400	существование в	1	2
401	все в	1	2
402	которое не	1	2
403	как все	1	1
404	субстанция не	1	1
405	все эти	5	1
406	не находит	1	1
407	находим у	1	1
408	того кто	1	1
409	не такое	1	1
410	мало для	1	1
411	него происходит	1	1
412	понятно и	1	1
413	обобщения и	1	1
414	может и	1	1
415	что многие	1	1
416	связи со	1	1
417	и чисто	3	1
418	и непосредственно	1	1
419	слово будет	1	1
420	ограничиваясь только	1	1
421	и здесь	6	1
422	и совсем	1	1
423	а вместе	1	1
424	он легко	1	1
425	наш взгляд	1	1
426	входить в	1	1
427	исходя из	1	1
428	на себе	1	1
429	существование и	1	1
430	отсюда видно	1	1
431	я говорю	1	1
432	во всяком	3	1
433	его на	1	1
434	данном случае	2	1
435	вопрос о	4	1
436	есть тоже	1	1
437	было результатом	1	1
438	того чего	1	1
439	бросается в	2	1
440	которые мы	1	1
441	одно целое	1	1
442	же почему	1	1
443	на пути	1	1
444	но он	1	1
445	что одно	1	1
446	ли эта	1	1
447	это то	1	1
448	здесь от	1	1
449	видно что	1	1
450	того же	2	1
451	таким а	1	1
452	и чувства	1	1
453	или не	3	1
454	если оно	4	1
455	как например	2	1
456	и начинается	1	1
457	образа а	1	1
458	с которым	1	1
