N	3gram	Medvedev_S_1	StatiiOP
1	в том что	2	17
2	во всяком случае	1	6
3	в этой области	1	5
4	то же время	1	4
5	в то же	1	4
6	по отношению к	2	3
7	и в этом	1	3
8	по крайней мере	1	2
9	с одной стороны	1	2
10	не в том	2	2
11	чуть ли не	1	2
12	то что в	1	2
13	дело не в	2	2
14	а между тем	1	1
15	не может не	1	1
16	в настоящее время	1	1
17	в том и	1	1
18	должно было бы	1	1
19	в лучшем случае	1	1
20	только то что	1	1
21	в наше время	1	1
22	это вовсе не	1	1
23	о том как	1	1
24	и в то	1	1
25	а с другой	1	1
26	и более чем	1	1
27	именно в том	1	1
28	как бы они	1	1
29	а в том	1	1
30	бы они ни	1	1
31	они ни были	1	1
32	друг от друга	1	1
33	стр и в	1	1
34	но ведь это	2	1
35	в конце концов	2	1
