N	4gram	Trubetskoy_1	Problema
1	или по крайней мере	1	4
2	бы то ни было	2	3
3	в том или ином	1	2
4	по крайней мере в	1	1
5	только с первого взгляда	1	1
6	одного и того же	1	1
7	в нашем смысле слова	1	1
8	еще и потому что	1	1
9	с первого взгляда может	1	1
10	в одно нераздельное целое	1	1
11	не имеет самостоятельного значения	1	1
12	во всяком случае не	3	1
13	сливаются в одно нераздельное	1	1
14	с этой точки зрения	2	1
15	значение в связи с	1	1
16	в связи с тем	1	1
17	и есть то самое	1	1
18	не указывает на то	1	1
19	в данном случае мы	1	1
