N	3gram	Medvedev_V_1	EvropaiE
1	в то же	5	15
2	то же время	5	14
3	и в то	3	8
4	с одной стороны	2	8
5	одной стороны и	2	6
6	в том что	5	6
7	с этой точки	1	5
8	так же как	1	5
9	этой точки зрения	2	5
10	для того чтобы	3	5
11	не только в	2	4
12	того или иного	1	4
13	той или иной	1	4
14	в той или	1	3
15	в этом смысле	1	3
16	же как и	1	3
17	хотя бы и	5	3
18	в этом отношении	13	3
19	можно было бы	2	3
20	ту или иную	1	3
21	в применении к	1	3
22	во всяком случае	1	3
23	можно сказать что	4	3
24	заключает в себе	1	3
25	хотя бы отчасти	1	2
26	не говоря уже	1	2
27	только в том	2	2
28	то что в	1	2
29	в данном случае	1	2
30	но в то	1	2
31	по сравнению с	1	2
32	с другой стороны	8	2
33	не может быть	8	2
34	в частности в	2	2
35	очевидно что в	1	2
36	но было бы	1	2
37	в свою очередь	1	2
38	в одном из	3	2
39	хотя бы в	3	2
40	и связанное с	1	1
41	очевидно также что	1	1
42	не может не	2	1
43	хотя и не	1	1
44	следует отметить что	1	1
45	только в пределах	1	1
46	другой стороны в	1	1
47	чуть ли не	2	1
48	может быть сведена	1	1
49	более или менее	6	1
50	большей или меньшей	3	1
51	также и в	2	1
52	не дает оснований	1	1
53	в соответствии с	1	1
54	что для него	1	1
55	в том же	1	1
56	и в качестве	1	1
57	можно утверждать что	3	1
58	если так то	1	1
59	совершенно очевидно что	1	1
60	говоря уже о	1	1
61	том случае если	1	1
62	того что мы	1	1
63	есть то что	1	1
64	но и в	1	1
65	том числе и	2	1
66	кроме того что	1	1
67	на этот вопрос	1	1
68	в противном случае	2	1
69	в значительной мере	3	1
70	в этом процессе	2	1
71	то или иное	1	1
72	сводится именно к	1	1
73	может быть и	1	1
74	говорить не о	2	1
75	в силу этого	4	1
76	к двум основным	1	1
77	в формировании и	1	1
78	значит ли это	1	1
79	чтобы ответить на	1	1
80	как сказал бы	1	1
81	не могут быть	1	1
82	во всех этих	1	1
83	в том случае	1	1
84	то время как	1	1
85	в большей или	2	1
86	хотя бы с	1	1
87	или меньшей степени	2	1
88	в связи с	3	1
89	быть сведена к	1	1
90	и поэтому в	1	1
91	с другой в	1	1
92	в самом понятии	2	1
93	в качестве общего	1	1
94	мы видели что	3	1
95	отцов и детей	1	1
96	более высокой и	1	1
97	том смысле что	1	1
98	в то время	1	1
99	та или иная	1	1
100	как это мы	1	1
101	но и для	1	1
102	на то или	1	1
103	и ту же	1	1
104	ли это что	1	1
105	в том числе	2	1
106	к тому что	3	1
107	в том смысле	1	1
108	т е не	1	1
109	одну и ту	1	1
110	к тому же	1	1
111	только тогда когда	1	1
112	и не быть	1	1
113	и т д	14	1
114	в основных чертах	3	1
