N	2gram	Nazirov_Tr_1	RusskieA
1	и в	18	36
2	не только	8	22
3	том что	4	19
4	что в	4	19
5	в и	1	17
6	в том	2	17
7	т е	1	17
8	но и	4	16
9	в этом	9	12
10	и т	1	10
11	в xix	1	10
12	и на	7	10
13	это не	5	10
14	как и	5	10
15	как мы	1	10
16	вместе с	1	10
17	потому что	2	10
18	об этом	4	9
19	и по	1	8
20	с тем	2	8
21	о том	2	8
22	один из	3	8
23	может быть	7	8
24	как это	3	8
25	так и	5	7
26	между тем	1	7
27	что и	2	7
28	в виде	2	6
29	таким образом	1	6
30	при этом	3	6
31	не имеет	2	6
32	уже не	2	6
33	в них	1	6
34	и не	7	6
35	все это	4	6
36	для нас	1	6
37	то что	4	6
38	как в	3	5
39	все же	5	5
40	того как	1	5
41	как будто	3	5
42	с ними	1	5
43	из сибири	1	5
44	одно из	1	5
45	как бы	7	5
46	этом случае	1	5
47	еще не	4	4
48	во всех	1	4
49	на стол	1	4
50	представляет собой	1	4
51	в россии	1	4
52	с собой	1	4
53	по улицам	1	4
54	что этот	2	4
55	тому что	1	4
56	вплоть до	1	4
57	одна из	2	4
58	в русском	2	4
59	связи с	1	4
60	что на	1	4
61	к тому	2	4
62	его с	1	4
63	еще в	2	4
64	и что	4	4
65	и их	1	4
66	тем что	2	4
67	и др	1	4
68	того что	1	4
69	но это	4	4
70	в связи	1	4
71	не может	5	4
72	только в	1	4
73	представление о	1	3
74	своего рода	3	3
75	в своем	3	3
76	что это	5	3
77	в основном	3	3
78	на этом	1	3
79	то же	5	3
80	но все	2	3
81	он же	1	3
82	несмотря на	5	3
83	тем не	1	3
84	но они	2	3
85	не менее	1	3
86	ничего не	2	3
87	в поле	3	3
88	к жизни	5	3
89	то есть	3	3
90	а также	1	3
91	только на	1	3
92	слова в	1	3
93	в одном	2	3
94	к ним	1	3
95	в области	1	3
96	на этот	1	3
97	о чем	3	3
98	так же	4	3
99	в это	2	3
100	этого слова	1	3
101	например в	1	2
102	за все	1	2
103	на западе	1	2
104	на себя	1	2
105	в ней	1	2
106	он был	2	2
107	но не	1	2
108	значение и	1	2
109	тогда как	1	2
110	не просто	2	2
111	отнюдь не	3	2
112	что именно	1	2
113	и как	3	2
114	но в	6	2
115	с г	2	2
116	в целом	4	2
117	все эти	3	2
118	в дальнейшем	5	2
119	и до	2	2
120	как он	1	2
121	что она	2	2
122	в нем	4	2
123	и лучше	2	2
124	не значит	1	2
125	чем у	1	2
126	в году	9	2
127	же не	1	2
128	и с	7	2
129	говорится о	1	2
130	должны были	1	2
131	она не	1	2
132	что ему	1	2
133	у него	6	2
134	судя по	1	2
135	детей и	1	2
136	и здесь	2	2
137	могут быть	1	2
138	сходство с	1	2
139	в сибири	1	2
140	в образе	6	2
141	с ним	3	2
142	на все	1	2
143	после того	1	2
144	связь между	1	2
145	в его	3	2
146	к ней	1	2
147	не случайно	2	2
148	так что	2	2
149	за счет	1	2
150	тут же	2	2
151	не было	1	2
152	в особенности	1	2
153	только по	1	2
154	до конца	2	2
155	а не	1	2
156	его как	1	2
157	в частности	2	2
158	и потому	1	2
159	между собой	1	2
