N	4gram	Tiupa_Anal_1	FransuaR
1	в то же время	6	6
2	но в то же	2	4
3	в той или иной	3	2
4	в том числе и	1	2
5	одной и той же	1	2
6	в большей или меньшей	1	2
7	большей или меньшей степени	1	2
8	той или иной форме	1	1
9	мы имеем в виду	1	1
10	то же время оно	1	1
11	какой бы то ни	2	1
12	бы то ни было	3	1
13	и не может быть	4	1
14	стороны одной и той	1	1
15	не что иное как	4	1
16	или во всяком случае	1	1
17	а не так как	1	1
18	мы встречаемся с ним	1	1
19	то же время он	1	1
20	нет и не может	2	1
21	есть не что иное	3	1
