N	4gram	Tiupa_Anal_3	Hudozhes
1	в то же время	3	6
2	внутренней данности бытия я	1	4
3	бытия я и его	1	4
4	я и его внешней	1	4
5	присутствия я в мире	2	4
6	одного и того же	3	3
7	и его внешней заданности	1	2
8	слове о полку игореве	2	2
9	и позволяет говорить о	1	2
10	в той или иной	1	2
11	в слове о полку	2	2
12	стихотворении пушкина что в	1	2
13	данности бытия я и	1	2
14	пушкина что в имени	2	2
15	что в имени тебе	2	2
16	роли в миропорядке судьбы	2	2
17	жанры между тем это	1	1
18	должен не у-влекать слушателей	1	1
19	самолюбием смысла сатирическая личность	1	1
20	случайно за минуту до	1	1
21	залюбовавшись бутафорской народностью в	1	1
22	прежде всего к ценностной	1	1
23	он воодушевленно устремляется навстречу	1	1
24	роллера ненадолго сливается с	1	1
25	как бы в точке	1	1
26	поскольку трагический герой шире	1	1
27	границ разделяющих и связывающих	1	1
28	жизни оказывается уже внешней	1	1
29	состоит не в самом	1	1
30	даме отчизна моя ты	1	1
31	могла бы разрушить художественную	1	1
32	слушатель читатель может и	1	1
33	существенная зависимость анекдота не	1	1
34	превращается в эстетический объект	1	1
35	нередко прибегающей к псевдохудожественной	1	1
36	апостолов нового миропорядка их	1	1
37	разграничивавшим однако при этом	1	1
38	мы имеем дело с	1	1
39	личности относительно своей роли	1	1
40	в наличии у него	1	1
41	душе поскольку трагический герой	1	1
42	приводящего к самоотрицанию по	1	1
43	легкую безответственную передаваемость из	1	1
44	не забвение сверхличного ради	1	1
45	некрасовского балета залюбовавшись бутафорской	1	1
46	души-личности и сверхличной одушевленности	1	1
47	оказывается ложной границей личностного	1	1
48	всеми чувствами вся превратилась	1	1
49	равнодостойности сознаний встречающихся в	1	1
50	здесь действующие лица по	1	1
51	статуарного жеста интонация героично	1	1
52	какому-либо типу так и	1	1
53	героизации наделяется обликом подвига	1	1
54	оно живет в готовом	1	1
55	анекдота но как субъекты	1	1
56	к жизненному поведению главного	1	1
57	их высокой сверхличной заданности	1	1
58	самоопределению здесь и теперь	1	1
59	как внутренняя граница личности	1	1
60	образец зарождения трагизма в	1	1
61	никакое забвение злата стола	1	1
62	однако при этом общеэстетические	1	1
63	сказания исторически восходит к	1	1
64	в себе этот психологический	1	1
65	и свою собственную персону	1	1
66	в ее нелепой испорченности	1	1
67	вся превратилась в одно	1	1
68	ее сатирическим несоответствием низкой	1	1
69	окказионального ситуативного диалогизированного слова	1	1
70	как способу высказывания но	1	1
71	разорении рязани батыем трагическая	1	1
72	виной самозванства состоит не	1	1
73	самоутверждения неумолимо приводящего к	1	1
74	балетоманов и оказывается в	1	1
75	широк человек как говорит	1	1
76	иносказательность является своего рода	1	1
77	внутренняя граница личности ничтожно	1	1
78	поступки только раскрывают содержание	1	1
79	понятие модуса было введено	1	1
80	неуверенности в себе этот	1	1
81	не только соответствующий тип	1	1
82	а в динамике становления	1	1
83	бахтин говорил о героизации	1	1
84	героев или соответствующих эстетических	1	1
85	новая форма искусства говорит	1	1
86	я подобно страстны когда	1	1
87	всего данного во мне	1	1
88	в индивидуальную картину своей	1	1
