N	2gram	Tiupa_Hudo_1	DiskursI
1	в качестве	9	34
2	не только	12	28
3	в том	12	23
4	литературных жанров	1	22
5	а не	12	22
6	тогда как	7	19
7	том что	16	19
8	может быть	5	17
9	как и	9	16
10	и в	14	16
11	в этом	11	15
12	еще не	7	14
13	но и	5	14
14	при этом	12	13
15	и т.п	1	12
16	по своей	4	11
17	но не	3	11
18	прежде всего	11	11
19	и не	2	11
20	как в	8	10
21	далеко не	1	10
22	с другой	1	10
23	по отношению	8	9
24	в нем	3	9
25	не может	7	9
26	состоит в	2	9
27	с одной	1	9
28	одной стороны	1	9
29	в частности	5	9
30	отношению к	8	9
31	отнюдь не	3	8
32	но в	5	8
33	своего рода	7	8
34	о том	12	8
35	так и	13	8
36	а также	3	8
37	не было	4	7
38	в себе	11	7
39	то же	9	7
40	художественного письма	2	7
41	не в	7	7
42	в основе	1	7
43	роль в	1	7
44	со стороны	3	7
45	в его	8	7
46	только в	5	7
47	высказывания в	1	6
48	в своем	4	6
49	пока еще	2	6
50	и как	1	6
51	ни к	2	6
52	и на	3	5
53	во всех	1	5
54	отличие от	1	5
55	в рамках	2	5
56	в силу	1	5
57	в их	2	5
58	в отличие	1	5
59	в себя	2	5
60	сводится к	1	5
61	можно сказать	4	5
62	а с	2	5
63	в данном	1	5
64	как бы	7	5
65	к тому	7	5
66	а в	7	5
67	то что	8	5
68	в своей	10	5
69	и о	4	4
70	в которых	1	4
71	с его	5	4
72	в сторону	1	4
73	отношение к	1	4
74	и к	4	4
75	уже не	7	4
76	в целом	2	4
77	в притче	1	4
78	на его	2	4
79	не как	1	4
80	лишь в	3	4
81	потому что	5	4
82	могут быть	1	4
83	для себя	3	4
84	по сути	1	4
85	и т.д	1	4
86	внимание на	2	4
87	же время	8	4
88	между тем	8	4
89	во втором	1	4
90	как правило	6	4
91	одной из	2	4
92	что он	9	4
93	жанровая форма	1	4
94	для него	10	4
95	в особенности	1	4
96	по своим	1	4
97	что не	2	4
98	связи с	4	4
99	такого рода	3	4
100	что в	6	4
101	по бахтину	1	4
102	также и	1	3
103	и потому	2	3
104	в первом	1	3
105	в каждой	1	3
106	столь же	4	3
107	различия между	1	3
108	в одной	2	3
