N	4gram	Losev_Prob_3	Morfolog
1	в то время как	4	2
2	в собственном смысле слова	1	2
3	и т д в	1	2
4	это не значит что	1	2
5	в тех случаях когда	1	2
6	в том что он	1	1
7	в этих случаях не	1	1
8	не имеет ничего общего	3	1
9	не может быть и	1	1
10	что бы то ни	1	1
11	с теми или другими	1	1
12	одно и то же	3	1
13	не что иное как	4	1
14	и т д все	1	1
15	друг к другу и	1	1
16	точно так же и	1	1
17	и т д можно	1	1
18	то это значит что	2	1
19	во что бы то	1	1
20	бы то ни стало	1	1
21	в этом случае он	1	1
22	есть не что иное	4	1
