N	3gram	Propp_Isto_6	DiskursI
1	в данном случае	3	6
2	в том что	5	6
3	как и в	2	5
4	по отношению к	2	4
5	с одной стороны	7	4
6	так и в	1	3
7	не может быть	3	3
8	о том что	4	3
9	одной стороны и	1	2
10	в этом мире	1	2
11	в обоих случаях	1	2
12	подобно тому как	1	2
13	отличие от рассмотренных	1	2
14	в этом случае	6	2
15	а потом и	1	2
16	и не может	1	2
17	одно и то	1	2
18	и то что	1	2
19	и мн др	1	2
20	жизнью и смертью	1	2
21	и то же	1	2
22	но при этом	1	2
23	в свое время	1	2
24	на первый взгляд	1	2
25	это еще не	2	2
26	в другом месте	1	1
27	но тут же	1	1
28	том что в	2	1
29	одно из значений	1	1
30	человеком и богом	1	1
31	с другой стороны	8	1
32	друг на друга	1	1
33	что в одном	1	1
34	только то что	2	1
35	по аналогии с	1	1
36	как в сказании	2	1
37	но это не	1	1
38	а с другой	1	1
39	на спине и	1	1
40	в общих чертах	1	1
41	от рассмотренных выше	1	1
42	а также и	1	1
43	между человеком и	1	1
44	на передний план	1	1
45	такой же как	2	1
46	он представляет собой	1	1
47	и на примере	1	1
48	во всяком случае	2	1
49	о смерти а	1	1
50	не менее в	1	1
51	можно сказать что	1	1
52	в том числе	1	1
53	тем не менее	1	1
54	лицом к лицу	1	1
55	здесь как и	1	1
56	в себе не	1	1
57	том числе и	1	1
58	речь идет о	1	1
