N	2gram	Bakhtin_fo_1	EvropaiC
1	таким образом	11	32
2	в том	9	31
3	и в	50	24
4	том что	4	20
5	все эти	9	19
6	не может	6	18
7	то что	6	17
8	может быть	11	15
9	народа в	1	15
10	все же	6	15
11	точки зрения	5	13
12	самом деле	1	12
13	в своем	4	12
14	до сих	3	12
15	в этом	25	12
16	сих пор	3	12
17	с этим	6	11
18	все это	4	11
19	во всех	6	10
20	по отношению	3	10
21	так и	12	10
22	из себя	1	10
23	как бы	2	10
24	отношению к	5	10
25	культуры в	1	10
26	того же	8	9
27	на то	1	9
28	при этом	3	9
29	как и	8	9
30	с другом	1	9
31	друг с	1	9
32	в результате	6	9
33	что в	5	9
34	в самом	8	8
35	касается до	1	8
36	с точки	2	8
37	мы говорили	3	8
38	не в	5	8
39	ясно что	2	8
40	если бы	5	8
41	так же	6	8
42	и все	6	8
43	из этих	1	7
44	о которых	1	7
45	по существу	12	7
46	того чтобы	5	7
47	по своей	1	7
48	к тому	3	7
49	о том	1	7
50	что он	1	7
51	для того	5	7
52	но и	8	7
53	и не	14	7
54	еще не	5	6
55	и на	8	6
56	что касается	1	6
57	в этой	1	6
58	в мире	1	6
59	и при	1	6
60	с ним	2	6
61	что и	3	6
62	того что	2	6
63	только в	4	6
64	все они	1	6
65	так что	1	6
66	так как	6	6
67	мы можем	1	6
68	к чужой	1	6
69	с другой	2	6
70	вместе с	3	6
71	отличается от	1	6
72	у них	2	6
73	между двумя	6	5
74	из всех	1	5
75	и к	2	5
76	но в	10	5
77	в которой	2	5
78	что это	1	5
79	в целом	2	5
80	в себе	3	5
81	тому же	2	5
82	не только	9	5
83	но все	5	5
84	что все	2	5
85	и с	4	5
86	лишь в	6	5
87	его в	3	5
88	между собою	1	5
89	так называемого	1	5
90	в то	9	5
91	по сравнению	2	5
92	в его	13	5
93	потому что	4	5
94	и их	8	5
95	у него	6	5
96	именно в	3	5
97	далеко не	2	5
98	по своему	1	5
99	сравнению с	2	5
100	быть и	2	5
101	представляет из	1	5
102	и для	4	5
103	и от	1	5
104	лишь только	1	5
105	к этому	3	5
106	одним из	1	4
107	и то	4	4
108	то же	11	4
109	мы уже	11	4
110	та же	1	4
111	совершенно так	1	4
112	из того	1	4
113	между собой	4	4
114	отношение к	2	4
115	данный момент	1	4
116	хотя и	3	4
117	ни один	1	4
118	он не	5	4
119	всех этих	5	4
120	факт что	1	4
121	из них	1	4
122	должно быть	1	4
123	в их	6	4
124	оказывается что	2	4
125	том же	2	4
126	из которых	1	4
127	и проч	4	4
128	связи с	6	4
129	тех кто	1	4
130	в дальнейшем	6	4
131	никогда не	2	4
132	и т.д	1	4
133	все прочие	1	4
134	пор не	1	4
135	и у	5	4
136	если мы	2	4
137	в конце	9	4
138	которых мы	1	4
139	и культур	2	4
140	тот факт	1	4
141	не могут	3	4
142	в течение	2	4
143	самого себя	1	4
144	этом случае	1	4
145	мы должны	2	4
146	хотя бы	2	4
147	совершенно не	2	4
148	в таком	3	4
149	же как	2	3
150	слагается из	2	3
151	с более	1	3
152	вопрос о	2	3
153	но по	2	3
154	не вполне	1	3
155	в данном	2	3
156	мы будем	2	3
157	в истории	2	3
158	и наконец	1	3
159	в нашем	2	3
160	в тех	1	3
161	в нем	24	3
162	и по	2	3
163	и может	2	3
164	в совершенно	1	3
165	на этой	4	3
166	это не	6	3
167	на почве	2	3
168	в жизни	6	3
169	с тем	3	3
170	чем в	2	3
171	семьи и	1	3
172	и того	6	3
173	одного и	5	3
174	в этих	3	3
175	таким же	1	3
176	культуры а	1	3
177	что их	1	3
178	образом в	1	3
179	для нас	2	3
180	в разных	5	3
181	во всем	2	3
182	у нас	1	3
183	должны быть	1	3
184	что оно	1	3
185	и это	4	3
186	данном случае	1	3
187	жизнь и	4	3
188	и вообще	2	3
189	с одной	3	3
190	то они	1	3
191	тот же	1	3
192	очень много	1	3
193	в эти	1	3
194	конечно не	4	3
195	в начале	3	3
196	при помощи	1	3
197	и других	3	3
198	отличие от	2	3
199	прежде всего	15	3
200	а наоборот	1	3
201	в связи	5	3
202	и потому	3	3
203	мы сказали	1	3
204	случаях когда	1	3
205	не подлежит	1	3
206	от него	1	3
207	бы в	1	3
208	тем более	1	3
209	а в	3	3
210	своего народа	1	3
211	что мы	2	3
212	эти элементы	1	3
213	можно назвать	2	3
214	ту же	2	2
215	тех же	2	2
216	в котором	4	2
217	и до	5	2
218	со своей	3	2
219	по его	1	2
220	также и	2	2
