N	3gram	Losev_Dial_1	UchenyiS
1	не может быть	3	4
2	с другой стороны	4	3
3	то же время	4	3
4	в то же	4	3
5	а между тем	1	2
6	в самом деле	1	2
7	но даже и	1	2
8	в этом смысле	3	2
9	то же самое	1	2
10	до сих пор	2	2
11	в этом отношении	2	2
12	в том что	7	2
13	по крайней мере	4	2
14	и в частности	2	2
15	тех или иных	1	2
16	еще ничего не	1	2
17	в конце концов	3	2
18	или по крайней	2	1
19	превратилось бы в	1	1
20	конце концов не	1	1
21	другой стороны в	1	1
22	так или иначе	1	1
23	было бы равносильно	1	1
24	не в том	1	1
25	это было бы	1	1
26	более или менее	3	1
27	для него она	1	1
28	между тем в	1	1
29	никогда и не	1	1
30	и в то	2	1
31	сам по себе	6	1
32	никогда не может	2	1
33	бы это было	1	1
34	само по себе	5	1
35	в первую очередь	1	1
36	не было бы	2	1
37	но это не	1	1
38	можно сказать что	3	1
39	на то что	4	1
40	но что такое	2	1
41	в ней не	1	1
42	прежде всего что	1	1
43	которые могли бы	1	1
44	друг с другом	1	1
45	а не только	1	1
46	если бы это	1	1
47	но в то	1	1
48	с одной стороны	2	1
49	и с другой	2	1
50	на первый взгляд	1	1
