N	2gram	Potebnia_M_2	Tragedij
1	и в	24	18
2	в этом	8	9
3	не только	15	8
4	и с	1	7
5	и на	8	7
6	может быть	23	7
7	как бы	9	7
8	и не	19	7
9	но в	4	6
10	и его	2	6
11	же время	2	6
12	что он	4	6
13	у него	2	6
14	то же	12	5
15	все же	5	5
16	что это	3	5
17	это не	3	5
18	как и	7	5
19	в то	6	5
20	так и	5	5
21	не может	12	5
22	еще не	4	4
23	в себе	10	4
24	в целом	3	4
25	в нем	9	4
26	об этом	1	4
27	том что	8	4
28	что я	1	4
29	и что	4	4
30	но и	9	4
31	прежде всего	7	4
32	так же	2	4
33	но это	3	4
34	все это	2	4
35	этот образ	1	4
36	что в	16	4
37	и все	3	4
38	то что	20	4
39	как в	10	3
40	и как	6	3
41	все эти	2	3
42	при этом	13	3
43	то есть	30	3
44	должно быть	2	3
45	тем самым	4	3
46	что с	2	3
47	что вы	1	3
48	и сам	1	3
49	мог бы	3	3
50	с ним	5	3
51	к нему	1	3
52	в его	2	3
53	один из	2	3
54	уже в	5	3
55	для него	10	3
56	никто не	1	3
57	как это	2	3
58	что за	2	3
59	если б	5	2
60	вряд ли	3	2
61	и до	1	2
62	и за	1	2
63	а как	1	2
64	из своих	1	2
65	никогда не	4	2
66	и то	3	2
67	но этого	1	2
68	столь же	5	2
69	с его	2	2
70	отношение к	1	2
71	отличие от	1	2
72	отвечает ему	1	2
73	так что	10	2
74	она как	1	2
75	перед нами	1	2
76	боли и	2	2
77	имеет в	1	2
78	с г	1	2
79	в самом	4	2
80	бы и	1	2
81	то и	9	2
82	он не	1	2
83	что она	3	2
84	но все	2	2
85	что все	2	2
86	его в	3	2
87	в глазах	1	2
88	ни в	1	2
89	с тем	4	2
90	пусть мы	1	2
91	в ходе	1	2
92	в отличие	1	2
93	вопрос о	2	2
94	одном из	4	2
95	но эта	1	2
96	не в	13	2
97	вместе со	2	2
98	раз и	1	2
99	одна из	4	2
100	не имеет	6	2
101	не могут	7	2
102	его за	1	2
103	к тому	1	2
104	и это	2	2
105	но при	1	2
106	в ее	1	2
107	не за	1	2
108	ничего не	1	2
109	и здесь	2	2
110	о том	5	2
111	времени в	1	2
112	что и	11	2
113	даже на	1	2
114	в том	18	2
115	который в	1	2
116	по мнению	1	2
117	между этими	1	2
118	уже не	4	2
119	в душе	23	2
120	не так	3	2
121	в известной	1	2
122	в одном	6	2
123	друг друга	2	2
124	на меня	1	2
125	тем что	7	2
126	ничем не	2	2
127	ребенка и	1	2
128	под влиянием	8	2
129	было в	2	2
130	с первого	2	2
131	это уже	1	2
132	потому что	49	2
133	состоит из	1	2
134	только о	1	2
135	по поводу	6	2
136	в таком	4	2
137	точно так	9	2
138	я и	1	1
139	а между	4	1
140	ли мы	2	1
141	в характеристику	1	1
142	скажет что	1	1
143	ту же	1	1
144	также что	2	1
145	и т	6	1
146	одним из	1	1
147	например в	3	1
148	человека и	3	1
149	что наконец	1	1
150	сам по	4	1
151	и др	1	1
152	самом деле	2	1
153	можно выразиться	1	1
154	на деле	3	1
155	и есть	2	1
156	на две	2	1
157	должна быть	1	1
158	и могут	1	1
159	той же	3	1
160	смотреть на	1	1
161	не встречает	1	1
162	связаны между	1	1
163	которую я	1	1
164	что уже	1	1
165	в разговоре	2	1
166	а теперь	1	1
167	две неравные	1	1
168	в ней	3	1
169	между собой	1	1
170	без которой	2	1
171	быть в	1	1
172	или от	2	1
173	в чем	7	1
174	во всех	7	1
175	мысль что	1	1
176	на другой	2	1
177	но не	12	1
178	могло быть	1	1
179	но как	1	1
180	значение и	2	1
181	тогда как	10	1
182	друга и	1	1
183	за пределы	2	1
184	это самое	2	1
185	в истории	1	1
186	вызывает в	1	1
187	что именно	1	1
188	мысль о	7	1
189	и наконец	1	1
190	то в	1	1
191	в которой	5	1
192	сливается с	1	1
193	он в	1	1
194	бы не	5	1
195	имеет для	3	1
196	только один	4	1
197	этого образа	1	1
198	как он	4	1
199	человек не	1	1
200	и если	4	1
201	их отношения	3	1
202	что без	3	1
203	по-видимому не	1	1
204	в переводе	1	1
205	так сказать	4	1
206	чем для	1	1
207	перестает быть	2	1
208	роли в	1	1
209	и еще	1	1
210	его самого	1	1
211	к одному	1	1
212	не к	1	1
213	что нужно	1	1
214	не как	3	1
215	страдания и	1	1
216	никому не	1	1
217	и по	2	1
218	на этом	2	1
