N	2gram	Medvedev_F_2	Problema
1	в его	10	43
2	и не	20	42
3	и в	38	38
4	не может	14	27
5	может быть	23	26
6	как бы	4	22
7	в художественном	2	20
8	отнюдь не	8	19
9	и с	9	17
10	и его	21	16
11	в этом	27	15
12	в нем	13	15
13	и т	14	14
14	только в	6	13
15	т п	9	13
16	прежде всего	15	13
17	независимо от	4	13
18	но не	2	12
19	за пределы	1	12
20	в единстве	2	12
21	в искусстве	2	12
22	художественного произведения	6	11
23	во всех	5	11
24	в области	3	11
25	ни в	2	11
26	и для	5	11
27	не входит	3	10
28	отношение к	2	10
29	таким образом	20	10
30	в их	6	10
31	материала в	1	10
32	художественном творчестве	1	10
33	к нему	3	10
34	художественная форма	1	10
35	не только	9	9
36	в поэзии	12	9
37	не имеет	2	9
38	его в	3	9
39	но и	13	9
40	и как	3	8
41	входит в	4	8
42	было бы	6	8
43	точки зрения	8	8
44	место в	3	8
45	для нее	2	8
46	произведения как	2	8
47	в том	11	8
48	и др	3	8
49	художественное произведение	2	8
50	то что	6	8
51	в самом	16	7
52	в плане	2	7
53	как и	9	7
54	не в	15	7
55	как мы	7	7
56	с другой	3	7
57	между тем	2	7
58	отметить что	2	7
59	слова в	3	7
60	с помощью	10	7
61	совершенно не	4	7
62	в своей	7	7
63	что в	7	7
64	самом деле	8	6
65	там где	4	6
66	в м	1	6
67	и наконец	4	6
68	в пределах	12	6
69	не к	2	6
70	с точки	7	6
71	не есть	3	6
72	и этим	2	6
73	можно только	1	6
74	ничего не	4	6
75	все же	8	6
76	а в	6	6
77	только как	1	6
78	художественном произведении	1	5
79	высшей степени	4	5
80	отличие от	2	5
81	в своем	1	5
82	все эти	6	5
83	при этом	9	5
84	то же	6	5
85	это не	2	5
86	в них	1	5
87	рядом с	1	5
88	в высшей	4	5
89	далеко не	1	5
90	в отличие	2	5
91	творчества и	1	5
92	так и	8	5
93	произведения в	2	5
94	его целом	1	5
95	в основе	5	5
96	и о	2	5
97	никогда не	2	5
98	с ним	2	5
99	может иметь	1	5
100	и прежде	3	5
101	конечно не	1	5
102	большинстве случаев	3	5
103	в большинстве	4	5
104	не на	1	5
105	а не	6	5
106	могут быть	6	5
107	явление языка	1	5
108	должно быть	2	5
109	формы и	2	5
110	все они	1	5
111	имеет место	1	5
112	на самом	3	4
