N	2gram	Vinokur_Vv_1	VelikijI
1	и не	13	20
2	и в	27	16
3	так как	13	9
4	то что	17	9
5	еще не	4	8
6	в истории	9	8
7	а не	3	7
8	человека и	1	6
9	не есть	4	6
10	но и	5	5
11	того что	12	5
12	хотя и	3	5
13	все это	6	5
14	как бы	5	5
15	и есть	3	4
16	говорить о	3	4
17	в его	10	4
18	и я	1	4
19	в этом	34	4
20	что он	4	4
21	потому что	14	4
22	в нем	13	4
23	так и	1	4
24	что все	1	4
25	что не	5	4
26	как и	5	4
27	что мы	2	4
28	в котором	4	4
29	в ней	3	4
30	и все	1	4
31	это еще	2	4
32	все что	1	4
33	от этого	5	3
34	и что	4	3
35	должна быть	2	3
36	нас и	1	3
37	хотя бы	5	3
38	то это	3	3
39	как не	1	3
40	лишь в	1	3
41	в чем	4	3
42	во всех	2	3
43	что и	3	3
44	и будет	1	3
45	в том	31	3
46	тот же	1	3
47	но в	10	3
48	бы и	2	3
49	по этому	2	3
50	все эти	3	3
51	истории человечества	1	3
52	за ним	1	3
53	в конце	3	3
54	в своей	4	3
55	в жизни	1	3
56	в них	4	3
57	не было	1	3
58	должно быть	2	3
59	если не	1	3
60	в этих	3	3
61	не в	8	3
62	любовь к	4	3
63	тому что	2	3
64	но это	1	3
65	человечества и	1	3
66	не имеет	4	3
67	никогда не	3	3
68	превращается в	1	3
69	и для	4	3
70	к тому	4	3
71	жизни и	2	3
72	что в	11	3
73	оно не	1	3
74	а между	1	2
75	и это	6	2
76	того чтобы	21	2
77	и то	5	2
78	во главе	1	2
79	и сам	2	2
80	и т	43	2
81	можно было	7	2
82	и за	1	2
83	мы не	2	2
84	и новые	1	2
85	с ним	1	2
86	под этим	1	2
87	человечества в	1	2
88	между тем	8	2
89	нет и	1	2
90	которые не	1	2
91	не с	2	2
92	материалом для	1	2
93	государства и	2	2
94	его к	2	2
95	только в	13	2
96	и последний	1	2
97	в себя	1	2
98	уже не	5	2
99	не только	21	2
100	его и	1	2
101	для него	1	2
102	не к	2	2
103	в прошлом	2	2
104	не могли	2	2
105	по видимости	1	2
106	и никогда	1	2
107	вот почему	3	2
108	тем что	6	2
109	на том	3	2
110	в число	2	2
111	это не	8	2
112	т д	37	2
113	истории и	4	2
114	прежде всего	8	2
115	для них	1	2
116	все равно	1	2
117	с тем	6	2
118	один из	6	2
119	и тогда	3	2
120	мира в	1	2
121	нет еще	1	2
122	не могут	5	2
123	значения и	1	2
124	а есть	1	2
125	да и	4	2
126	одна из	2	2
127	так много	1	2
128	почему в	1	2
129	том что	26	2
130	а к	1	2
131	в форме	2	2
132	ее в	1	2
133	до того	2	2
134	давно уже	1	2
135	не создает	1	2
136	а в	5	2
137	но не	7	2
138	человечества на	1	2
139	в духе	1	2
140	могут быть	4	2
141	чтобы сделать	1	2
142	всего в	1	2
143	во всяком	3	2
144	от этой	1	1
145	эта идея	1	1
146	речь идет	2	1
147	как мы	9	1
148	в виду	4	1
149	для себя	1	1
150	в ее	11	1
151	в практическом	2	1
152	и до	2	1
153	значение в	2	1
154	то же	8	1
155	и которые	1	1
156	до времени	1	1
157	из всего	1	1
158	б и	1	1
159	бытие не	1	1
160	в результате	3	1
161	человеческой природы	1	1
162	о людях	1	1
163	это только	4	1
164	по сравнению	3	1
165	что уже	3	1
166	вопрос о	8	1
167	была с	1	1
168	и вообще	3	1
169	не была	1	1
170	который был	1	1
171	о возможности	1	1
172	и ее	4	1
173	зависимости от	1	1
174	меня в	1	1
175	целое и	2	1
176	в их	11	1
177	и на	3	1
178	он был	1	1
179	после того	2	1
180	теперь и	1	1
181	бы то	1	1
182	истории в	2	1
183	природы и	1	1
184	все в	1	1
185	что оно	2	1
186	к нему	2	1
187	но как	2	1
188	ее от	2	1
189	с которыми	1	1
190	в новом	1	1
191	а потому	3	1
192	но нет	1	1
193	тогда как	2	1
194	себе и	2	1
195	бы в	1	1
196	важное для	1	1
197	не просто	4	1
198	крайней мере	4	1
199	и чем	1	1
200	существует как	1	1
201	как в	1	1
202	и самые	1	1
203	в своем	3	1
204	потребность в	1	1
205	известном смысле	3	1
206	с именем	1	1
207	что нет	2	1
208	все же	8	1
209	но с	4	1
210	д и	1	1
211	уже сказано	1	1
212	есть что-нибудь	1	1
213	нужна для	1	1
214	мы видим	1	1
215	с ними	1	1
216	и так	1	1
217	духа в	1	1
218	в самом	12	1
219	у них	1	1
220	в которой	1	1
221	что это	3	1
222	имеет своим	1	1
223	в целом	5	1
224	быте и	1	1
225	в этой	3	1
226	в известном	3	1
227	человеке и	1	1
228	и настоящем	1	1
229	своей целью	1	1
230	уже в	5	1
231	в виде	4	1
232	только слово	1	1
233	по словам	1	1
234	и стало	1	1
235	слова не	1	1
236	каким образом	1	1
237	или даже	1	1
238	но от	1	1
239	о которой	2	1
240	это отрицание	1	1
241	говорит что	1	1
242	перестает быть	1	1
243	одно целое	2	1
244	человеческого духа	1	1
245	и вот	3	1
246	и должна	1	1
247	вовсе не	6	1
248	существует и	1	1
249	отношение к	3	1
250	нашего времени	2	1
251	но что	3	1
252	у него	1	1
253	на этом	3	1
254	конечная цель	1	1
255	в руки	6	1
256	наука не	1	1
257	на нее	2	1
