N	3gram	Vinokur_St_1	Poddanst
1	в то же	4	7
2	то же время	4	7
3	не только в	4	4
4	в том что	17	4
5	с точки зрения	8	3
6	сами по себе	1	3
7	с одной стороны	2	3
8	в том числе	2	2
9	и в то	1	2
10	но и в	2	2
11	заключается в том	3	2
12	том что в	3	1
13	нет никакого сомнения	1	1
14	во всей полноте	1	1
15	о котором говорит	1	1
16	чуть ли не	2	1
17	далеко не все	1	1
18	в настоящее время	1	1
19	в этом смысле	1	1
20	очень и очень	1	1
21	и в этом	3	1
22	в наших глазах	2	1
23	что с точки	1	1
24	и не может	1	1
25	хотя бы и	2	1
26	за то что	3	1
27	и то что	2	1
28	что в момент	1	1
29	в применении к	3	1
30	и более чем	1	1
31	но также в	1	1
32	так же как	3	1
33	если бы мы	2	1
34	с величайшим трудом	1	1
35	не в том	2	1
36	во всяком случае	6	1
37	никакого сомнения что	1	1
38	с другой стороны	6	1
39	не может быть	5	1
40	только в ней	1	1
41	но также и	4	1
42	но в то	2	1
43	тем более что	2	1
44	во многих случаях	2	1
45	для того чтобы	10	1
46	том числе и	2	1
47	и т д	21	1
