N	2gram	Propp_Russ_2	KFilosof
1	может быть	13	43
2	в его	1	39
3	в нем	1	31
4	не может	5	27
5	и не	1	26
6	и в	29	22
7	в котором	3	21
8	и его	1	17
9	в ее	3	17
10	а не	4	17
11	только в	1	16
12	в этом	11	13
13	и это	1	12
14	но не	5	12
15	для него	1	12
16	все эти	3	11
17	в своей	2	11
18	не в	4	11
19	к нему	4	11
20	во всех	3	10
21	в своем	1	10
22	это не	5	10
23	все это	10	10
24	из себя	1	10
25	и есть	1	9
26	в их	2	9
27	но и	8	9
28	как бы	18	9
29	и для	2	9
30	и все	4	9
31	было бы	3	8
32	мир в	1	8
33	если бы	1	8
34	не было	2	8
35	то что	5	7
36	во всем	2	7
37	должен быть	2	7
38	на основе	1	7
39	и здесь	1	7
40	что и	2	7
41	быть только	2	7
42	отношение к	1	6
43	отнюдь не	1	6
44	этот момент	1	6
45	и действительно	1	6
46	совершенно не	2	6
47	уже не	4	6
48	но это	1	6
49	в том	22	6
50	мы имеем	6	5
51	все же	2	5
52	но в	5	5
53	не только	10	5
54	то же	4	5
55	но все	1	5
56	его в	8	5
57	как и	11	5
58	должно быть	2	5
59	но эта	1	5
60	не имеет	3	5
61	никогда не	2	5
62	с ним	1	5
63	именно в	4	5
64	там где	2	5
65	ее и	2	5
66	в основе	1	5
67	жизни в	2	5
68	ко всему	1	5
69	как его	1	4
70	при этом	6	4
71	здесь мы	2	4
72	входит в	1	4
73	место в	1	4
74	к ним	1	4
75	с ними	1	4
76	места и	1	4
77	между тем	3	4
78	во всей	1	4
79	могло бы	1	4
80	в одном	1	4
81	том что	22	4
82	для нас	6	4
83	а в	9	4
84	только как	2	4
85	что в	22	4
86	в своих	2	4
87	на самом	2	3
88	единстве и	1	3
89	мы не	6	3
90	что это	3	3
91	в ней	1	3
92	может дать	1	3
93	еще не	6	3
94	и на	6	3
95	не могу	1	3
96	тем как	1	3
97	нет и	1	3
98	независимо от	1	3
99	ясно и	1	3
100	и этим	1	3
101	всех этих	1	3
102	для того	6	3
103	и совершенно	1	3
104	людей и	2	3
105	могла бы	1	3
106	в другом	1	3
107	нет в	1	3
108	рядом с	1	3
109	что этот	1	3
110	не менее	2	3
111	тогда когда	4	3
112	ничего не	1	3
113	могут быть	2	3
114	здесь не	1	3
115	здесь нет	1	3
116	в виду	2	3
117	о том	9	3
118	не имеем	1	3
119	того или	1	3
120	того что	3	3
121	в современной	1	3
122	быть и	1	3
123	был бы	1	3
124	и должна	1	3
125	тем что	3	3
126	и пр	2	3
127	до конца	3	3
128	в момент	2	3
129	по своему	1	3
