N	2gram	Medvedev_V_1	Istorich
1	и в	2	25
2	так как	1	11
3	и не	1	11
4	в этом	1	10
5	и его	1	9
6	том что	2	8
7	потому что	1	7
8	только в	1	7
9	но это	1	7
10	в частности	1	7
11	в том	2	6
12	ясно что	1	5
13	не будем	1	5
14	то же	1	4
15	совершенно ясно	1	4
16	все это	1	4
17	в которых	1	3
18	в книге	3	3
19	самом деле	1	2
20	время в	1	2
21	так в	1	2
22	на одном	1	2
23	под влиянием	1	2
24	по существу	1	2
25	с большой	1	2
26	к этому	1	2
27	говорится в	1	1
28	я не	1	1
29	они на	1	1
30	главным образом	1	1
31	в их	1	1
32	в конце	2	1
33	с головой	1	1
34	как же	1	1
35	даже не	1	1
36	сводится к	1	1
37	и только	1	1
38	хотя бы	1	1
39	стоит на	1	1
40	ведь это	1	1
41	в самом	1	1
