N	2gram	Medvedev_V_1	ViktorSh
1	в книге	2	3
2	конце концов	2	2
3	в шкловский	1	2
4	в том	15	2
5	и в	26	2
6	в конце	3	2
7	том что	8	2
8	как же	1	1
9	только в	7	1
10	и не	19	1
11	в другом	2	1
12	материалов и	1	1
13	то же	10	1
14	и сводится	4	1
15	и заключается	2	1
16	по крайней	2	1
17	этом и	2	1
18	а только	1	1
19	другом месте	2	1
20	а отсюда	1	1
21	и его	6	1
22	теснейшим образом	1	1
23	в которых	3	1
24	к этому	9	1
25	да и	1	1
26	одном и	2	1
27	для них	1	1
28	в этом	26	1
29	главным образом	7	1
30	крайней мере	2	1
31	что образы	2	1
32	сводится к	3	1
33	том же	6	1
34	в их	5	1
35	именно в	2	1
36	ни к	1	1
37	и то	1	1
38	в частности	11	1
39	сводится в	1	1
40	по поводу	2	1
41	говоря иначе	3	1
42	потому что	1	1
43	в сугубо	1	1
44	в теории	1	1
45	далеко не	2	1
46	хотя бы	19	1
47	в значительной	3	1
48	в самом	4	1
49	говоря о	1	1
50	и составляет	1	1
51	все то	1	1
52	на одном	1	1
53	от других	1	1
54	по существу	3	1
55	даже не	2	1
56	все это	10	1
57	этому и	1	1
58	бы уже	1	1
59	и том	2	1
60	ведь это	1	1
61	значит и	3	1
62	но это	1	1
63	жизнь их	1	1
64	более чем	1	1
65	в устах	1	1
66	а значит	3	1
67	одно и	1	1
68	самом деле	1	1
69	образы которые	1	1
