N	2gram	Medvedev_F_3	IolandNe
1	и с	3	3
2	должен быть	2	2
3	и не	30	2
4	в этом	18	2
5	он не	1	2
6	что в	8	2
7	ничего не	2	2
8	себя в	1	1
9	его произведения	1	1
10	все это	7	1
11	автора и	1	1
12	нисколько не	2	1
13	и др	2	1
14	это сам	1	1
15	и тот	1	1
16	эти произведения	1	1
17	а для	1	1
18	и в	27	1
19	и о	1	1
20	в эту	2	1
21	то и	1	1
22	бы в	6	1
23	того же	3	1
24	и со	2	1
25	с другой	6	1
26	а отсюда	1	1
27	и та	1	1
28	а в	1	1
29	художественного творчества	2	1
30	того что	3	1
31	стали бы	1	1
32	в художественном	5	1
33	понимания жизни	1	1
34	произведения это	1	1
35	как о	2	1
36	другой стороны	5	1
37	в первую	1	1
38	не так	1	1
39	для него	1	1
40	нам в	1	1
41	в основе	3	1
42	что для	1	1
43	что при	1	1
44	в значительной	1	1
45	говорить о	2	1
46	могло бы	1	1
47	и творчества	1	1
48	отношению к	3	1
49	так и	21	1
50	бы его	1	1
51	дает и	1	1
52	от этого	2	1
53	произведения и	3	1
54	того чтобы	5	1
55	никогда не	5	1
56	следующим образом	1	1
57	только для	1	1
58	жизни и	4	1
59	и очень	2	1
60	тех же	1	1
61	тем что	5	1
62	в целом	4	1
63	и литература	1	1
64	по отношению	3	1
65	очевидно что	2	1
66	в них	3	1
67	все эти	6	1
68	по существу	1	1
69	автор и	2	1
70	если бы	12	1
71	для того	4	1
72	без этого	1	1
