N	3gram	Vinokur_St_3	Myshleni
1	в том что	11	17
2	вместе с тем	1	10
3	заключается в том	2	7
4	для того чтобы	1	7
5	с самого начала	2	6
6	в собственном смысле	1	6
7	можно было бы	1	5
8	с одной стороны	2	5
9	в связи с	3	5
10	тем не менее	2	5
11	ни в какой	1	4
12	то время как	4	4
13	во всяком случае	4	4
14	в то время	4	4
15	собственном смысле этого	1	4
16	о том что	4	3
17	состоит в том	3	3
18	в этом отношении	4	3
19	независимо от того	2	3
20	что мы знаем	1	3
21	а с другой	2	3
22	с другой стороны	4	3
23	то обстоятельство что	5	3
24	с тем что	3	3
25	на то что	3	3
26	как мы видели	1	3
27	в том виде	1	2
28	этой точки зрения	1	2
29	и той же	1	2
30	в этом смысле	4	2
31	и в этом	2	2
32	в его развитии	1	2
33	то что в	1	2
34	было бы неправильно	1	2
35	в известном смысле	1	2
36	все что мы	1	2
37	в этом и	1	2
38	не может быть	5	2
39	и во всяком	1	2
40	с этой точки	1	2
41	в свою очередь	1	2
42	в эту пору	1	2
43	той или иной	1	2
44	на пути к	1	2
45	одной и той	1	2
46	и это как	1	1
47	даже там где	1	1
48	знак равенства между	1	1
49	более или менее	1	1
50	так или иначе	1	1
51	во многих случаях	1	1
52	то же самое	1	1
53	и в качестве	1	1
54	с точки зрения	4	1
55	принять во внимание	1	1
56	до сих пор	2	1
57	тот или иной	1	1
58	что мы имеем	2	1
59	очень часто в	1	1
60	сам по себе	1	1
61	строится по принципу	1	1
62	является одним из	1	1
63	между тем как	2	1
64	во всех этих	2	1
65	точки зрения ее	1	1
66	его развитии в	1	1
67	а как бы	1	1
68	в применении к	1	1
69	в самом начале	1	1
70	в этой области	2	1
71	не потому что	1	1
72	в том чтобы	2	1
73	не только в	3	1
74	в них как	1	1
75	нельзя не признать	1	1
76	с которым он	1	1
77	время как в	1	1
78	фазу своего развития	1	1
79	в какой степени	1	1
80	несомненно является одним	1	1
81	приводит к тому	1	1
82	все более и	2	1
83	мы подходим к	1	1
84	в том отношении	1	1
85	не только у	1	1
86	ни в малой	1	1
87	в этом же	1	1
88	из которых складывается	2	1
89	одной стороны он	1	1
90	связи с этим	1	1
91	так как в	1	1
92	и в самом	1	1
93	до того как	1	1
94	более и более	2	1
95	никогда почти не	1	1
96	и не является	1	1
97	ставить знак равенства	1	1
98	в известной степени	1	1
99	характеризуется прежде всего	1	1
100	и не потому	1	1
101	по этому поводу	2	1
102	к тому что	2	1
103	между собой как	1	1
104	одна из этих	1	1
105	к вопросу о	1	1
106	отличаясь от нее	1	1
107	отношении его к	1	1
108	если принять во	1	1
109	и в результате	1	1
110	в конце концов	3	1
111	могут быть столь	1	1
