N	2gram	Bakhtin_fo_2	VerxiiNi
1	и в	46	26
2	таким образом	3	22
3	с тем	2	18
4	в этом	22	15
5	вместе с	9	15
6	точки зрения	10	13
7	как бы	10	12
8	в том	10	11
9	из этих	4	10
10	не только	11	10
11	и с	6	10
12	может быть	7	10
13	после смерти	1	10
14	связи с	8	9
15	так как	6	9
16	но и	9	9
17	что в	5	9
18	но не	5	8
19	в общем	1	8
20	и у	5	8
21	с другой	2	8
22	и не	9	8
23	как на	2	8
24	но в	10	7
25	связанные с	5	7
26	но все	1	7
27	из них	8	7
28	том что	4	7
29	потому что	8	7
30	в эпоху	4	7
31	с одной	2	7
32	то что	7	7
33	одной стороны	1	7
34	того же	3	6
35	представление о	2	6
36	все же	6	6
37	все эти	5	6
38	в себе	4	6
39	с точки	8	6
40	в отношении	2	6
41	к тому	3	6
42	так и	7	6
43	и т.д	1	6
44	о том	4	6
45	в конце	2	6
46	что и	3	6
47	несмотря на	1	6
48	и потому	2	6
49	все это	6	6
50	во всяком	2	6
51	отношение к	3	5
52	сих пор	2	5
53	и к	2	5
54	в мире	4	5
55	лишь в	2	5
56	не имеет	1	5
57	того чтобы	8	5
58	никогда не	6	5
59	с другом	4	5
60	для того	8	5
61	в его	8	5
62	богов и	1	5
63	до сих	2	5
64	а не	4	5
65	друг с	4	5
66	и для	9	5
67	так же	2	5
68	том числе	3	5
69	в котором	4	4
70	то же	8	4
71	целый ряд	3	4
72	в самом	1	4
73	учение о	1	4
74	в этой	2	4
75	и по	3	4
76	что все	2	4
77	то есть	10	4
78	должен был	1	4
79	он не	5	4
80	далеко не	2	4
81	бога и	2	4
82	и тогда	1	4
83	в которых	3	4
84	в то	5	4
85	в нем	5	4
86	а в	3	4
87	числе и	2	4
88	и что	1	4
89	и только	2	4
90	только в	11	4
91	и вместе	1	4
92	на этот	1	4
93	ничем не	1	4
94	не может	2	4
95	в так	1	4
96	в смысле	5	4
97	и от	2	4
98	в этих	3	4
99	во время	10	4
100	что он	3	4
101	в виде	1	4
102	богослужения и	1	3
103	так называемые	1	3
104	в народном	1	3
105	если в	2	3
106	в своем	5	3
107	когда он	1	3
108	и как	3	3
109	в которой	1	3
110	и те	1	3
111	при этом	6	3
112	если бы	1	3
113	и о	2	3
114	с самого	1	3
115	культуры и	1	3
116	можно сказать	2	3
117	в значительной	1	3
118	того что	3	3
119	в качестве	3	3
120	так что	4	3
121	уже не	3	3
122	для него	3	3
123	в одном	7	3
124	к ним	2	3
125	и даже	3	3
126	в связи	8	3
127	каждая из	1	3
128	а так	1	3
129	с этой	4	3
130	в результате	1	3
131	у них	2	3
132	конце концов	1	3
133	и другие	3	3
134	к этому	3	3
135	в таком	1	3
136	говорили о	1	2
137	для этих	1	2
138	и это	2	2
139	и больше	1	2
140	мы имеем	2	2
141	надо было	1	2
142	еще не	6	2
143	и на	7	2
144	с его	1	2
145	во всех	11	2
146	друг на	2	2
147	на небе	2	2
148	и наконец	6	2
149	и материальной	1	2
150	всему существующему	1	2
151	ни один	1	2
152	с тех	1	2
153	не могла	2	2
154	перестает быть	2	2
155	они в	1	2
156	не как	1	2
157	и связанные	1	2
158	из него	1	2
159	его от	1	2
160	людей и	2	2
161	связан с	1	2
162	те же	6	2
163	них не	1	2
164	в них	7	2
165	на друга	2	2
166	мы видели	2	2
167	с идеей	1	2
168	которые в	1	2
169	не в	9	2
170	делались неоднократно	1	2
171	иной раз	1	2
172	вплоть до	2	2
173	самого начала	1	2
174	тех пор	1	2
175	и молитвы	1	2
176	героев и	4	2
177	в разных	1	2
178	больше чем	1	2
179	в самой	2	2
180	же время	4	2
181	и является	1	2
182	так например	1	2
183	этом отношении	2	2
184	ему в	3	2
185	и здесь	1	2
186	и проч	1	2
187	начиная с	1	2
188	не могут	1	2
189	похож на	2	2
190	с телом	2	2
191	той или	1	2
192	пор еще	1	2
193	значительной мере	1	2
194	но при	1	2
195	в образе	4	2
196	особенно в	2	2
197	связанных с	3	2
198	по сравнению	1	2
199	в виду	3	2
200	от тела	1	2
201	а также	3	2
202	между тем	1	2
203	наконец в	2	2
204	исторического развития	1	2
205	у всех	2	2
206	быть и	2	2
207	по своей	1	2
208	один из	2	2
209	тот же	3	2
210	и действительно	1	2
211	иной характер	1	2
212	со всеми	2	2
213	для всех	1	2
214	конечно не	4	2
215	уже в	4	2
216	свидетельствует о	1	2
217	от бога	1	2
218	мы можем	1	2
219	он один	1	2
220	или иной	2	2
221	именно в	2	2
222	прежде всего	14	2
223	не было	3	2
224	и все	6	2
225	среди них	1	2
226	так называемой	1	2
227	если не	2	2
228	и иной	1	2
229	по своему	2	2
230	сравнению с	1	2
231	есть как	1	2
232	по существу	5	2
233	были слишком	1	2
234	благодаря этому	1	2
235	религией и	1	2
236	только для	2	2
237	же самое	3	2
238	с богослужением	1	2
239	но когда	1	2
240	из себя	1	2
241	в свою	1	2
242	связанный с	1	2
243	к культуре	1	2
244	сказать что	1	2
245	одновременно и	1	2
246	ко всему	1	2
247	жизни и	8	2
248	все что	2	2
249	этой точки	1	2
250	эта новая	1	1
251	себя как	1	1
252	на голове	1	1
253	можно говорить	1	1
254	чтобы не	1	1
255	в этот	3	1
256	начинается с	1	1
257	смысле слова	2	1
258	самом деле	1	1
259	показаться что	1	1
260	это и	1	1
261	сила и	2	1
262	и есть	2	1
263	этого мира	2	1
264	тем же	2	1
265	явления и	2	1
266	и до	2	1
267	мы уже	9	1
268	их и	1	1
269	а как	1	1
270	далее в	2	1
271	мы не	1	1
272	что уже	1	1
273	совершенно чуждые	1	1
274	большой литературы	1	1
275	имеется и	1	1
276	бы и	1	1
277	он как	1	1
278	в сущности	2	1
279	представлением о	1	1
280	время как	1	1
281	всего существующего	2	1
282	этим определяется	1	1
283	мировоззрения в	1	1
284	в будущем	1	1
285	же что	1	1
286	в ней	1	1
287	связи со	1	1
288	в широком	1	1
289	в чем	1	1
290	а следовательно	3	1
291	так для	1	1
292	они у	2	1
293	помимо этого	1	1
294	землю и	1	1
295	эта особенность	1	1
296	вступают в	2	1
297	отличие от	1	1
298	существом своим	1	1
299	друга и	1	1
300	что они	4	1
301	себя в	1	1
302	связи и	1	1
303	идет о	1	1
304	в одной	2	1
305	как в	4	1
306	более и	1	1
307	однако не	1	1
308	существующему и	1	1
309	конца эпохи	1	1
310	его к	1	1
311	всем существом	1	1
312	свой истинный	1	1
313	от этого	2	1
314	и отчасти	1	1
315	то в	2	1
316	них как	1	1
317	та же	3	1
318	формы в	1	1
319	не был	2	1
320	то время	1	1
321	в нашем	1	1
322	связанного с	1	1
323	отчасти и	3	1
324	одни из	1	1
325	под знаменем	1	1
326	и тот	1	1
327	имеем в	3	1
328	с народной	1	1
329	от природы	1	1
330	вследствие этого	1	1
331	так сказать	7	1
332	широком смысле	1	1
333	на его	1	1
334	времени эти	1	1
335	всех этих	7	1
336	в корне	2	1
337	и более	2	1
338	новое и	3	1
339	на земле	2	1
340	чтобы в	1	1
341	на этом	2	1
342	прежде чем	3	1
343	частей и	1	1
344	человека в	6	1
345	от нее	1	1
346	том же	4	1
347	на этой	1	1
348	его в	6	1
349	это было	1	1
350	было в	1	1
351	есть не	1	1
352	мире как	1	1
353	это не	2	1
354	было бы	2	1
355	религиозных понятий	1	1
356	новой жизни	3	1
357	что один	1	1
358	лишь на	1	1
359	мира с	1	1
360	весь мир	3	1
361	чаще всего	1	1
362	смерть и	8	1
363	и смерти	1	1
364	ни в	1	1
365	о которых	1	1
366	как и	8	1
367	ни с	1	1
368	чем в	1	1
369	даже там	1	1
370	такою же	1	1
371	должно быть	5	1
372	зато в	1	1
373	она была	1	1
374	и того	1	1
375	одного и	1	1
376	и выйти	1	1
377	с господствующей	1	1
378	в своей	1	1
379	в преисподнюю	1	1
380	в их	3	1
381	место в	4	1
382	на каждом	1	1
383	и запретных	1	1
384	в отличие	1	1
385	жизни с	2	1
386	одном из	2	1
387	образы эти	1	1
388	но эта	2	1
389	соседство с	3	1
390	своей судьбой	1	1
391	в прямом	2	1
392	превратиться в	1	1
393	по всем	2	1
394	борьбу с	1	1
395	их в	4	1
396	не могли	3	1
397	однако в	1	1
398	этот мир	2	1
399	по себе	2	1
400	случае мы	1	1
401	сам он	1	1
402	вернемся к	3	1
403	эти новые	1	1
404	чистом виде	1	1
405	не по	1	1
