N	4gram	Vygotskiy__5	Dialekti
1	не что иное как	1	6
2	в то время как	4	4
3	это значит что он	2	4
4	есть не что иное	1	3
5	уже по одному тому	1	2
6	одно и то же	1	2
7	с этой точки зрения	4	2
8	по одному тому что	1	2
9	с одной стороны и	1	1
10	мы имеем в виду	1	1
11	в такой же мере	3	1
12	мы до сих пор	1	1
13	то время как для	1	1
14	в самом деле если	1	1
15	есть одно и то	1	1
16	тем не менее эта	1	1
17	так же как и	1	1
18	одной и той же	1	1
19	в том смысле что	1	1
20	уже сама по себе	1	1
21	в том что в	2	1
