N	3gram	Berdyaev_O_1	Stilisti
1	для того чтобы	3	7
2	прежде всего в	1	4
3	но и в	2	3
4	заключает в себе	1	3
5	в этом отношении	1	2
6	смысле этого слова	1	2
7	как бы в	1	2
8	не может быть	2	2
9	о том что	1	2
10	не так как	1	2
11	в другом месте	1	1
12	все еще не	1	1
13	ведь может быть	1	1
14	в самом деле	1	1
15	должен был бы	1	1
16	человека не только	1	1
17	с кем и	1	1
18	мужчины и женщины	1	1
19	нужно отметить что	1	1
20	все что было	1	1
21	и в этом	2	1
22	по сравнению с	1	1
23	между этими двумя	1	1
24	но почему же	1	1
25	и все же	1	1
26	бросается в глаза	1	1
27	даже и в	1	1
28	само по себе	1	1
29	но в этой	1	1
30	и характер его	1	1
31	и никогда не	2	1
32	и не может	1	1
33	раскрывается до конца	1	1
34	в том что	1	1
35	как и в	1	1
