N	2gram	Tiupa_Disk_1	Literetu
1	не только	28	24
2	при этом	13	19
3	в качестве	34	17
4	но и	14	17
5	в том	23	16
6	а не	22	16
7	в частности	9	15
8	том что	19	14
9	в году	2	13
10	тогда как	19	13
11	может быть	17	13
12	сознания в	2	12
13	и не	11	12
14	в этом	15	12
15	в своем	6	11
16	состоит в	9	11
17	своего рода	8	11
18	прежде всего	11	11
19	в русской	1	10
20	такого рода	4	10
21	то что	5	10
22	художественного письма	7	9
23	эстетического субъекта	2	9
24	в целом	4	8
25	не в	7	8
26	в тексте	2	8
27	и в	16	8
28	произведение искусства	1	8
29	только в	7	8
30	как это	1	8
31	я не	1	7
32	как бы	5	7
33	в себе	7	7
34	не менее	2	7
35	коммуникативного события	14	7
36	в его	7	7
37	уже не	4	7
38	в рамках	5	6
39	то есть	20	6
40	как и	16	6
41	литературного процесса	1	6
42	точки зрения	3	6
43	и сам	1	6
44	того что	3	6
45	связи с	4	6
46	в жизни	1	6
47	себя в	2	6
48	в хх	1	6
49	на смену	3	6
50	одним из	2	5
51	то же	7	5
52	хх веке	1	5
53	коммуникативная стратегия	3	5
54	отличие от	5	5
55	как в	10	5
56	не столько	1	5
57	в отличие	5	5
58	в то	3	5
59	для себя	4	5
60	а также	8	5
61	же время	4	5
62	в конечном	1	5
63	что он	4	5
64	уже в	2	5
65	не может	9	5
66	в данном	5	5
67	с этой	1	5
68	я в	1	5
69	с его	4	5
70	тем самым	1	5
71	в своей	5	4
72	еще не	14	4
73	столь же	3	4
74	но не	11	4
75	конечном счете	1	4
76	в этой	2	4
77	все же	3	4
78	всего лишь	1	4
79	представляет собой	17	4
80	по преимуществу	1	4
81	в случае	1	4
82	не как	4	4
83	в силу	5	4
84	лишь в	4	4
85	литературного произведения	3	4
86	с миром	1	4
87	и его	2	4
88	ведет к	3	4
89	деятельности в	1	4
90	данном случае	2	4
91	никогда не	2	4
92	так и	8	4
93	еще в	3	4
94	и адресата	2	4
95	коммуникативное событие	5	4
96	в формах	1	4
97	и тем	2	4
98	из них	3	4
99	в конце	1	4
100	друг друга	1	4
101	как раз	1	4
102	и т.п	12	4
103	в связи	1	4
104	со стороны	7	4
105	эстетической деятельности	3	4
106	это не	3	4
107	культуры в	1	4
108	в своих	3	4
109	например в	2	3
110	как совокупность	1	3
111	и есть	2	3
112	тем же	1	3
113	также и	3	3
114	что его	1	3
115	по отношению	9	3
116	xix столетия	1	3
117	более чем	2	3
118	в самом	3	3
119	с их	1	3
120	в принципе	2	3
121	силу своей	2	3
122	таким образом	3	3
123	исходя из	2	3
124	той же	1	3
125	в повестях	1	3
126	далеко не	10	3
127	несмотря на	1	3
128	не мог	1	3
129	художественного творчества	1	3
130	в их	5	3
131	этого текста	1	3
132	но в	8	3
133	дело в	1	3
134	в основе	7	3
135	в области	1	3
136	эстетический объект	1	3
137	к себе	2	3
138	ли не	3	3
139	всего в	1	3
140	говоря словами	1	3
141	в виду	2	3
142	в пределах	2	3
143	приводит к	2	3
144	по аналогии	1	3
145	одного из	2	3
146	сводится к	5	3
147	общественного сознания	1	3
148	не сводится	3	3
149	по своей	11	3
150	один из	3	3
151	и прежде	1	3
152	потому что	4	3
153	при всей	3	3
154	и даже	3	3
155	с другой	10	3
156	этом как	1	3
157	еще и	1	3
158	и др	2	3
159	не было	7	3
160	сознания от	1	3
161	мира в	3	3
162	да и	1	3
163	аналогии с	1	3
164	в культуре	2	3
165	литературе в	1	3
166	при всем	1	3
167	что в	4	3
168	а в	5	3
169	и.п смирнова	3	3
170	во всяком	2	3
171	повестях белкина	1	2
172	чтобы не	1	2
173	и весьма	1	2
174	того же	3	2
175	не остается	1	2
176	и то	1	2
177	самом деле	1	2
178	е годы	2	2
179	из его	1	2
180	для своего	2	2
181	и само	1	2
182	в сущности	2	2
183	на себя	2	2
184	х годов	2	2
185	из того	1	2
186	иосифа бродского	1	2
187	к общему	1	2
188	во мне	3	2
189	от текста	1	2
190	как правило	4	2
191	могло быть	1	2
192	а только	1	2
193	в е	2	2
194	отнюдь не	8	2
195	и нет	1	2
196	бы я	1	2
197	адресата в	2	2
198	следующим образом	1	2
199	или иную	1	2
200	только то	1	2
201	с собачкой	1	2
202	из этих	1	2
203	тому же	5	2
204	в нем	9	2
205	в нашей	1	2
206	не к	1	2
207	нашего времени	1	2
208	в коммуникативном	1	2
209	подобно тому	2	2
210	на этом	2	2
211	письма согласно	1	2
212	различие между	2	2
213	самим собой	1	2
214	сознания к	1	2
215	здесь как	1	2
216	было бы	1	2
217	на почве	1	2
218	по мысли	3	2
219	для них	1	2
220	в слове	1	2
221	и читателем	1	2
222	и того	3	2
223	несет в	1	2
224	бы на	1	2
225	что такое	1	2
226	а как	1	2
227	всяком случае	1	2
228	с точки	1	2
229	с позиции	1	2
230	для многих	1	2
231	в россии	1	2
232	тем не	1	2
233	однако в	3	2
234	раз и	1	2
235	вплоть до	1	2
236	дело не	2	2
237	и является	1	2
238	как будто	1	2
239	этом отношении	1	2
240	могут быть	4	2
241	и вполне	1	2
242	этой причине	2	2
243	к тому	5	2
244	культурной парадигмы	1	2
245	к хх	1	2
246	у достоевского	1	2
247	более не	1	2
248	в себя	5	2
249	но при	3	2
250	говоря уже	2	2
251	роль в	7	2
252	на том	2	2
253	обращаясь к	1	2
254	рецептивном сознании	1	2
255	по этой	2	2
256	в мире	1	2
257	различного рода	3	2
258	или иной	5	2
259	в другом	2	2
260	о том	8	2
261	с одной	9	2
262	по правилам	1	2
263	не могло	2	2
264	мир и	1	2
265	между тем	4	2
266	во втором	4	2
267	хотя бы	3	2
268	только на	1	2
269	то и	1	2
270	со временем	1	2
271	что не	4	2
272	по выражению	2	2
273	обнаруживаются в	2	2
274	ту или	1	2
275	для него	4	2
276	а потому	1	2
277	от сознания	1	2
278	не случайно	1	2
279	тем что	3	2
280	одной стороны	9	2
281	за пределы	2	2
282	восприниматься как	1	2
283	нового времени	1	2
284	из наиболее	2	2
285	не на	1	2
286	одну из	2	2
287	художественного целого	1	2
288	как представляется	1	2
289	автора в	2	2
290	если оно	1	2
291	тому как	3	2
292	с.с аверинцева	3	2
293	и.п смирнов	3	2
294	для понимания	2	2
295	своего времени	2	2
296	текста как	1	2
297	произведение в	2	2
298	эстетическое переживание	1	2
299	но одновременно	2	2
300	писал в	1	2
301	это уже	1	2
302	не является	4	2
303	в сферу	3	2
304	и рецептивного	1	2
305	объекта и	1	2
306	это как	1	2
307	которая в	1	2
308	своей собственной	2	2
309	особого рода	2	2
310	тем более	1	2
311	в равной	2	2
312	не есть	2	2
313	не обладает	1	2
314	от литературы	1	2
315	не говоря	2	2
316	отношению к	9	2
317	как известно	1	1
318	категория жанра	1	1
319	человеческой речи	1	1
320	как замечает	1	1
321	могут восприниматься	1	1
322	жизни сознания	2	1
323	на самом	1	1
324	только потому	1	1
325	всего это	1	1
326	идет о	1	1
327	представлял собой	1	1
328	между двумя	1	1
329	к другому	2	1
330	в основании	3	1
331	свободного от	1	1
332	и за	1	1
333	жизни для	1	1
334	событие это	1	1
335	ставят перед	1	1
336	мы не	1	1
337	вопрос о	1	1
338	ивана петровича	1	1
339	в становлении	1	1
340	входит как	1	1
341	вниманию читателя	1	1
342	жизненной позиции	1	1
343	в полной	1	1
344	ему в	2	1
345	и он	2	1
346	внутри своих	1	1
347	более глубокий	1	1
348	петровича белкина	1	1
349	в xix	1	1
350	субъекта объекта	1	1
351	он сам	1	1
352	и мн	1	1
353	быть в	1	1
354	в различных	2	1
355	в чем	1	1
356	но как	2	1
357	в сторону	4	1
358	отношение к	4	1
359	жанра но	1	1
360	тут же	1	1
361	переживание переживания	1	1
362	что они	1	1
363	и читатель	1	1
364	писателя в	2	1
365	в одной	3	1
366	его на	1	1
367	для всех	1	1
368	но такова	1	1
369	например для	1	1
370	как к	2	1
371	о жизни	1	1
372	в различные	1	1
373	современников в	1	1
374	перед нами	3	1
375	мы можем	1	1
376	они предстают	1	1
377	как уже	3	1
378	и как	6	1
379	реальной действительности	1	1
380	и художественного	1	1
381	в противоположность	2	1
382	со своей	1	1
383	событием в	1	1
384	в которой	1	1
385	в учебниках	1	1
386	он в	1	1
387	повествование в	1	1
388	в нашем	1	1
389	право на	1	1
390	что к	1	1
391	а напротив	1	1
392	и событие	1	1
393	на то	1	1
394	за рамки	2	1
395	вследствие этого	3	1
396	так сказать	2	1
397	по словам	2	1
398	этом своем	2	1
399	он не	1	1
400	определенного типа	1	1
401	все перечисленные	1	1
402	первобытного человека	3	1
403	в понимании	1	1
404	этот ментальный	1	1
405	едва ли	2	1
406	к одному	1	1
407	с различной	1	1
408	в начале	2	1
409	уже говорилось	1	1
410	и более	1	1
411	и по	2	1
412	так например	2	1
413	или иных	1	1
414	для любой	1	1
415	нуждающейся в	1	1
416	на адресата	1	1
417	не должно	1	1
418	явление культуры	1	1
419	но все	1	1
420	человека в	2	1
421	значительной степени	2	1
422	этом последнем	1	1
423	в каждом	2	1
424	подход к	1	1
425	бы быть	3	1
426	а по	2	1
427	полной мере	1	1
428	большинстве случаев	1	1
429	это было	2	1
430	искусства в	1	1
431	может стать	1	1
432	которая как	1	1
